nature,acorn,bamboo,cactus,cloud,desert,feather,fire,flower,garden,grass,leaf,lightning,moon,mountain,palm tree,plant,rain,rainbow,river,rock,roots,shell,smoke,star,stem,sun,tornado,tree,volcano,waterfall,wave,weed,beach,cave,cliff,island,snowflake,sunflower
-0.032185014,-0.024902532,-0.028801773,0.027422696,-0.00501411,-0.053952023,-0.03865203,-0.011379543,-0.022011679,-0.04453972,-0.062045015,-0.051929556,-0.067098185,-0.041346777,-0.02393092,-0.043942764,-0.024682874,-0.06488136,-0.013032354,-0.034151535,-0.042352587,-0.07228465,-0.000190645,0.020775504,-0.019290134,-0.08410287,-0.05040249,-0.021125978,-0.05926597,-0.072393276,-0.05215632,-0.016567493,-0.0766521,-0.06125665,-0.045537125,-0.05647464,-0.055321943,-0.033139754,-0.05644345
0.07034219,-0.0022171,-0.026077738,-0.002737904,0.011338405,-0.022445375,-0.002653286,-0.05820363,0.006385915,0.043123595,0.03453412,0.010008045,0.003720104,0.018120509,-0.009876961,0.005676423,0.028551085,0.024554806,-0.045694385,-0.039582133,-0.058585916,-0.04591893,0.0671944,-0.026116975,-0.008103922,-0.022070646,-0.010480285,0.020303398,-0.017050803,-0.005340234,-0.04594642,-0.062366907,0.030970369,-0.041044228,0.032017604,-0.061243396,0.002076242,-0.016126338,-0.007523465
-0.017532479,0.07376919,0.068545595,0.03234828,0.03181729,-0.006403445,0.021336103,-0.029155483,0.002573102,0.009867033,0.035825048,0.06526732,0.059086677,-0.009216204,0.042626303,-0.010081599,-0.040008176,0.054139305,0.053841487,0.016762936,0.021241426,0.046090573,0.03720084,0.021173047,-0.029631507,0.06809464,0.04253451,0.030794965,0.059263464,0.011883422,0.05991142,-0.010014358,0.017854817,0.04371644,0.001322177,0.003879424,0.01696977,0.003839355,0.045767087
0.03794024,-0.030324467,-0.016108932,0.01739879,0.02803092,0.037979096,-0.020053184,-0.033642605,0.031997703,-0.02366344,-0.018076401,-0.026830686,-0.004021941,0.040312424,0.044671305,0.052042373,0.028570872,0.042073503,0.03059467,0.045677733,-0.02934073,0.07824937,0.013002381,0.00548808,-0.002475295,0.028421888,0.02415478,0.029639358,0.011699582,-0.008404864,0.038883753,0.013770109,-0.001867436,-0.007740823,-0.03456574,-0.006451001,-0.018408583,0.034174148,0.040405467
0.06070142,0.002529154,-0.06973702,-0.056360886,0.05672943,-0.003626694,-0.04814003,-0.016082933,-0.0723057,-0.024612855,-0.001980252,-0.07762848,0.052818507,0.0831775,0.045561936,-0.0626661,-0.0309794,0.03668275,0.004290326,-0.044724014,0.030228864,-0.038890652,-0.04285407,-0.04019689,0.07310888,0.006760825,0.049144063,0.006242971,-0.054276984,0.080313385,-0.009247161,0.04956944,-0.032675203,0.004008387,0.043798845,-0.00341316,0.052958053,0.061794724,-0.021029694
0.04065565,-0.06259758,0.04348349,0.052849155,-0.003575293,0.07679048,-0.027121168,-0.031684887,-0.003967952,0.003626441,0.03868934,0.045675065,0.030800339,-0.002733496,0.021500358,0.003248918,-0.033957265,-0.047365736,0.017564736,0.034042448,-0.0829369,-0.050123166,-0.035632156,-0.057139017,0.05132979,-0.031533673,0.0659105,-0.06002319,-0.048839014,-0.05000351,-0.00370293,-0.07260626,0.016782785,0.02161947,-0.063713245,-0.045026064,-0.03630092,-0.018669665,0.013393451
0.015803304,-0.020825628,0.066209644,0.015294699,-0.035370007,-0.033341922,0.05810799,0.057230547,0.053761493,0.018021412,0.05605269,-0.057167266,-0.00447532,0.06712926,-0.037226062,0.025008164,0.007717812,-0.010130291,-0.000650946,0.003135649,0.048709486,0.058459055,-0.031802826,0.023626776,-0.000741955,0.039457776,-0.029243516,-0.07456979,0.028126923,-0.059723366,0.007568799,0.056545757,0.03866174,0.08399656,0.069920436,0.04250083,0.038473938,0.07190512,0.05491935
0.05968724,-0.062713124,0.070405886,-0.04213816,0.06105568,0.042808566,-0.06780329,-0.03509289,0.00113474,0.011145661,0.022578457,-0.013740459,0.015264508,0.010272985,-0.030322107,0.07375605,-0.045451842,-0.00996662,0.0393202,0.061698142,-0.066228606,-0.06590838,-0.046981737,0.054311898,-0.030026147,-0.059528228,0.002321353,0.03879975,0.029104477,-0.014917329,-0.07158694,0.02702159,0.034747154,0.05279844,-0.016083987,0.051880747,-0.017932158,-0.058686923,-0.014885861
-0.021270214,-0.031709038,-0.06682204,-0.051743235,0.002910189,-0.06235154,0.013781815,-0.0447254,-0.03472503,-0.08274516,-0.025852673,-0.013712647,-0.037429966,-0.032576233,-0.001427319,-0.051887743,-0.06230363,-0.05372879,-0.020962311,0.043378204,-0.059150953,-0.054136306,-0.015364012,-0.052633878,-0.069345735,0.003712926,-0.045499496,-0.038434125,-0.055315435,-0.012613786,0.002326012,-0.03980164,-0.03568053,-0.03601603,-0.055668972,-0.07644874,-0.046674553,-0.006035083,-0.00283285
0.02991988,-0.009675904,-0.054650523,0.025862034,-0.001917815,0.057243112,0.05949677,-0.02773357,0.024796853,0.045972656,-0.014499604,-0.006398838,-0.04327955,0.04991679,0.05818317,0.061451714,0.06058046,0.01007392,-0.006876146,-0.036856208,0.037780408,0.027755717,0.027021086,-0.03714119,0.055314165,-0.012134686,0.0576464,-0.014178764,0.033302095,-0.04309058,-0.04705817,-0.051323466,-0.021573922,0.040586762,0.07309112,-0.06415692,0.061297357,0.07593679,0.050795585
0.007552242,0.06476371,-0.05272735,-0.055009533,-0.011035792,-0.044587586,0.0667198,-0.029761132,-0.032597188,0.067462936,0.010065814,0.022259964,0.005628787,0.001484162,-0.01458039,-0.04555703,0.045163505,0.018790206,0.010306744,-0.05747616,-0.0311935,0.06311416,0.0362974,0.000368412,-0.053507496,0.011064258,0.04888862,-0.035864368,-0.009053759,0.04141891,0.008447249,0.06515286,0.044475485,-0.046976008,0.01686758,-0.02109746,0.027453441,-0.022945147,0.04190091
0.016457971,0.007633342,0.036167547,0.007535025,0.038067564,0.024526343,0.04130489,0.046412088,0.014873821,-0.012937807,0.011012702,0.053463146,-0.046682544,-0.021547724,-0.06449208,-0.049345803,0.036696024,0.046861332,0.040958375,0.006173922,-0.069883294,-0.03386238,0.025644856,0.015671603,0.02330937,-0.06992481,0.04853774,0.056243576,-0.000268061,-0.023615064,-0.013267563,0.005412965,-0.016590007,-0.052272912,-0.0800016,-0.07730934,0.077405244,0.006845422,0.061838977
0.02307518,-0.021855097,-0.015992606,-0.011245608,-0.073057674,-0.05696359,-0.06869914,-0.0827857,-0.023621168,0.026830148,-0.031026656,-0.04892256,-0.07101848,-0.029702215,-0.014162737,-0.06366226,-0.016873995,0.0159469,0.03274739,0.037444845,-0.023160877,-0.043407634,-0.07569655,-0.07634803,-0.048560653,-0.020453993,0.029874442,0.005194525,-0.045556646,-0.05880548,0.07420687,-0.0792018,0.015878579,-0.0821376,0.010430805,0.02497852,-0.03282393,-0.061338972,0.0538688
