toiletries,band aid,brush,comb,deodorant,lipstick,mascara,nail clipper,nail polish,needle,razor,scale,toilet paper,toothbrush,toothpaste,towel,tweezers,mouthwash,shaving cream
0.027202807,0.025915785,0.037296,-0.019451972,-0.004163106,0.046105403,0.052556112,0.05281184,0.040102437,-0.017592652,-0.016634874,-0.046441026,0.044011746,0.013668112,-0.010854788,0.026470067,0.05456906,0.014053861,0.055276312
0.036827285,-0.044312987,-0.06282404,-0.005715608,0.051816203,0.06589049,0.010552056,0.012624885,0.068617925,-0.027434139,-0.06348877,0.014491545,0.056538366,-0.06646568,-0.036629472,0.065026194,0.026470456,-0.027287014,-0.038886126
0.04125732,-0.08231856,-0.002146817,-0.057199944,-0.05952884,-0.03249402,-0.002539381,0.031735674,-0.05543173,-0.0470836,0.034374956,0.020536153,0.009133945,-0.029357644,-0.0736017,-0.06357263,-0.042411294,-0.06670434,-0.057770386
0.047279153,-0.024868954,-0.052050255,-0.025979344,-0.009621331,-0.047114972,0.002313607,-0.00490755,0.047729176,-0.012329927,0.004259782,-0.029459186,0.001166833,-0.000479439,0.041396257,0.022146786,0.04444198,-0.056337584,-0.013628412
0.011964497,0.051247843,0.02065851,0.011552074,-0.010067928,-0.008693353,-0.028158449,-0.057758193,-0.0546248,0.071477234,-0.022915972,-0.021836406,0.059180785,0.059531145,0.07085221,0.0788682,0.02419682,0.04511204,-0.019508068
0.002516195,-0.009234198,-0.025692327,-0.041070674,-0.061692365,-0.017621992,-0.05029124,-0.033955637,-0.06640868,0.033034038,-0.029471252,0.036877684,-0.043171555,-0.051471293,-0.017579904,0.006943076,-0.060771205,-0.056889813,-0.061975982
0.008238546,-0.05297081,0.049492482,0.024605412,0.013719994,-0.039310984,0.07040095,0.00773031,-0.013519536,-0.033797383,0.061050553,-0.01724546,0.014123109,0.03393867,-0.010985976,-0.01177435,-0.014444605,-0.07062238,0.005877683
0.06272177,-0.0848648,-0.05683422,-0.061085563,0.02228277,-0.050432477,-0.045696042,-0.008186862,-0.02518985,-0.028335085,0.024333784,-0.038464066,0.054510083,-0.07412568,-0.037840903,0.03867695,-0.018822255,-0.071566656,0.06435975
0.03925348,0.015915822,0.000250469,0.052672688,0.04293301,-0.07643698,-0.067533635,0.06275127,-0.05048877,0.073121145,0.07738285,0.05694825,-0.011495893,0.03474912,-0.0148655,-0.014999677,0.03269964,-0.057036422,-0.054896552
-0.063515544,-0.080185,-0.066865414,-0.08037847,-0.06780548,-0.02128419,-0.013544014,-0.022580992,-0.01676239,-0.05029934,-0.06416945,0.05159078,-0.006135611,-0.06745675,0.01836117,-0.02055818,-0.07162488,0.05636824,0.00543481
-0.024899,-0.013957956,-0.07163039,-0.053403813,-0.02419901,-0.023264496,-0.0561679,0.023577372,-0.011438885,-0.037430007,-0.006398174,-0.028979553,-0.01624893,-0.037441477,-0.047339633,0.017494021,0.037904058,-0.023103852,-0.033241995
0.06325822,-0.032565035,0.036018062,0.044436306,0.005485034,0.040154714,-0.037718717,-0.036428493,-0.040943712,0.05235141,-0.040190488,0.050303925,0.050369553,0.056450833,-0.014274864,0.028446319,0.02379827,-0.05496516,0.033811085
0.003713125,0.008555529,0.046304382,0.042904872,-0.044327166,-0.027479693,0.009066152,0.026018076,0.023980156,-0.05849618,0.017701473,0.007449743,-0.062649734,-0.026964968,-0.059983976,-0.070998035,0.055396624,-0.0041475,-0.05110553
0.05691871,0.018614374,-0.059526954,0.000273835,-0.012069818,0.07587801,0.07212123,-0.05232738,0.05595206,0.063666455,-0.051312484,0.006589273,0.058351323,-0.020371797,0.000288444,0.08191073,-0.023833834,0.027290529,-0.07364696
0.051340614,0.07454508,-0.009375466,0.033481874,0.016113963,0.01692958,0.044128608,0.06749159,0.025473638,0.047204066,-0.06783359,-0.088631235,-0.07347775,-0.024837408,-0.030831706,-0.04014874,0.042646777,0.016200075,-0.0650326
