Places and Buildings,africa,airport,australia,bakery,bar,barn,cabin,castle,church,city,eiffel tower,house,hut,igloo,italy,library,lighthouse,pyramid,restaurant,stadium,tent,tepee,texas,windmill
0.0556562,-0.020192357,-0.025367785,-0.04221537,-0.0050336206,-0.006104235,0.07565852,0.067318685,0.07166453,-0.015808117,0.0071640997,0.03424756,0.04846843,0.006087774,0.014305907,-0.043978684,0.009709206,0.040163003,0.010439072,0.042114127,-0.06741556,-0.022456085,0.019815918,-0.026154965,-0.0062446026
-0.026515812,0.06475373,-0.035521135,-0.012092504,-0.04130687,0.011169609,0.078740664,-0.0022021132,0.016931286,0.003578027,0.020838955,-0.036784165,-0.03609825,-0.05662682,-0.03931255,-0.07934258,-0.019392604,-0.018088818,0.059496906,-0.05407942,0.04427833,0.060054075,0.0073159873,0.041937545,-0.001199448
-0.0039623706,0.04373442,0.058549225,0.04261072,-0.024183515,-0.04687906,-0.019085625,0.0118547315,0.06794242,-0.03813783,0.030676426,-0.043207448,0.025462814,0.0068669003,0.038546555,0.073061444,0.0033801068,-0.004509152,-0.07328829,0.053490423,-0.036898844,0.044873893,0.048973124,0.019250488,0.038754668
0.007299967,0.04914782,0.038135227,0.00045974486,-0.01774758,-0.0065853265,0.026047511,0.0016872515,0.004271606,-0.030957807,-0.014924306,0.0508912,-0.025710054,0.046565533,-0.033552,-0.053797085,-0.06209104,-0.02700849,-0.036583252,0.012197778,-0.02601424,-0.033018485,0.05541938,-0.052765727,0.03400767
0.051921204,-0.020214122,0.040068112,0.038898837,-0.082146354,-0.08893791,-0.0702896,-0.03435152,0.015376931,-0.0149198985,0.04501696,0.011551874,0.027678102,-0.056306,-0.023696339,-0.08210053,-0.07833676,0.064221784,0.0009771764,-0.08954487,-0.020464135,0.04089434,0.02513397,-0.022528365,0.06934915
-0.03965588,-0.0717907,-0.022934668,-0.041183736,-0.049410075,0.023863489,0.02232419,-0.018122327,0.038588107,-0.087615535,-0.031003658,-0.039414883,-0.008947256,-0.03201232,-0.053857375,-0.047468394,0.020915167,0.0048879785,0.01752918,-0.028711572,-0.015707135,0.0009776949,-0.015250893,-0.013967601,-0.031935614
0.0052150306,-0.06799734,-0.018573375,-0.054589033,-0.011071199,-0.02098806,-0.045626868,-0.03529125,-0.04109002,-0.08492142,-0.013619496,0.03901088,-0.083037265,-0.054057755,-0.013087232,-0.045611516,-0.05040153,0.017717822,-0.059614453,-0.04031668,-0.044298455,0.07876524,0.0010780864,0.004527735,0.03515454
0.038911667,0.018285567,0.06421807,0.013606298,0.023442218,0.043729067,0.049081042,0.0556734,0.08526159,-0.006221252,0.041586287,0.07185327,0.03156347,0.08571421,0.058004763,0.045317445,0.08292911,0.012507684,0.009398682,0.05943158,0.036381528,0.010326742,0.03907446,-0.004256358,-0.0027348786
0.03117365,-0.020059774,0.019261222,0.010459228,0.059257805,0.041694414,0.05666248,-0.049218927,-0.059228465,-0.067938656,0.018176122,0.012014654,0.013683926,0.030465297,0.040827624,-0.025093656,-0.015121165,-0.04215518,-0.08452458,0.04488973,-0.06647658,0.06470837,-0.021503316,0.02227088,-0.00621156
-0.0068563665,-0.03232901,-0.029859636,-0.03267445,-0.034084782,0.05387245,-0.067306824,-0.011094696,0.04472498,-0.0402524,0.008938785,-0.047112808,-0.008925529,0.043502815,-0.059680913,-0.07178521,-0.07018606,-0.03938888,-0.027726218,-0.07396701,-0.05203613,0.005890872,-0.05750796,-0.0649041,-0.046815902
0.08650788,0.054178607,0.055919733,0.013410602,0.04951677,-3.479796e-05,0.01949934,0.01370059,0.029061712,0.016431194,0.06528922,-0.028168362,-0.016682794,0.044942748,0.027626157,0.042226046,-0.015998444,0.053109944,-0.00951449,0.035493728,-0.012280773,0.005283099,0.004802629,0.031389523,0.031333733
0.012721509,0.02242205,0.017215108,0.07298316,0.075436406,0.037018955,0.04146923,0.028598767,-0.0047975928,0.00925286,0.018307935,0.04334719,0.05892118,0.054457508,0.06611617,0.06166728,0.041193455,0.07373572,0.06636932,0.0055253934,0.027727554,0.04162821,0.029373094,-0.003996145,-0.033006277
-0.016146705,-0.008078472,-0.0017418225,0.05519579,0.0062003294,-0.048301388,0.045007907,-0.026779402,0.06200582,-0.011922877,0.06926589,-0.05138756,0.07680657,0.0014142608,-0.03507412,-0.037383664,-0.022916256,-0.00647084,-0.04014137,0.01883646,0.026886676,0.0136903515,-0.00822414,0.0319985,0.017049309
-0.010895565,0.049985062,0.03725795,0.030468082,-0.02715798,0.006384668,-0.049096327,-0.046836287,0.06356362,0.010781534,0.03263247,0.07380666,-0.013151082,-0.030125082,-0.046511043,-0.064534925,0.003645409,-0.00017899855,0.04453357,-0.014061781,0.032933835,-0.049295448,-0.064115725,-0.04046644,0.040315837
0.025564974,0.00784086,-0.033350196,0.054483216,0.04733812,-0.08343066,-0.05520278,-0.014873433,0.053356208,-0.08183201,0.021694764,0.017938415,0.044962753,0.024206178,-0.033255223,0.060672134,-0.042935483,0.0011340391,0.007449411,-0.006737947,-0.027917119,0.035092264,-0.0169349,0.007765838,-0.05428655
-0.017650904,-0.004285441,-0.01892408,0.064229056,-0.029739482,0.030510446,0.015461943,-0.021577733,0.0081601795,-0.088990495,-0.0676684,0.0043454855,-0.034135774,0.013283397,-0.003856987,0.007959185,0.03457319,0.04927618,0.018215882,0.009823661,0.025007792,0.037264194,-0.03119627,-0.043211896,0.000627363
-0.0412333,-0.008313263,0.07459918,0.013479247,-0.022219684,0.023477478,-0.005088444,0.044845104,-0.039663658,0.025318326,0.031933907,-0.07441667,0.027009409,0.00785273,-0.060216457,0.04881981,0.02178044,-0.032605544,-0.07330134,-0.021143362,0.048574585,0.0065128123,0.042183317,0.026291216,-0.04520614
-0.0546857,-0.05851144,-0.075124666,0.0044072466,0.04146726,-0.0045197536,-0.04735904,0.042971864,0.005837737,-0.056504212,-0.028600952,-0.030777099,-0.06899925,-0.056285407,-0.0023824978,-0.017566783,-0.0009333137,-3.7128273e-06,-0.00020779288,-0.054508988,-0.07541535,-0.054373987,-0.020355288,-0.03818007,-0.055031605
0.05920695,-0.041899353,0.056200188,-0.051356,0.028399048,0.05817723,0.069332205,0.07751618,0.07377248,0.0469454,-0.019723626,-0.019957505,0.038455874,0.08344435,0.072196625,-0.030868359,0.05541414,0.062429693,0.04481729,0.041331593,0.0013500691,-0.009127893,0.045003407,-0.039924253,-0.00483358
0.031019865,0.07189219,0.0016667297,0.013852798,0.007316743,-0.043037903,0.018304087,0.057387177,-0.06336614,0.05490282,0.05090903,-0.03869614,-0.037744615,0.058789518,0.001284258,0.035761613,0.009827298,0.06512223,-0.048372336,0.038975485,0.059643496,-0.0027264494,0.04516877,-0.005425818,0.040768836
-0.026667694,-0.029974872,-0.009428326,-0.019693166,0.002861436,0.015230933,0.04510063,-0.007119369,0.014497699,0.012061818,0.076397896,-0.027456256,-0.055005707,-0.022120012,0.024556873,-0.0014772248,-0.047179602,0.009906638,-0.021947727,0.0389897,-0.056689333,0.01489682,0.035505783,-0.019026693,0.014157339
-0.017807571,0.046212997,0.02480853,-0.04994531,0.027589168,-0.011560247,-0.0002198251,0.016529165,-0.029107304,-0.026999202,0.056772526,-0.05192469,0.014879109,-0.022384843,-0.0039964193,-0.042221986,0.02054226,0.02422829,0.045716062,-0.018731778,-0.052400082,-0.07241276,-0.065915,-0.0659768,-0.04449952
0.08102268,0.0015882786,0.011452803,-0.046925947,-0.038712885,0.0712869,-0.044503007,-0.07700455,-0.057705257,0.06339632,-0.021828959,-0.028382134,-0.021888593,0.035368405,-0.07121356,-0.05968431,0.015698066,-0.0077949082,0.042131383,0.08285602,0.032870427,-0.059193958,-0.028014151,-0.06383978,-0.026802367
-0.011489856,-0.04355845,0.08882428,-0.0067904126,0.05937474,0.06274953,0.062481064,0.04567095,0.053919923,0.016843902,0.069077,0.0809478,0.022899428,0.09046567,0.05783774,0.062396053,0.042684626,-0.008227635,0.08406186,-0.023527833,0.050402388,-0.031783972,0.017229002,-0.0029134077,0.07589033
-0.050145682,0.04322611,-0.04256695,-0.02788059,0.035655856,-0.04632845,0.0156134125,-0.0050012316,-0.017513586,-0.04043669,-0.044336576,0.02595913,-0.032448154,0.017676346,0.029523853,-0.03760334,0.05788895,-0.025391906,-0.0073313597,-0.0040689255,-0.0066329,-0.0087119965,-0.02357979,-0.034160968,0.062925026
0.023489628,0.030688904,-0.075300336,0.0016119796,-0.06346575,0.06883268,0.0030323742,-0.02230363,0.010327727,0.06673571,-0.036400657,-0.02478976,-0.010779279,0.059333626,0.059517443,0.0421354,0.052573048,0.05359202,0.06262892,0.033512577,0.020456439,-0.04163001,-0.02982209,-0.015172859,-0.07485947
0.045974717,0.037829574,0.028677098,0.0042237765,0.04455542,0.04560938,0.04161871,0.086291604,0.030452056,0.06546144,0.020989407,-0.011746994,0.08422108,0.07425947,0.041879237,-0.016056662,0.054935258,0.05761643,0.00172502,0.034014925,0.06264669,0.05759082,0.0746678,0.021655714,0.058222
0.06523376,0.044646807,0.03519522,0.0200492,-0.012048951,-0.001743698,0.011102062,0.0030161142,-0.024387669,0.00076195964,0.044268552,0.028309714,0.016871868,0.083710745,0.072037086,-0.02925052,0.04303363,0.04073388,0.085457906,0.011643388,0.07149181,0.028029967,-0.025680264,0.024638481,0.07018646
0.0041143247,-0.030431397,-0.006392039,0.010850523,-0.04101692,-0.03543946,0.0777307,0.011707463,0.022731278,-0.04251373,0.019050168,-0.041019086,0.013975506,-0.015943166,-0.052317902,-0.0042717503,-0.08835233,-0.027244912,0.03843778,-0.058892984,0.014564995,0.08415119,0.056978192,0.08153976,0.05065928
-0.01586425,-0.040735755,0.0056561814,0.0146436095,-0.0316336,0.04268477,-0.04323333,-0.0039561563,-0.014549098,-0.042451046,-0.031330165,0.058651436,1.4538619e-05,-0.049853977,-0.03119979,-0.03568928,-0.009887791,0.011903134,-0.06320104,0.034401968,-0.017585415,-0.05988969,-0.050556485,0.018416436,0.047399204
-0.049025044,-0.039969776,-0.0557914,-0.0665757,-0.056676593,-0.05361346,0.03758463,-0.007087286,0.00019493247,-0.06414762,-0.06766958,-0.025871562,0.044539906,0.024105137,0.021729132,-0.07624429,-0.020274928,-0.018883042,0.07093991,-0.054311,0.03067262,-0.033992067,-0.024520308,-0.0317701,-0.027721474
0.004038319,-0.04231245,-0.006048884,-0.06328375,-0.009850653,0.03892306,-0.058452733,0.01963642,-0.012094242,0.037119187,0.042669512,-0.038770642,0.043560423,-0.009250784,0.032068178,-0.052399587,-0.010438295,-0.05393123,-0.057330392,-0.08072482,-0.0051476997,0.023151867,-0.034828134,0.0103354575,-0.0010516054
-0.03537965,-0.058689382,-0.030348433,-0.039754216,0.020158507,-0.033880223,0.015135082,-0.054396786,0.052375205,-0.023980964,-0.055197053,-0.06425134,0.072127275,-0.010219138,-0.052362636,0.02826012,-0.046380922,-0.043220833,-0.0678136,0.07287491,0.008961871,-0.04411801,-0.013274483,-0.044821728,-0.03227692
