Uncategorized,bird,bomb,bullet,cage,cannon,cigar,cigarette,coins,cross,fruit,grenade,heart,knot,license plate,mask,menu,money,parachute,passports,penny,saddle,shapes,steam,stethoscope,ticket,vegetables,wheel,whip
-0.015595777,0.040600818,-0.032627497,-0.03783137,0.052045513,-0.07199255,0.030349804,0.0022688278,0.044055507,0.040398084,-0.032776114,0.013861929,-0.007553629,-0.007023756,-0.07003722,-0.06451179,-0.05834304,0.047731202,-0.021168863,0.023989132,0.029661076,0.04343174,-0.05779064,-0.0063797915,-0.04449064,0.035085794,-0.05877938,0.029178763,0.029522436
-0.041692898,-0.06357325,-0.016772648,-0.029281441,0.01177349,0.0061022253,0.04655515,-0.009272061,-0.0064435187,0.020861806,-0.051185343,-0.06319468,0.03682801,-0.04106839,-0.028770724,0.0047884355,0.058972478,0.00220643,-0.014091568,-0.020010278,-0.043573625,-0.035925604,0.012191911,-0.046061184,-0.052591734,0.013056544,-0.06736576,0.03144037,0.024553398
0.03375588,0.011498979,-0.06660638,-0.034395225,0.026883746,-0.03693207,0.03711558,0.017792573,0.0059176297,-0.009339221,0.02073706,0.03730894,-0.02866767,-0.011658492,-0.044921316,-0.050327573,-0.07025198,-0.0442484,-0.031952918,-0.012109473,-0.016316287,0.028128915,0.04299216,-0.031531245,-0.04518727,-0.03930059,0.066387706,0.04250017,-0.06462466
0.042839155,0.025162773,0.018204253,-0.0028992232,0.027611278,0.029757313,-0.052881673,0.034332145,0.009999825,0.019760612,0.0058510397,-0.0045918887,0.028924191,0.06915837,0.0573071,0.023421818,0.044274095,-0.0027332052,-0.023262734,0.06116508,0.06910314,0.029862605,-0.035470545,0.052417103,0.052719895,-0.03468093,0.05775853,0.023135284,-0.061081268
-0.026898235,-0.013912049,-0.045134082,0.0642095,-0.049586426,0.02911152,-0.00053027377,-0.011129483,-0.03455815,0.0206377,0.036116745,0.020247733,0.0870942,-0.01550292,0.0068351044,-0.04338396,0.017393172,0.083105326,-0.012717964,-0.0026699563,0.064033665,-0.025140597,0.016418545,-0.007335267,0.018103953,-0.031867385,-0.04762122,0.023879373,-0.039140195
-0.0096375905,0.005546413,-0.0054687755,0.03840195,0.051190365,0.04984333,-0.046701923,-0.067634925,-0.054748107,-0.06398094,-0.0013154235,-0.01347813,-0.024026671,-0.025511172,0.047923274,-0.01776414,0.019472968,0.019972825,0.0026073721,0.004906709,0.037435178,-0.02465287,0.006844441,-0.010567518,-0.04543927,0.034158427,-0.015534361,0.05206089,-0.027240915
-0.016798444,-0.07128643,-0.09031988,0.04115302,-0.070872575,-0.05435726,0.01606034,-0.01824581,0.0054288046,0.05553634,-0.014110043,-0.07552092,-0.046943463,-0.035608638,-0.008231404,-0.032070585,0.017197454,-0.016798422,-0.024514183,0.072559714,-0.0010083088,2.8012299e-05,-0.006516806,0.011184648,-0.085545786,0.0033415442,0.046746925,-0.048119776,-0.025064902
0.003710972,0.0060170684,0.025582667,-0.038741484,-0.051489785,-0.025100479,0.019103736,0.026779968,0.023823136,-0.05508904,0.00077708246,0.04024926,-0.036148813,0.064530596,0.03812651,-0.071014695,-0.04013562,0.010686213,0.025797205,-0.029387467,0.07611263,0.0423816,-0.021019481,-0.040113054,-0.017544597,0.02408003,-0.043249242,0.06482283,0.025210751
0.026513409,-0.045809183,0.052194826,0.0127243735,0.008847947,-0.023127692,0.0028575659,0.036018718,0.028072314,0.027135277,0.019584285,0.035849977,-0.053632084,-0.016697118,-0.039203618,-0.046316966,-0.0072591365,0.022933954,-0.07083605,-0.06767408,0.031205036,0.0055359243,-0.07136938,-0.0134836035,-0.032073297,0.010312614,-0.069795705,0.017195862,-0.0690756
-0.037345193,-0.060663715,-0.014193204,-0.05110291,-0.05654411,-0.05319988,-0.028495206,-0.019945096,-0.017520554,0.02705995,-0.03485337,-0.042051375,-0.033477526,-0.014005365,-0.030659897,-0.021851232,-0.04176473,-0.08323163,-0.054093327,0.055827502,-0.0023608834,-0.003356511,0.020296128,0.035776626,0.032630015,-0.057249766,0.012211377,-0.046465773,-0.071386404
0.03413024,0.00545225,-0.040891137,-0.040395062,0.044225734,0.050103307,0.060525373,0.020871125,0.03982652,0.018983241,0.05254144,-0.05322257,0.046662737,-0.030674648,0.009930051,0.0732868,-0.0405275,-0.053682547,-0.013333548,0.009170134,0.041887518,0.072033465,-0.0005595243,-0.022663526,0.050108887,-0.017951328,0.003868762,-0.033789072,-0.04296573
0.038864486,0.017250309,-0.035601012,0.07325643,0.05028729,0.029378653,0.025961231,-0.03913136,-0.007422786,-0.0033284216,-0.07874969,-0.050614044,0.021391293,0.0624411,-0.05524114,0.071078666,-0.015613615,-0.039234515,-0.04139962,0.0572209,0.00868204,0.018604077,-0.0065942914,-0.016043663,-0.018415214,0.037556667,0.030565547,0.0029023155,-0.028625261
