musical instrument,accordion,banjo,bell,clarinet,drum,flute,guitar,harp,jukebox,microphone,piano,record player,saxophone,speaker,tambourine,trumpet,violin,whistle,bagpipes,cymbals,harmonica,xylophone
0.05311558,0.06111315,0.05582833,0.07509326,0.07341265,0.081417285,0.06018087,0.068344235,0.079412244,0.047462046,0.050909266,0.074548274,0.05487746,0.070507936,0.087630235,0.0580314,0.073119886,0.07367407,0.07997116,0.07471687,0.06435376,0.06436627,0.001019334
0.05515948,0.065663494,0.06578504,0.061606076,0.06608664,0.067949936,0.012970994,0.08248946,0.035246477,0.021160007,0.025516165,0.07363732,0.06638066,0.07239717,0.042096857,0.023049112,0.06438425,0.06397962,0.059875138,0.055608816,0.06635944,0.054060098,0.05666182
0.06296817,0.06892147,0.040627964,0.06860464,0.04618811,-0.027299697,0.07150366,0.08019468,0.07228316,0.029081246,-0.026605444,0.0691387,0.06670504,-0.061613537,0.04099216,0.008892807,0.031012515,0.07319335,-0.008077973,0.004103556,0.029557427,-0.004826415,0.037126552
-0.00270401,-0.005416968,0.053232756,0.05101324,-0.007021133,0.06482402,0.042429876,-0.06425051,0.055594735,0.052728456,0.05149598,-0.016110187,0.012656143,0.019847289,-0.037489068,-0.018834347,-0.029118512,-0.011617682,0.01874392,-0.002211378,0.026469043,0.05594352,-0.000663344
-0.03036169,0.005069963,0.04548404,-0.00302521,-0.024006234,0.019775294,0.010570606,-0.039558057,0.047372963,-0.03651899,-0.015805552,-0.016386636,0.06121904,-0.003686812,-0.06324111,0.04230239,-0.014805697,0.027627671,0.05344958,-0.009205842,-0.013075564,0.027173607,0.051092464
0.006511071,0.03927605,-0.07399059,-0.062149398,-0.002563408,0.036846012,-0.06612273,0.005127897,-0.07542923,-0.05205284,0.07796642,-0.03686291,-0.04411031,-0.012010875,0.002901943,-0.01878952,-0.034888305,-0.06190668,0.003093179,-0.080180414,0.029442592,-0.059611395,0.035725206
0.036865946,0.06675289,0.019237867,0.06616167,0.06688131,0.021156946,0.06912867,0.029106483,0.046400037,0.06291821,0.040740404,0.059891485,0.07385838,0.051361337,0.08118143,0.04930774,0.07381976,0.046766106,-0.03998522,0.001776725,0.021312447,0.012657979,0.059451543
0.014557976,0.017183071,0.015414427,0.03426361,0.040979203,-0.000379204,0.053955853,-0.044293635,0.05439512,-0.043332357,-0.007041547,-0.06396023,0.009755066,0.048221182,-0.006229142,-0.022376025,-0.039312333,0.010078695,-0.024192305,0.052529577,0.005447466,0.059047926,0.023363886
-0.05028982,0.053227764,0.019667316,0.021529038,-0.06368035,0.007180076,-0.048838418,-0.027543768,-0.039318204,-0.07841176,-0.009099198,-0.041575614,-0.07557436,0.029670272,0.06454225,-0.025646672,0.04862933,-0.05273212,-0.006897446,-0.037764203,-0.024509149,0.002451502,-0.0662431
-0.009368847,-0.028223969,0.007395804,0.026497269,-0.06268226,-0.07324777,-0.07589855,0.038506377,0.002449186,0.053374544,0.015121586,-0.03954587,-0.014043072,-0.026499718,-0.012114039,-0.063089795,-0.04757733,-0.053415406,0.032049008,0.05654079,-0.070203915,0.05559177,-0.06197189
-0.01680349,0.005347275,-0.008285237,-0.043730322,0.014903332,-0.011850415,-0.017286168,0.060674086,0.014646914,0.0626891,-0.05097317,0.04366361,0.009350217,0.012904371,-0.087598644,-0.054173905,-0.02933752,0.020498114,0.030644057,0.019929865,-0.001298342,0.034026474,0.047473926
0.052396845,-0.007717969,0.01776711,0.06905699,0.03286107,0.0612937,0.048164237,0.055047728,0.023682032,0.05680751,0.066847876,0.060969345,0.034263555,0.05225469,0.028194688,0.006888724,0.062306635,0.024450649,0.036402043,0.05267388,0.043720596,0.010286803,0.016810428
0.009643004,0.009644777,0.018225517,-0.012267003,0.046197254,0.016756618,0.064347655,-0.0649294,-0.02439215,-0.009081814,-0.007095206,0.06515432,0.06771594,0.06218947,-0.014690303,0.027415475,0.038321245,0.030885693,-0.030000012,-0.01709188,-0.03098198,0.015929746,0.06326526
0.03288187,0.029792309,0.053300887,-0.002314826,0.050042238,0.025895255,-0.014779567,0.020300576,0.032087818,0.003058362,-0.03860046,0.012902245,-0.008906169,0.01674594,0.017292771,0.02220237,-0.002348023,0.011361443,0.004157872,0.042763304,0.028756581,0.01662977,-0.008517462
-0.045563277,-0.0400877,-0.045218516,-0.05401521,-0.069846295,-0.04987536,-0.057913683,-0.059907816,-0.0460382,-0.050174214,-0.061193056,-0.064835966,-0.060851723,-0.06497918,-0.06425286,0.027914243,-0.05156789,-0.042090986,0.028961651,0.003592205,-0.020632239,-0.027804296,-0.054788254
-0.020185737,0.002980173,-0.003645253,-0.01942756,-0.016567515,-0.051042367,0.009639996,0.00238739,0.045658726,0.020359874,0.0658964,-0.026154783,0.03363954,0.04684663,-0.064868726,0.04036929,-0.001617519,-0.019390084,0.05406518,0.03676775,-0.02128939,-0.021181045,-0.019507378
0.061593622,-0.004802724,0.009973056,0.06973017,0.07352622,0.07597655,0.06903471,0.05840422,-0.007123262,0.036957383,0.003523401,0.055807192,0.046099495,0.06958909,0.070528254,0.03214939,0.07590749,0.0599089,-0.009974822,0.028766196,0.07052373,-0.02837229,0.008749327
0.04492526,0.007524668,0.06513151,0.07401324,0.01276251,0.004953603,0.022255007,0.06747585,0.07666693,-0.003060159,0.061103955,0.072729416,0.02549226,0.014998488,0.080315106,0.029276246,0.044820767,0.041703016,-0.004378079,0.065868385,0.07356594,0.007392221,0.048869688
0.041136697,-0.04328796,-0.04225977,-0.000793916,0.009105274,0.002942733,-0.053497735,0.044962727,-0.066635035,0.037272777,-0.05892199,0.006129754,0.037015144,0.01378104,-0.016284684,-0.04204775,-0.03819553,0.051638104,-0.023668634,-0.03130928,-0.049258105,0.004801625,0.041790146
-0.009733774,0.003950579,0.010821439,-0.020109454,-0.029362405,-0.017719878,-0.04663347,-0.023881834,0.039153952,-0.012959365,0.07442464,-0.015472128,-0.046279848,0.004653301,0.034528363,-0.014048555,-0.051765103,-0.040333804,0.023756307,0.037616875,0.0066874,0.044935726,0.040544372
0.058796886,-0.04369852,0.039283853,-0.027350564,0.070157036,0.041043498,0.02268788,0.058931097,0.055929765,0.083412506,0.067184255,0.062328253,0.045965806,0.061369497,-0.03492704,0.063907534,0.058006953,0.017177442,-0.07192952,0.032960325,0.08145755,0.042550582,0.024790332
-0.001674204,-0.0127992,0.003320591,-0.026191514,0.000629553,-0.028549118,-0.03452896,-0.044086434,-0.009042977,-0.015653113,0.031639107,-0.022412583,0.074600525,-0.04134918,0.010469874,0.01185157,0.018394921,-0.0484894,-0.021121142,-0.008625655,-0.03086265,0.03519517,-0.008401916
-0.06629046,-0.058916725,-0.058591302,-0.058913123,-0.01782841,-0.003712646,-0.04603699,-0.06734282,-0.0615656,-0.03272535,0.020601794,-0.002026161,0.043051403,-0.061465062,0.011562725,-0.06445389,0.031085366,-0.07117703,0.04241121,0.001246765,-0.028365456,0.010753707,0.02695994
0.072973154,0.051721912,0.07673473,-0.04223803,0.05571788,0.010542863,0.039422546,0.046625074,0.05983752,-0.00841733,-0.023481844,0.06865713,0.07913144,0.060675208,0.018992754,0.054512326,0.007932588,0.045971755,-0.07051515,0.031945,0.02141195,0.06930511,0.05872799
0.04552459,-0.013454444,0.06963194,0.05271712,0.023066418,-0.045638874,0.012946524,0.028902229,0.0645092,0.044037055,-0.002188879,0.026567103,0.073204644,0.05852171,-0.005633493,0.04726759,0.0521754,0.03640326,-0.037645355,0.04717193,-0.061100107,0.014049841,0.009115063
-0.06748507,0.00218539,0.005072319,0.06270326,-0.058213137,-0.059418418,-0.05014973,-0.023113891,-0.06441982,-0.051839516,0.003973792,-0.052159842,-0.04844418,-0.014543996,0.04432212,-0.06988127,0.015477205,-0.013354278,-0.000430682,-0.048451375,-0.037808456,-0.07328256,-0.07765999
0.019505871,0.029969532,-0.06418078,0.040452994,0.003195633,-0.014644297,0.05539432,-0.027687337,0.030450055,-0.023757016,0.04589257,0.00041589,0.02959958,-0.007843729,0.04186486,0.009707904,0.050901115,-0.020578418,-0.03287145,-0.038775064,0.010293634,-0.0346614,-0.003478985
0.007944955,0.007673037,-0.03048036,-0.054120112,0.027094167,0.017166141,0.029077066,0.013403977,0.04684985,0.031964764,-0.012047199,0.047223207,-0.054922577,0.042839337,-0.014204702,-0.001341073,-0.03993563,-0.013111715,-0.045021873,0.004839008,-0.015766796,0.010030513,0.05892831
-0.020906642,-0.03729921,0.004862084,0.00442945,-0.025213512,-0.06608255,0.048081078,-0.06173413,0.06172448,-0.047796678,-0.020969028,-0.04637682,-0.001997478,-0.017568354,-0.019687138,-0.06883316,0.025030134,0.008253362,0.042964574,0.03525318,-0.07502161,-0.014566039,-0.039867334
0.027320825,0.002602259,0.00934281,0.03133536,0.026701711,-0.002877072,0.033025667,-0.006654162,0.036334768,0.06641548,0.014890412,-0.006551733,-0.02590718,0.03196575,0.022649327,0.015126973,0.034022998,-0.033882387,-0.007184934,-0.018087275,-0.014443701,0.027890574,-0.02097912
-0.07863372,-0.05833516,-0.07277907,-0.07014087,-0.06148106,-0.075477935,-0.052773234,-0.06923684,-0.057959944,-0.07128923,-0.06510657,-0.07705263,-0.075425796,-0.069575675,-0.064013466,-0.08103297,-0.07172126,-0.06936021,-0.06659238,-0.06810341,-0.059408683,-0.066064976,-0.0437388
0.045110174,-0.03642063,-0.05322033,-0.04186438,-0.015196309,0.051934037,0.07398328,-0.023773318,0.05351542,-0.022456992,-0.027489886,0.041271012,0.041383088,-0.013185095,-0.023434713,0.004786377,-0.004840645,0.04596547,-0.01169806,0.03603722,0.016738417,0.005077031,-0.0552448
-0.01813184,-0.052183177,0.016247083,-0.046941515,-0.06420496,-0.01411952,-0.05980115,-0.012827719,-0.001832709,-0.066561624,-0.03907584,-0.044488337,0.006141897,-0.013270291,-0.014482989,-0.029058361,-0.032833714,-0.017423283,-0.07246898,-0.057374034,-0.007769181,-0.049117725,-0.0333674
