Clothing,armor,boot,button,dress,heel,jacket,jeans,pants,pocket,raincoat,robe,sandals,shirt,shoe,shoelace,sleeve,slippers,sock,suit,sweater,underwear,vest,zipper
-0.018511174,-0.02364805,0.009407152,-0.04770957,-0.040074375,-0.032332726,0.04441006,-0.039085917,0.009136746,-0.044089753,0.029930755,0.0055756774,0.02406481,-0.06904986,-0.027365765,-0.00051926845,0.0062480043,0.07850462,0.03693802,-0.018911349,0.069430694,0.002651879,-0.046643272,0.009938712
0.025815118,0.0141909765,0.02206912,-0.016642783,0.06833815,0.04241467,0.0326194,0.06298636,0.030044092,0.014523773,0.006750606,0.046510987,0.045559634,0.040685657,0.037191775,0.025450349,0.040884577,0.04208972,0.022805957,0.03852758,0.0370282,-0.00086126593,-0.024884606,0.036793973
-0.075401135,-0.063612066,-0.045455985,-0.049317267,-0.056971308,-0.03328974,-0.0692669,-0.06330579,-0.059061956,-0.047884118,-0.005938204,-0.049159095,-0.016338598,-0.06317849,-0.060614787,-0.038674768,-0.071638204,-0.0064055994,-0.06345601,-0.061167717,-0.055821218,-0.06639842,-0.050996944,0.0030704285
-0.003463145,-0.04989494,-0.073594935,-0.055558957,-0.040566854,-0.037803907,-0.080325805,-0.005794816,0.06799059,-0.00043075002,-0.057693332,-0.039738998,-0.06169925,-0.016223833,-0.063919805,0.0142433075,-0.062303748,-0.003071136,0.025447713,-0.0050331927,-0.05269273,-0.0012322466,-0.012408234,-0.052421268
0.07890058,0.07939497,0.079141244,0.06730438,0.07803696,-0.07091787,0.027090468,0.067789756,0.018147172,0.027111072,0.0449399,0.04597524,0.051693227,0.04153529,0.0028050973,-0.044677872,0.065414324,0.03240488,0.02548236,0.08600744,0.034471624,0.075216286,0.044028312,-0.049148038
0.0180143,0.06240344,0.075849995,0.035937667,0.0352435,0.037523054,0.056243885,0.043007575,0.024482172,-0.051381044,0.07979965,0.030511206,0.03145423,0.052433744,0.038819507,-0.029206825,0.046536773,0.046315834,-0.047439322,0.08235168,-0.0052136537,0.03713131,0.024545075,0.07350263
-0.024460811,-0.051303998,0.023567718,-0.05479231,-0.026020115,0.016772775,0.006186278,-0.029404871,-0.07551286,-0.05864393,-0.047642864,-0.024369173,-0.038841452,-0.035263147,0.031821728,-0.0345934,0.025535574,0.010576572,-0.012908787,-0.058154825,-0.031227902,-0.034786306,-0.013904158,0.020939177
-0.011663323,0.071898654,0.031004542,0.022198575,0.038754035,0.043339998,0.039760303,-0.014359346,-0.020213328,0.03447255,-0.033608474,0.003686633,-0.014526355,0.01983013,0.043268368,-0.010226165,0.05871898,-0.03269021,0.02408825,0.005920495,-0.0030367884,-0.021489441,-0.016412785,0.050443903
0.030916225,0.035673283,-0.08105398,-0.0652446,-0.02012612,-0.0017209654,-0.0426772,-0.056429435,0.013292702,-0.020042116,-0.0382617,-0.026849618,-0.030180832,0.010750343,-0.053719603,-0.05332175,0.041030753,-0.034931637,0.008721194,0.007256695,-0.07117075,0.020610588,-0.014672623,-0.054582663
-0.059515174,-0.0146462545,-0.0016712506,-0.0041404637,-0.017279334,-0.01016595,0.006731582,-0.055539377,-0.035993386,0.0020866322,0.00028707818,-0.04444707,0.029365337,-0.0008736974,-0.031101191,0.0012132738,-0.024716899,0.017011305,0.067510426,-0.020244183,0.018852517,-0.04186869,0.01212201,-0.031435475
