ItemNumber,Image,Audio,NormName,NameAgr,FrqPerMil.Log10,LOG10(SUBTLWF +1),SUBTLWF +1,SUBTLWF,VisComp,Length,IPA,AltPro,Morphemes,Syllables,Target,First Phoneme,CategoryName,Category-Level Cohesion,Item-Level Cohesion
71,bride_71_mono.jpg,bride_71_mono.wav,bride,1,1.401745082,1.401670792,25.21568627,24.21568627,3.666666667,4,bra?d,,1,1,bride,b,Types of People,0.225217321,0.310461566
100,captain_100_mono.jpg,captain_100_mono.wav,captain,0.9,2.320706974,2.320716333,209.2745098,208.2745098,4.428571429,6,kæpt?n,,1,2,captain,k,Types of People,0.126066711,0.319427453
116,cheerleaders_116_cmpd.jpg,cheerleaders_116_cmpd.wav,cheerleaders,0.95,0.586587305,0.58689605,3.862745098,2.862745098,3.222222222,8,t?irlid?r,,2,3,cheerleaders,t?,Types of People,0.117597677,0.201672642
123,choir_123_mono.jpg,choir_123_mono.wav,choir,0.85,0.800029359,0.800285696,6.31372549,5.31372549,3.153846154,5,kwa??r,kwa?r,1,2,choir,k,Types of People,0.173733136,0.239372244
133,clown_133_mono.jpg,clown_133_mono.wav,clown,0.95,1.225825991,1.225917112,16.82352941,15.82352941,4.142857143,4,kla?n,,1,1,clown,k,Types of People,0.146397128,0.286917777
144,cowboy_144_cmpd.jpg,cowboy_144_cmpd.wav,cowboy,0.95,1.300595484,1.300604008,19.98039216,18.98039216,1.8,4,ka?b??,,2,2,cowboy,k,Types of People,0.228698871,0.310850239
160,dentist_160_mono.jpg,dentist_160_mono.wav,dentist,0.85,1.086359831,1.086220209,12.19607843,11.19607843,3.166666667,7,d?nt?st,,1,2,dentist,d,Types of People,0.17788008,0.273043385
167,doctor_167_mono.jpg,doctor_167_mono.wav,doctor,1,2.423147532,2.42314946,264.9411765,263.9411765,1.545454545,6,d?kt?r,,1,2,doctor,d,Types of People,0.154541833,0.309858081
195,farmer_195_mono.jpg,farmer_195_mono.wav,farmer,1,1.108565024,1.108671124,12.84313725,11.84313725,3.444444444,6,f?rm?r,,1,2,farmer,f,Types of People,0.183342406,0.302907256
205,fisherman_205_cmpd.jpg,fisherman_205_cmpd.wav,fisherman,0.95,0.726727209,0.726998728,5.333333333,4.333333333,1.666666667,8,f???rm?n,f???rmæn,2,3,fisherman,f,Types of People,0.091793344,0.305872345
231,girl_231_mono.jpg,girl_231_mono.wav,girl,0.95,2.746727586,2.746725755,558.1176471,557.1176471,1.444444444,4,??rl,??r?l,1,1,girl,?,Types of People,0.28377864,0.332231578
282,judge_282_mono.jpg,judge_282_mono.wav,judge,0.95,1.906712057,1.906694111,80.66666667,79.66666667,3.888888889,3,d??d?,,1,1,judge,d?,Types of People,0.180532794,0.233117774
833,mailman_833_cmpd.jpg,mailman_833_cmpd.wav,mailman,0.85,0.589095014,0.589095014,3.882352941,2.882352941,2.166666667,6,melmæn,,2,2,mailman,m,Types of People,0.187663237,0.294882541
320,man_320_mono.jpg,man_320_mono.wav,man,0.9,3.266408108,3.266406955,1846.745098,1845.745098,3.222222222,3,mæn,,1,1,man,m,Types of People,0.354164847,0.326756091
643,nun_643_mono.jpg,nun_643_mono.wav,nun,1,0.55039959,0.900955857,7.960784314,6.960784314,3.166666667,3,n?n,,1,1,nun,n,Types of People,0.188824292,0.231882161
359,nurse_359_mono.jpg,nurse_359_mono.wav,nurse,1,1.662568967,1.662572671,45.98039216,44.98039216,3.285714286,4,n?rs,,1,1,nurse,n,Types of People,0.14053144,0.325809653
369,painter_369_mono.jpg,painter_369_mono.wav,painter,0.95,0.889301703,0.88902692,7.745098039,6.745098039,3.25,6,pent?r,,1,2,painter,p,Types of People,0.118107919,0.265351198
388,pilgrim_388_mono.jpg,pilgrim_388_mono.wav,pilgrim,0.85,0.671172843,0.670827725,4.68627451,3.68627451,2.538461538,7,p?l?r?m,,1,2,pilgrim,p,Types of People,0.125980016,0.24331486
391,pilot_391_mono.jpg,pilot_391_mono.wav,pilot,0.95,1.442009159,1.441956838,27.66666667,26.66666667,4.466666667,5,pa?l?t,,1,2,pilot,p,Types of People,0.17261343,0.327273064
405,priest_405_mono.jpg,priest_405_mono.wav,priest,0.8,1.434568904,1.434506285,27.19607843,26.19607843,4.6,5,prist,,1,1,priest,p,Types of People,0.203216323,0.316555577
443,sailor_443_mono.jpg,sailor_443_mono.wav,sailor,0.95,1.126780577,1.126850528,13.39215686,12.39215686,4.6,5,sel?r,sæl?r,1,2,sailor,s,Types of People,0.141743256,0.337811824
656,teacher_656_mono.jpg,teacher_656_mono.wav,teacher,0.9,0.648730711,1.753778258,56.7254902,55.7254902,2,5,tit??r,,1,2,teacher,t,Types of People,0.190572162,0.371114819
571,twins_571_mono.jpg,twins_571_mono.wav,twins,0.85,1.206825876,1.206772981,16.09803922,15.09803922,3.833333333,4,tw?n,,1,1,twins,t,Types of People,0.103970479,0.208257997
585,waiter_585_mono.jpg,waiter_585_mono.wav,waiter,0.95,1.152288344,1.15216839,14.19607843,13.19607843,3.5,5,wet?r,,1,2,waiter,w,Types of People,0.201273108,0.330768702
587,waitress_587_mono.jpg,waitress_587_mono.wav,waitress,0.95,1.097951071,1.097930682,12.52941176,11.52941176,4,6,wetr?s,,1,2,waitress,w,Types of People,0.145538109,0.328281096
51,bird_51_mono.jpg,bird_51_mono.wav,bird,0.8,1.666985718,1.666994885,46.45098039,45.45098039,2.6,4,b?rd,,1,1,bird,b,Uncategorized,0.301311653,0.291745039
57,bomb_57_mono.jpg,bomb_57_mono.wav,bomb,0.9,1.737590166,1.737566793,54.64705882,53.64705882,1.769230769,3,b?m,,1,1,bomb,b,Uncategorized,0.249793327,0.322910463
812,bullet_812_mono.jpg,bullet_812_mono.wav,bullet,0.95,1.593676913,1.593676913,39.23529412,38.23529412,1,5,b?l?t,b?l?t,1,2,bullet,b,Uncategorized,0.224944956,0.354875714
87,cage_87_mono.jpg,cage_87_mono.wav,cage,1,1.32776749,1.327859562,21.2745098,20.2745098,2.111111111,3,ked?,,1,1,cage,k,Uncategorized,0.289537829,0.301359415
97,cannon_97_mono.jpg,cannon_97_mono.wav,cannon,1,0.98721923,0.987035023,9.705882353,8.705882353,2.272727273,5,kæn?n,,1,2,cannon,k,Uncategorized,0.278233742,0.288022748
126,cigar_126_mono.jpg,cigar_126_mono.wav,cigar,1,1.144262774,1.144299425,13.94117647,12.94117647,3.5,5,s???r,,1,2,cigar,s,Uncategorized,0.176978052,0.271327758
127,cigarette_127_mono.jpg,cigarette_127_mono.wav,cigarette,1,1.441066407,1.441032479,27.60784314,26.60784314,1.555555556,7,s???r?t,,1,3,cigarette,s,Uncategorized,0.172764622,0.313521616
817,coins_817_mono.jpg,coins_817_mono.wav,coins,0.95,0.723793588,0.723793588,5.294117647,4.294117647,3.727272727,3,k??n,,1,1,coins,k,Uncategorized,0.229775782,0.292291388
150,cross_150_mono.jpg,cross_150_mono.wav,cross,1,1.748498127,1.748492048,56.03921569,55.03921569,1,4,kr?s,,1,1,cross,k,Uncategorized,0.292477941,0.319287548
221,fruit_221_mono.jpg,fruit_221_mono.wav,fruit,0.95,1.356599436,1.35651326,22.7254902,21.7254902,4.454545455,4,frut,,1,1,fruit,f,Uncategorized,0.298330396,0.274099845
241,grenade_241_mono.jpg,grenade_241_mono.wav,grenade,0.95,0.748962861,0.748795857,5.607843137,4.607843137,1.769230769,6,?r?ned,,1,2,grenade,?,Uncategorized,0.111925919,0.252401017
253,heart_253_mono.jpg,heart_253_mono.wav,heart,1,2.389485041,2.389478789,245.1764706,244.1764706,1,4,h?rt,,1,1,heart,h,Uncategorized,0.229744217,0.302221239
830,knot_830_mono.jpg,knot_830_mono.wav,knot,0.95,0.670827725,0.670827725,4.68627451,3.68627451,2.555555556,3,n?t,,1,1,knot,n,Uncategorized,0.348586893,0.263563484
301,licenseplate_301_cmpd.jpg,licenseplate_301_cmpd.wav,licenseplate,1,0,#VALUE!,#VALUE!,-,2.666666667,10,la?s?nsplet,,2,3,license plate,l,Uncategorized,0.387554675,0.287617033
325,mask_325_mono.jpg,mask_325_mono.wav,mask,0.9,1.318063335,1.318145208,20.80392157,19.80392157,3.461538462,4,mæsk,,1,1,mask,m,Uncategorized,0.223118177,0.257026933
