Vehicles,airplane,ambulance,anchor,blimp,bus,canoe,car,golf cart,helicopter,hot-air balloon,motorcycle,rocket,sails,ship,stroller,submarine,tank,tire,tractor,train,truck,unicycle,van,wheelchair
0.06308373,-0.013978712,-0.05631001,0.063953176,0.027555874,0.013974008,-0.037735704,0.024791943,-0.016258512,-0.029882893,0.042715747,0.04757382,0.002351585,0.02173168,-0.013263784,0.050207242,-0.012294728,0.0016214383,0.03705516,0.019611252,0.009585996,0.065797284,-0.018312875,0.048839208,0.032964885
0.08327955,0.046889,0.04199476,-0.02737342,0.010712842,-0.0068648616,0.036124773,0.08372087,0.017249685,0.014323696,0.06316622,0.078242496,0.060040172,0.007069901,-0.012323361,0.07489377,0.015002038,0.081120975,-0.0052972483,0.06054157,-0.057667743,0.081888616,0.062163144,0.073484145,-0.013528664
0.009604458,0.018460235,-0.0062108166,0.019271934,0.059684787,-0.022499954,-0.045833085,0.00055243436,-0.03478284,0.015653126,0.04517726,-0.023173371,0.043679107,-0.0377743,0.04697069,0.016470624,-0.0046759127,0.026985258,0.005306945,-0.030891461,0.067118116,0.029240375,-0.031048762,-0.056870673,-0.05529008
-0.0776226,-0.051012307,-0.0077527724,0.01931638,0.002373511,-0.0685005,-0.06810313,-0.061005987,-0.066931985,0.008381786,-0.041170493,-0.047980674,-0.0762511,0.04503325,-0.07383038,-0.06987893,-0.040018477,-0.07250235,-0.054060765,-0.03603374,-0.07334182,-0.07548,-0.052108824,-0.050053738,-0.052921154
-0.081497744,-0.05864675,-0.04473489,-0.04295475,-0.037491605,-0.04948211,-0.042785678,-0.087064154,-0.06659836,-0.041303046,-0.026982527,-0.06742476,-0.050943468,-0.05414018,-0.06677116,-0.053812977,-0.057074692,-0.040123403,-0.07290465,-0.06731241,-0.07644945,-0.067284115,-0.06379645,-0.007380841,-0.07216965
-0.09282315,0.012383173,-0.08088876,0.009141294,-0.078514025,-0.06833011,-0.08688238,-0.10103799,-0.07747576,-0.079851836,-0.08049628,-0.086974636,-0.081846684,-0.071087174,-0.050365016,-0.045352124,-0.07934043,-0.09124314,-0.08771115,-0.08133724,-0.058887623,-0.089118816,-0.08591029,-0.08757985,-0.06324485
0.06267645,0.0035720828,0.03491293,-0.053955775,-0.04485475,0.029313369,0.04775495,0.06777809,0.07391742,-0.0011987245,-0.021953374,0.071684614,0.041265067,0.01733413,0.0047017164,-0.029522182,-0.06260316,0.057090692,0.0429172,0.07998403,0.054268546,0.07939756,0.049935453,0.021477973,0.059505317
0.012122762,-0.05074393,-0.008994275,0.015219036,-0.057134103,-0.067928925,-0.039305076,-0.016246013,0.0054008984,-0.015014547,7.130812e-05,-0.051330518,-0.0447559,-0.071943365,-0.04778628,-0.029810276,-0.03577763,-0.0054918188,-0.050889295,0.017633386,-0.06733175,-0.014293059,-0.07314204,-0.025170255,0.018218074
0.031710953,-0.05410966,-0.032211866,0.034585316,0.026944898,-0.033739466,0.06967994,-0.021825586,-0.011494133,-0.0102855805,0.023307456,0.03206466,0.0040896195,0.036188725,0.010087567,-0.041162264,0.028279606,-0.024545904,0.053988095,-0.011110017,-0.012948281,0.05900414,0.011885429,-0.003409003,0.024089256
-0.07072406,0.04129563,-0.032134738,-0.011639118,-0.05943078,0.02213957,0.037735026,0.016745426,0.047554705,-0.004143123,0.017160736,-0.08632005,-0.046534214,-0.03202186,0.028727414,-0.01798002,0.06019207,0.04485492,-0.0040365886,-0.0067749126,0.079339206,0.020975446,-0.0683381,0.08176001,-0.018422093
0.069804296,0.049488366,0.045107,0.03939394,0.062476728,0.035753503,0.025913073,0.015611983,0.06179537,0.073117554,0.021643762,0.047109954,0.08840543,0.043083355,-0.0012551866,0.06915364,0.023228075,0.06779775,0.059568267,-0.023692116,0.0102373045,0.047816247,0.04940792,0.07327969,0.047501262
-0.067604065,-0.024075862,-0.03603655,-0.02493047,0.0764783,-0.04645035,-0.004788691,-0.05138895,0.046808627,0.01362227,0.059528038,-0.06618359,0.05508925,0.04985426,0.048929233,-0.06162398,0.05976427,0.08256352,0.024743788,-0.01928264,0.03714005,0.0021428145,0.053227626,-0.0029057444,-0.013734568
0.06844519,0.06812459,-0.012050264,0.011567287,0.0039637485,-0.01601408,0.01792373,0.095938735,0.07420201,0.047922205,0.04140744,0.073168285,-0.041616876,-0.01651831,0.0698009,0.04335608,0.049861092,-0.007835968,0.03469465,0.037180897,0.022754882,0.024192216,0.0031180263,-0.040180977,0.022063704
0.05944207,0.0841355,0.05420687,0.078317344,0.06140855,0.074023016,0.070106864,0.090886354,0.068791695,0.06812124,0.06318274,0.074244544,0.08253217,0.07447817,0.091866866,0.028836902,0.072587594,0.084206805,0.07865232,0.061781418,0.08354986,0.069910295,0.062734745,0.07463261,0.061094124
0.036609095,0.072935455,0.00728023,0.03238917,0.049187724,0.035072863,0.023224229,0.055833302,0.049597144,0.06526279,0.044981375,0.06723731,0.059547268,0.03549062,0.073148504,-0.04635391,0.06177219,0.075619414,0.07694976,0.06485574,0.06803482,0.08016756,0.05489784,0.07745355,0.022188291
0.0066589667,-0.022643931,0.03867311,0.030628799,-0.02318907,-0.007181071,-0.058709837,-0.022260973,-0.025710976,0.0060028573,-0.0070143025,0.004388846,-0.04221988,0.011867342,-0.006877937,0.04180171,-0.00060277845,-0.020426454,-0.019932287,0.040686913,0.065567166,0.075363725,0.0061134044,0.037296556,0.060333394
-0.0029053704,0.062002726,-0.03432576,-0.026915178,-0.012369405,0.0014212518,-0.0025781447,-0.020119842,0.0630782,-0.015251998,0.07369886,0.035338573,0.084085196,-0.08564176,-0.017348373,0.017238509,0.0021136487,0.092986375,-0.05413671,0.018689675,-0.022340538,-0.019612225,-0.049707893,-0.014670414,-0.05736876
-0.061505225,0.025684709,0.047507495,0.014400753,0.032775473,0.046817254,0.052144755,-0.078117855,0.017502343,0.033795476,0.058249682,-0.018510519,0.023977336,0.036549237,0.020506945,-0.0565662,0.04274156,0.011778365,-0.0107458,0.028095061,0.06353155,-0.02751402,0.034868047,0.026059827,-0.040701568
0.05062762,0.016368594,-0.06499396,-0.046184734,-0.020908792,-0.0028464412,-0.023594325,0.043847684,0.0048788474,0.010850671,0.008766434,-0.06932181,0.040449187,-0.060108684,-0.0052549136,0.007598962,0.050648656,0.055978626,0.07660976,-0.06717806,-0.034251332,0.04180123,0.005315994,0.004672068,0.021941833
0.07933033,0.073695004,0.07323165,0.08585339,0.05347759,0.06275119,0.06455207,0.081715986,0.072596945,0.018925639,0.07013198,0.077644885,0.06781744,0.052098885,0.08292976,0.06364785,0.0737219,0.05970662,0.044439185,0.06940987,0.07276482,0.0725978,-0.003325962,0.07693088,0.05931727
0.022583544,-0.0295512,0.047999028,0.044994872,0.026559146,-0.07255015,0.06314543,-0.040232252,0.009475186,-0.004063167,0.01393453,0.013288289,0.07647934,0.02360966,0.029570745,0.06240679,0.04292956,0.04503452,0.06493907,-0.006725093,-0.05380406,0.013045589,-0.004520751,0.058204286,0.01977407
0.013863082,-0.037009846,-0.056297712,-0.026173579,0.020359706,-0.020421186,0.0007723817,-0.0156558,-0.0024514433,-0.0010460131,-0.034780454,-0.008531921,0.0050063874,-0.04991512,-0.06597734,-0.053151518,-0.02094991,4.7111564e-05,0.0069511626,-0.009129661,-0.06581559,-0.0061737397,0.022351537,-0.003067718,0.03665207
0.07045796,-0.024315773,0.060732637,0.027541298,-0.0589089,0.051614992,-0.0037781906,0.049166087,-0.015764201,0.073920436,-0.09001036,0.07557612,-0.016604723,0.042033385,0.06102562,-0.072784096,-0.026326722,0.04134123,-0.043171592,0.051129084,0.075983256,0.020992162,0.03668488,0.034968812,0.030047117
