Non Mammal,ant,bee,beetle,butterfly,caterpillar,crab,dragonfly,eel,fish,fly,frog,goldfish,grasshopper,jellyfish,ladybug,lobster,mosquito,moth,octopus,scorpion,seahorse,shark,snail,snake,spider,starfish,turtle,worm
-0.0362452,-0.07529142,-0.036695875,-0.059843026,-0.03125923,-0.027162865,-0.07201625,-0.037032947,-0.07961248,-0.042742766,0.02424331,0.024571527,0.00819499,-0.08182399,-0.07309116,-0.031726122,-0.07418716,0.034123786,-0.0054901666,-0.072256275,-0.04606422,-0.03932089,-0.06308182,-0.0441206,0.011810065,-0.049843058,-0.04206196,-0.037733782,0.05965037
-0.037082784,0.04898102,-0.04530278,-0.029932693,-0.07377542,-0.067396425,0.061624184,-0.06589262,0.014549231,-0.032354165,-0.07179622,0.062052447,-0.06507965,-0.02503759,0.016924357,0.027743813,0.07089951,-0.019886443,-0.06777069,-0.017535048,-0.013655599,-0.03202385,-0.05309295,-0.035999604,-0.042573117,-0.051767133,-0.017959194,-0.0076624798,-0.010164354
-0.06081241,0.07777287,0.08089246,0.07429214,0.07285133,0.049076106,-0.0657659,0.07806388,-0.06487612,-0.07921637,0.091782674,0.07628715,0.019285511,0.07226111,-0.07028115,0.06043472,-0.07462663,0.0068699275,0.074173346,-0.061747696,0.02527943,0.05187587,-0.064088196,0.07294753,-0.05235605,0.064496726,-0.057863697,-0.052249547,0.07504107
-0.00502191,0.026885118,0.017142022,-0.02406619,0.05281921,0.055574775,-0.059770778,-0.053513322,-0.048840042,0.030490082,-0.008743766,0.07412759,-0.005905172,0.05493198,-0.067493185,-0.035350405,-0.06206927,-0.025963848,-0.02594762,-0.02589696,-0.06486045,0.018173756,-0.03180045,0.07337917,-0.04264121,-0.014524486,-0.06663535,-0.07072184,0.07305583
-0.008143976,0.074008234,0.014555974,-0.03417946,0.027090611,0.005572732,0.040639687,0.02886203,-0.04843121,-0.06503554,-0.062398996,0.05414527,0.024742333,0.077573895,-0.01794674,0.038043648,0.03951949,0.064844,-0.009835595,0.035745993,-0.016103035,-0.07231823,-0.062244043,0.04511311,0.07588096,0.061085895,-0.04160947,0.03124096,0.03961961
-0.038291525,0.06506276,0.061621357,-0.050622303,-0.02697645,-0.028252417,0.00957955,-0.053413138,-0.06465562,0.023231234,0.025392357,-0.00204544,0.034607645,-0.02819964,-0.018431157,-0.013363893,-0.053686146,0.0034245253,-0.05939253,-0.053186856,0.037666813,0.009308166,-0.025813796,0.029038176,0.047945395,0.01729971,0.04770244,-0.03438475,-0.009233569
0.03319366,0.06098748,-0.016018774,0.07620744,0.041325722,0.039717533,0.052816514,0.056589402,0.060778618,-0.02977823,-0.0076826992,0.013353267,-0.022193583,0.02740292,0.018948866,0.059781622,-0.025473054,0.03633561,-0.02537293,0.06298597,0.06618976,0.024975127,0.01622919,0.014091248,0.040310815,0.07975066,0.07544106,0.05830478,0.062430684
0.013599014,0.029754711,0.072622664,0.056782287,0.05187055,0.05595058,-0.021746768,0.022313034,0.06591631,0.060280163,0.031130424,0.057018593,-0.05140715,-0.0039516366,0.075993516,0.052144308,-0.029976338,0.044802617,0.06911154,0.04927589,0.051812515,0.07571299,0.07847242,0.05855011,-0.05500895,-0.013281915,0.07859679,0.042800833,0.07049097
0.050768267,0.008696447,0.0030882647,0.041682232,-0.014184121,0.00022063768,-0.018620962,-0.035143517,-0.039257355,0.029436508,0.011319119,0.019791396,0.047463458,0.060104515,0.014991656,0.060946144,0.035971828,0.06688896,-0.024415767,-0.0114178145,0.0268656,0.039973985,0.010032069,-0.0061312714,0.014732606,-0.009597325,0.042573232,0.028028348,-0.005244761
0.07504818,-0.03688236,-0.008828212,0.0071250172,-0.023972873,0.035942994,0.008989279,-0.013154125,0.06548316,0.08383635,0.028634155,0.034037407,0.070754506,-0.040303435,0.024145028,-0.0002976763,-0.0059885373,0.02683286,-0.034979805,0.051353227,-0.045494966,0.078793116,0.027905602,0.050227042,0.06829223,0.0048566954,0.039421696,0.07485078,0.05366297
0.03463903,0.034214076,-0.017750164,-0.060198918,-0.009926634,-0.033069003,-0.07574985,0.019900044,-0.069566935,0.020122726,-0.029242713,-0.029458672,0.012681037,-0.027733395,-0.029610882,-0.050609563,-0.046208575,0.05346602,0.039927505,-0.05997729,-0.062463183,-0.08034906,-0.001978372,-0.013313378,-0.00963033,0.03152222,-0.06239327,-0.06495349,0.032369204
0.030037874,0.028980106,0.022996621,-0.044974208,-0.04208703,-0.07251786,0.05645385,-0.07104836,0.030503506,-0.037120227,-0.046034325,-0.014431387,-0.03503463,-0.034159638,0.028839197,0.005731387,0.06752208,0.010991759,-0.047768224,0.044951532,0.020195004,0.0060524303,0.0079326285,-0.046305772,-0.025609683,-0.052037142,0.06626594,-0.058176573,-0.051681057
0.06347897,0.024606721,-0.038632978,-0.057747506,-0.058232613,-0.04252614,-0.058990836,-0.04705367,-0.0073540667,-0.04739822,-0.06527679,-0.02984632,-0.014177458,-0.02801851,-0.04198097,-0.03347008,-0.059958637,-0.06105161,0.002190266,-0.047535904,-0.06953953,-0.02999124,-0.06466945,-0.030233094,-0.0395287,-0.059372853,-0.061770037,-0.028079191,-0.04401356
-0.09098896,-0.059302624,-0.07761865,-0.08554131,-0.07789962,-0.0762563,-0.08045147,-0.086412884,-0.08526463,-0.08722858,-0.0793432,-0.080754,-0.073940404,-0.07137574,-0.07713095,-0.07990479,-0.0799359,-0.081659354,-0.079528265,-0.07846361,-0.06971883,-0.08826602,-0.08151467,-0.078614555,-0.082245566,-0.08058031,-0.079354785,-0.077120125,-0.068107635
-0.050837018,0.06517216,-0.0550084,0.03749688,-0.065033235,0.051850878,0.044076722,0.02615095,0.04215355,-0.050094653,-0.016412206,0.028426796,-0.043057725,0.055879597,0.06411214,0.06626832,0.02060079,0.020530876,0.01889507,-0.0068303,0.050703473,0.026496941,-0.044672452,0.0747737,0.055003766,0.018689334,0.01829116,0.07041243,0.07245416
-0.05896497,-0.023169803,-0.030095557,-0.049661864,-0.041027226,-0.003152937,-0.05663676,-0.015755681,-0.055340573,-0.059272133,-0.07599664,-0.045876134,-0.01480464,-0.04606205,-0.06660704,-0.009563398,-0.064507164,-0.041081842,-0.025464226,-0.053682413,-0.06512405,-0.0118964445,-0.044608735,-0.043024395,-0.05429795,-0.047819648,-0.0058372165,-0.027981432,-0.05152031
-0.0011288668,-0.034831066,-0.051255498,-0.059665177,0.05404964,0.015693692,-0.02221997,0.0483089,-0.03910788,0.016426964,0.0692369,0.035890657,0.046205483,0.013844668,-0.064426154,0.060463328,-0.026169537,0.06522166,-0.01202874,-0.039379153,-0.037596244,-0.0003834385,-0.037781153,-0.045602556,0.000100308964,0.018116113,-0.046288382,0.06313186,0.00707088
-0.02914154,-0.050744254,-0.013211585,0.0041965134,0.033491176,0.062982574,0.01694001,-0.023673259,0.05660578,0.043461047,0.047700576,0.009471168,0.04769257,0.0077890265,0.021718664,0.0151979765,-0.024366112,-0.00034319056,0.060937516,0.045158006,0.0120620085,-0.00040808256,0.05080748,0.035880566,0.081657216,-0.06930557,0.042165224,0.022859689,0.052614145
0.07004451,0.062165614,0.049456168,0.05715825,0.06827577,0.06701854,-0.045077078,0.0788256,0.011574992,0.043988496,0.04976095,0.03935639,0.060505304,0.043864045,0.07399478,0.037331134,-0.044758447,0.07816343,0.06591418,0.051037915,0.07795626,-0.0003211912,0.06352519,0.042557247,0.049416468,0.07337068,0.062429294,0.057199154,0.07146116
0.09104803,0.07734574,0.06096942,0.06777953,0.07593431,0.07220522,0.07983174,0.07841949,0.08023389,0.08662014,0.08959896,0.08124398,0.073816225,0.07373177,0.076809205,0.08096924,0.07592428,0.080167234,0.07102402,0.07812814,0.07692486,0.08666453,0.08125822,0.07777473,0.08256384,0.08094664,0.07158543,0.07709457,0.07771568
0.034202684,-0.024646286,-0.01720997,0.028288016,-0.0061072307,-0.050755583,-0.05266094,-0.047356527,-0.052798185,0.0099319955,0.00901046,-0.037715334,0.0481945,-0.06962928,-0.02132541,-0.025482515,-0.037302166,-0.00076621963,-0.043497257,-0.038152765,-0.05849811,-0.03825457,-0.065624826,-0.038050037,-0.011180896,-0.012082117,-0.020194966,-0.03667338,-0.009702514
0.038772676,0.07536275,0.07711058,0.06897068,0.08258363,0.072460026,0.07115828,0.046332583,0.07194863,0.07467524,0.08370025,0.074256666,0.0707064,0.049312945,0.07312598,0.01476017,0.069578886,0.06915513,0.07510643,0.07350599,0.031997904,0.06305424,0.07865604,0.076271914,0.074157484,0.076667525,0.0705195,0.073386,0.08135166
