,bathroom,brush,comb,faucet,lipstick,mascara,nail clipper,nail polish,plunger,razor,shaving cream,shower,sink,tile,toilet,toilet paper,toothbrush,toothpaste,towel,tweezers
shaving cream,0.3460114658357427,0.4088097553823453,0.47055756430427964,0.39640119963598597,0.43323548472628115,0.3923336907221857,0.42922042409557437,0.45868765340035833,0.2981683280416716,0.5297018338780992,1.0,0.37552133759060435,0.3929715528876496,0.2906027418575057,0.3121116500883433,0.4781960529666518,0.42087217253594433,0.48419883328646374,0.33355317972751086,0.35740882475883395
shower,0.44910835526350257,0.37975179964771,0.38526278314648277,0.4476475810743701,0.1330487776006296,0.296229666531733,0.26865869111075247,0.2706936387836021,0.33518617698367337,0.26861757306832434,0.37552133759060435,1.0,0.4171670041903156,0.30837513197364075,0.3403466778125829,0.35225540965439694,0.3845211903842263,0.3019180542550849,0.38166432208034917,0.20488166417944265
sink,0.5011263370918553,0.4049452632937136,0.4268922748571704,0.5834183944124617,0.2724485456416077,0.26239203915358345,0.3464161823029319,0.35761580370613144,0.46779355987298366,0.2650389899779667,0.3929715528876496,0.4171670041903156,1.0,0.4864309707067658,0.4947468216991171,0.39981848035376155,0.45419489614392994,0.29010244283605857,0.3280241059009763,0.3103512752522657
tile,0.45260634602434546,0.276225015967847,0.3722773133342101,0.3621939588882046,0.16832208351846223,0.19650069196174935,0.3382583357245208,0.33196439457730254,0.33026231257452743,0.1992072663588924,0.2906027418575057,0.30837513197364075,0.4864309707067658,1.0,0.3631893495978573,0.321272098753673,0.3067852863608348,0.26059139793484554,0.36081102806590204,0.23037615286108037
toilet,0.5747934236345551,0.28752113417057124,0.3028967623697374,0.43862947889851833,0.18078887248030384,0.2715912623964687,0.22210348405547875,0.24791261898955852,0.5210451871664088,0.24157152994736086,0.3121116500883433,0.3403466778125829,0.4947468216991171,0.3631893495978573,1.0,0.6587231549136494,0.4292774079812005,0.22830742655237168,0.3046208357206166,0.21515934896901823
toilet paper,0.3929894099535759,0.37145105705548964,0.33646006443178056,0.3805299651109614,0.2627582646630867,0.3215842993890137,0.3277427156315067,0.3095834405465694,0.46015238000919045,0.3033555368190294,0.4781960529666518,0.35225540965439694,0.39981848035376155,0.321272098753673,0.6587231549136494,1.0,0.4832292365256943,0.42426453309586876,0.4358367923326837,0.34544336122326547
toothbrush,0.3711580365564937,0.7040706220256344,0.5145122902147651,0.5002616263123654,0.4042092227334384,0.4118044575448847,0.39003407869398554,0.4172781186411101,0.46916695237761397,0.3853381026605064,0.42087217253594433,0.3845211903842263,0.45419489614392994,0.3067852863608348,0.4292774079812005,0.4832292365256943,1.0,0.6189987955480435,0.33209907970313457,0.4265393531268822
toothpaste,0.19546872211771849,0.5569254008725995,0.4160284369558691,0.3044021440155382,0.43678046376410795,0.34270055893205154,0.3311392309681003,0.4703041103493273,0.32527212896575597,0.3398060918082273,0.48419883328646374,0.3019180542550849,0.29010244283605857,0.26059139793484554,0.22830742655237168,0.42426453309586876,0.6189987955480435,1.0,0.2799033925751433,0.38863333930164856
towel,0.3575271843512654,0.25451318841535553,0.35881305619113324,0.3194830154604337,0.21406363531993722,0.23830105266954282,0.27933880066249495,0.2955620870481296,0.412482753508551,0.2468911471646149,0.33355317972751086,0.38166432208034917,0.3280241059009763,0.36081102806590204,0.3046208357206166,0.4358367923326837,0.33209907970313457,0.2799033925751433,1.0,0.3205005455206025
tweezers,0.15159052784382387,0.4143576228337337,0.5510338186786506,0.31241965227100954,0.3413137816474554,0.4101794108232686,0.6140871002520035,0.33905205303325125,0.43398551974132893,0.4104251248049241,0.35740882475883395,0.20488166417944265,0.3103512752522657,0.23037615286108037,0.21515934896901823,0.34544336122326547,0.4265393531268822,0.38863333930164856,0.3205005455206025,0.9999999999999998
