Furnishings & Decor,ashtray,barrel,bed,bench,calendar,candle,chair,chandelier,clock,crib,curtains,desk,disco ball,dresser,fan,hammock,high chair,jukebox,lamp,magazines,mattress,mirror,piggy bank,pillow,radio,record player,rocking chair,rug,safe,speaker,stocking,stool,table,tray,treadmill,vase,wreath
0.006561859,0.024078527,0.017848512,-0.033953562,-0.011584782,-0.03570004,-0.021173222,-0.018597333,0.05202177,-0.0484556,-0.05312128,0.04192137,0.003514227,0.046485927,-0.05408734,0.057419553,0.063114315,-0.05784541,0.020045271,0.010903844,0.06323196,0.03188208,-0.036071375,-0.027837716,-0.04096085,0.0169036,-0.06990909,-0.052429773,0.0075545204,-0.013840531,-0.010397538,-0.022599818,-0.008896892,0.013422541,0.03438018,0.0204603,0.051823527,0.0005648602
0.011881709,0.046545014,0.027635686,0.033326883,0.037401523,-0.00984018,0.037187207,-0.01991777,0.006367018,0.0443635,0.05440339,-0.04808573,-0.027502276,-0.019470373,0.044600002,0.05065204,0.03450628,0.011837509,0.02036605,-0.006829539,-0.030129427,-0.008802872,-0.04526498,0.025214659,0.073457696,-0.018136898,-0.032544736,-0.038269207,0.037492983,0.02583784,0.028410554,0.03890497,-0.019843318,0.04081033,-0.019093648,0.029020263,-0.028984208,0.0553497
0.054353163,-0.0431844,0.01774171,-0.010173189,-0.040715404,0.031573884,0.045290604,0.0012768818,0.006103633,-0.0018025609,-0.026591783,-0.020497309,0.0066326815,-0.042427197,0.040572513,0.08209002,0.03917098,-0.03586748,0.0079712095,0.040261198,-0.010501111,0.054590683,0.017499255,0.019378748,-0.007688953,-0.036620434,0.047357034,0.034258597,0.031559832,0.01673234,-0.016205631,0.030924963,-0.052224778,-0.030286474,0.0022793468,0.009711612,0.019085908,0.06871264
-0.03401654,-0.016092906,-0.031897496,-0.03140948,0.037234746,0.072919175,-0.012739499,0.0034917854,-0.0518354,0.04277423,-0.022123003,-0.07344624,-0.0254349,0.028790748,0.0047081965,0.03154953,-0.017176019,0.005928656,-0.009195091,-0.011253215,-0.057341598,-0.002415532,0.06405746,-0.017249784,0.0027851325,0.02433337,0.029092243,-0.0023083743,0.0011803396,0.017458007,0.0053820545,-0.07470346,-0.031454846,-0.015373588,-0.021193737,-0.022384355,-0.04545268,-0.030917706
0.022972487,-0.046025507,-0.04034991,0.0032679345,0.013093848,0.06271354,-0.04011467,-0.0066028284,-0.052302144,-0.038835168,-0.06930908,-0.03892385,-0.011104605,-0.074830964,-0.023980925,-0.05215456,-0.042546965,0.029251724,-0.088864245,-0.06051997,0.04516365,0.025165588,0.01899885,-0.01710906,-0.05075006,-0.085834995,-0.08260907,-0.0678214,-0.028253388,-0.034639694,-0.09827439,-0.002456521,-0.0018441663,0.0659398,-0.026865328,-0.045177985,-0.020182382,-0.04395969
0.0016842501,0.05518504,0.059943836,0.0063420357,0.027287722,0.00091979466,-0.0044470485,-0.023250481,0.049020328,0.036543254,0.009925084,0.011840676,-0.019352049,-0.0014478955,0.0021575629,-0.008283754,0.062288474,-0.008344454,0.07087472,0.02326092,-0.06888599,0.05033822,-0.047879815,-0.03270522,0.07421067,0.037117902,0.032467842,0.01699888,0.03232774,0.030080117,-0.023414878,-0.018527616,0.007925123,-0.0392589,-0.04643824,0.032346074,0.068262406,-0.023177348
0.055787444,0.03880701,-0.049683366,0.05012098,0.042741038,-0.022798184,-0.072716154,-0.04964429,0.0023901104,-0.0016846427,0.027020669,0.027668765,-0.06470243,0.04420853,0.021737032,-0.06411733,0.07523385,-0.026148016,-0.05023219,0.054452054,-0.042363066,0.05062811,0.048144646,0.037972514,-0.024109857,-0.04349467,-0.03124669,-0.030965276,0.040887114,0.05929911,-0.014426384,-0.043494735,-0.014026148,0.03153868,0.034273062,0.020571368,-0.0072690086,-0.01648107
-0.022725048,-0.0523804,-0.0024089953,-0.04740793,-0.00868305,-0.049014255,-0.0024223255,-0.06455731,0.012982803,0.021782896,-0.02379695,0.047514275,-0.044722095,-0.048575033,-0.003327238,-0.04626579,0.004382561,-0.04692631,-0.06204346,-0.024763059,-0.053682595,0.008095552,0.0031977545,-0.028496392,-0.040066592,-0.06465291,0.0015943459,-0.03285853,-0.03374825,-0.0114701865,-0.07847002,0.03311522,0.017686412,-0.053737797,-0.03542285,0.03902096,-0.058702666,-0.031391215
0.06374905,0.013791429,0.066947326,0.076876536,0.045295116,-0.024875669,0.061646137,0.0076294374,0.013940247,-0.026062064,0.059145592,0.05742314,0.047595695,-0.042584218,0.06245693,-0.05367412,0.031669457,-0.016026983,0.023175811,0.062388904,-0.030420452,0.038606334,0.075194135,0.059913475,0.075096264,0.009397551,0.007591998,0.046917297,0.05483928,0.032396615,0.01674907,0.0346618,-0.035854705,0.012348232,-0.072113186,-0.056486104,0.057494625,0.03386416
0.017959084,0.048105936,0.055712443,0.012768879,0.014701966,0.004579362,-0.04585666,-0.039031807,-0.018920846,-0.03609331,-0.037598368,0.018401954,-0.035605293,0.0590044,-0.045600872,-0.025233889,0.011208799,-0.039563153,-0.035891023,-0.031649265,0.015278242,-0.014097263,-0.05266556,-0.036602147,-0.05532485,0.06630488,-0.0034930054,0.002555997,-0.03218932,0.016781678,0.054393116,0.015160701,0.01927473,-0.023076054,0.07165021,-0.04576997,0.018946905,-0.014477206
-0.019390656,-0.037694387,-0.07176962,-0.03040106,0.0030416918,-0.054670814,0.015878482,-0.04789599,-0.004259762,0.05022827,0.0022781366,0.073630065,-0.04492543,0.027272599,0.08020773,-0.009348049,0.078945704,-0.03235922,0.011491272,-0.014372652,-0.043493208,-0.019073687,-0.03454615,-0.008927918,0.06295041,-0.0017573393,-0.0779691,-0.033835787,0.05311574,0.018258985,0.026227187,0.0003616497,-0.02701055,-0.042074468,-0.052258052,0.00728807,-0.030299194,0.054910455
-0.0421852,-0.03918628,-0.06291602,-0.03857503,-0.025950825,0.05611958,-0.076060176,-0.051190965,-0.04068892,0.030779582,-0.0010699864,0.014224156,0.014547354,0.06441464,-0.024247397,0.009590807,0.03023781,-0.05711362,0.012160175,-0.044785786,-0.012473432,-0.059675023,0.0273592,-0.026886454,-0.043375723,0.043731127,-0.06874666,-0.02860269,-0.058906972,0.0368498,0.0066024424,-0.06537704,0.054016177,-0.020687755,0.010416729,0.076763585,-0.00894692,0.03683367
-0.0046043186,-0.024956375,-0.013590781,-0.022578565,0.068310045,-0.032741282,0.008869922,0.07222458,-0.03998063,-0.024590233,0.022306204,-0.008192556,0.078881964,-0.019190079,0.06376247,-0.033268116,-0.05203971,0.07679053,0.0638892,-0.04299952,0.039870698,0.0103536,-0.031011809,0.02731493,-0.06379353,-0.039146878,0.039805144,0.070238404,-0.053731356,-0.0106749665,0.059842587,-0.024381781,0.024486795,0.08340019,0.05348718,0.01961103,-0.053380728,-0.05780692
-0.07191047,-0.04904956,0.060907032,-0.07234634,-0.04072569,0.00095231895,0.07951111,-0.010195568,0.07136271,0.07571453,0.008617849,-0.050853144,-0.042206038,0.038950827,-0.046045497,0.066323355,-0.037773382,0.029155318,0.018383536,0.038423218,-0.043344043,-0.07876189,0.04935018,0.08788783,-0.010946917,-0.034707617,-0.031188818,-0.032314226,0.07414336,-0.038575813,0.05799471,0.023916231,0.00815949,0.007530302,0.07803836,-0.050893303,0.07163398,0.046321757
0.0050997767,-0.024034435,-0.060204912,-0.05848699,0.016059559,0.008047642,-0.034101754,0.09433262,-0.048360914,0.058159515,-0.029972559,0.064822845,0.04900738,0.011363249,-0.078305185,-0.031383857,0.018226575,0.08982827,0.015743867,0.032145966,-0.06396896,-0.04081039,-0.024436213,0.06776746,-0.0050558434,-0.041710526,0.06475863,0.09020216,0.03840408,-0.004100177,0.06432614,-0.008062583,0.05723747,0.04470077,0.057557497,0.04290813,0.05175688,0.0068008085
