,bat,bear,bull,camel,cat,cow,deer,dog,dolphin,elephant,fox,giraffe,goat,guinea pigs,horse,kangaroo,lion,monkey,moose,mouse,pig,porcupine,rabbit,raccoon,seal,skunk,squirrel,tiger,walrus,whale,wolf,zebra
pig,0.3975406084550157,0.3496479711169338,0.4213157461572703,0.41103938944216534,0.4740017220612236,0.5070622125895836,0.3802832254908315,0.4517393647389836,0.329797462561072,0.43346137360140713,0.30006334738686014,0.2757907226155657,0.477598762904746,0.5331558377136139,0.4668289171707223,0.33451761783450595,0.33592968847548876,0.4477383599620085,0.3645895745576859,0.35284729083300026,1.0,0.46794923096494845,0.4573002274585949,0.3097101890166968,0.1972416836284181,0.38556903429473244,0.4043015698151394,0.3939748880147437,0.3331334045687706,0.39275616017333626,0.40170053230578895,0.2953145656929408
porcupine,0.35498576087683376,0.39900608851584785,0.3118392835693552,0.3531692019623185,0.3533575571395292,0.3399041368308553,0.45823169237293715,0.32820355235899235,0.29839487449131186,0.4440091130351098,0.31031799181729824,0.421133876845329,0.39257871828459545,0.3763659671916715,0.4300865536465741,0.3754193191666102,0.3734621101780673,0.41132828685338274,0.4280120924454629,0.33121391301041114,0.46794923096494845,1.0,0.3896686887183409,0.4257327026510722,0.2403560761728052,0.4591959395858811,0.5058395030984163,0.3974187947342329,0.44909457032579003,0.340343455062439,0.32604775152312393,0.4192348435866031
rabbit,0.3529369451889157,0.4226187196716358,0.2153837304661299,0.31422813015908346,0.5138495365970392,0.394221234125432,0.4644780312091886,0.5229291283191161,0.2313681929399437,0.3923996086888202,0.36070939045061556,0.31110172143576653,0.4528086645567494,0.5475563131601214,0.581052644586334,0.4390671884728691,0.4088693968816257,0.4344960448604207,0.38819514470764305,0.46924710705717265,0.4573002274585949,0.3896686887183409,1.0,0.3876621917130283,0.30008211672227836,0.4113300309550376,0.44196790705197786,0.3646574297153784,0.3317027123975138,0.33615581926090454,0.35854773555085595,0.3961042013470575
raccoon,0.38726382242544877,0.3502466343148858,0.20004949905631675,0.22089139294962645,0.3066089196484503,0.25595610568079075,0.3550541778229639,0.2977543983311328,0.31946907798840474,0.38273224487143565,0.3315720226299048,0.294528198701001,0.27428325769036377,0.2797457983600624,0.3314388067139702,0.3708423086316277,0.3699812043866071,0.36107928279698087,0.34229174021356,0.2881334399722617,0.3097101890166968,0.4257327026510722,0.3876621917130283,0.9999999999999998,0.2681704736496453,0.5552248396312728,0.4584791706095823,0.28396470552408815,0.3925293281896931,0.2780869236964346,0.29444838867511036,0.35667605321132223
seal,0.3164249988507172,0.3869821700455114,0.23106235105705875,0.2981737909055815,0.24814122023359775,0.23034333616889602,0.2608273849244024,0.27859520992971043,0.31616963343569027,0.3258379705149679,0.18778351766716794,0.2691171802405894,0.30027478887355574,0.18795362678741712,0.2956639030290753,0.29831144881207705,0.39528839737362564,0.2449422383199853,0.33185263874162485,0.28234360663017755,0.1972416836284181,0.2403560761728052,0.30008211672227836,0.2681704736496453,1.0,0.2532900942145615,0.2678424245655189,0.26533997516057495,0.4771934446168724,0.42313812640175685,0.28096126018503076,0.3044683326882833
skunk,0.369784321560622,0.36776421348516863,0.3092338734977018,0.3173186817387853,0.3118242260429689,0.36435386746877796,0.37362808734813724,0.322095717603773,0.21389499891886787,0.39913092172481823,0.32946347906163487,0.32443334038069427,0.3453425769899885,0.3424192280730647,0.3996483155813547,0.35706591016405387,0.2485377328091759,0.34673591414193494,0.3748426733155453,0.23667601911549896,0.38556903429473244,0.4591959395858811,0.4113300309550376,0.5552248396312728,0.2532900942145615,1.0,0.39049729171144,0.36054753980781973,0.44789501560049594,0.2245075960297631,0.3733291149931035,0.3847718969437799
squirrel,0.4079860829209663,0.3344377150799053,0.2610329015882631,0.376018979854849,0.40345632814966914,0.3732778150070054,0.441340579083525,0.34431348253054206,0.21721287063695005,0.44429467389398836,0.34309680472710236,0.32107511898688135,0.4656372378742545,0.27564641518675903,0.3187371817692606,0.37636863286726596,0.3141046314272058,0.35289400756097977,0.3497650738973954,0.37931237901158066,0.4043015698151394,0.5058395030984163,0.44196790705197786,0.4584791706095823,0.2678424245655189,0.39049729171144,1.0,0.378229639138961,0.40642465067458666,0.3512711934601751,0.4213081540572725,0.3445890599384571
tiger,0.42824919113203985,0.45064463181478365,0.466745967481761,0.33481056639649576,0.47262307215910226,0.4270376554079458,0.3761201561100297,0.3767167053865218,0.30678603016988815,0.5129783708043845,0.4030981827129967,0.28767522025660197,0.30017547660708965,0.25165130589897444,0.39931938054551885,0.368159079074896,0.5287590910179266,0.5143384437897713,0.3292145621825544,0.3452885858934964,0.3939748880147437,0.3974187947342329,0.3646574297153784,0.28396470552408815,0.26533997516057495,0.36054753980781973,0.378229639138961,0.9999999999999998,0.28023823166553063,0.3667249913720707,0.4409789174609995,0.3613058677335992
walrus,0.3514892913582318,0.34063549502884993,0.34186569523187316,0.3688965430688971,0.29756272369830283,0.35901493387615324,0.26231944773308535,0.29972540666781167,0.40576354789746216,0.4767640784171736,0.2383669196535011,0.44930299530517126,0.2902672382090403,0.30211667117669294,0.3415777265706508,0.34894456522781325,0.4217157512754952,0.32210467290168276,0.43701849417811034,0.3653992845700127,0.3331334045687706,0.44909457032579003,0.3317027123975138,0.3925293281896931,0.4771934446168724,0.44789501560049594,0.40642465067458666,0.28023823166553063,0.9999999999999998,0.5132629709647644,0.35481839656125214,0.3904421703887171
whale,0.34163762159802646,0.4115603365788262,0.3299560413877334,0.43423367156446113,0.39241042308538165,0.4499073348300273,0.3114257443512568,0.36834709244206687,0.4600464255081005,0.43867916119731665,0.2354355351226557,0.3579707977254978,0.31958793027990295,0.14730123552948393,0.373096201200791,0.36000153889734987,0.40118469851742056,0.3343266597614982,0.32820771888755174,0.29609137529974805,0.39275616017333626,0.340343455062439,0.33615581926090454,0.2780869236964346,0.42313812640175685,0.2245075960297631,0.3512711934601751,0.3667249913720707,0.5132629709647644,1.0,0.3908828123730974,0.31092499623564807
