Mammals,bat,bear,bull,camel,cat,cow,deer,dog,dolphin,elephant,fox,giraffe,goat,guinea pigs,horse,kangaroo,lion,monkey,moose,mouse,pig,porcupine,rabbit,raccoon,seal,skunk,squirrel,tiger,walrus,whale,wolf,zebra
0.04796325,0.038352657,-0.04129785,0.008362832,-0.041814115,0.00064977555,0.06605566,0.004080847,-0.031002304,0.002161314,0.03192604,0.051645454,0.0027156079,0.02029,-0.065932155,-0.025138846,0.0446033,-0.0019255439,0.038678702,-0.024973882,-0.030929103,0.029170882,0.04208886,-0.02481759,0.06997616,-0.08667768,0.038650155,0.022398062,0.0076606087,0.009494574,0.027064128,-0.040176094,0.01646476
0.052429166,0.034613788,-0.024572534,0.011519421,0.017088803,-0.022439333,0.013300976,0.0015690352,-0.029353587,-0.039289325,0.017077468,0.010545052,-0.012976489,-0.047775637,-0.007913446,-0.053575914,-0.022540703,-0.059933953,-0.051683072,0.04381892,0.0417109,0.027707847,-0.03832924,-0.012650152,-0.026478374,-0.022738582,-0.00036976347,0.051840767,0.0036542185,0.038435657,0.020929025,0.020898014,-0.009469507
0.052715752,-0.024393573,-0.021459205,-0.05697951,-0.06969131,0.035121005,-0.026990637,0.010508202,-0.0033857934,0.0021188108,-0.023468798,0.067283735,0.06288207,0.01875113,0.015190656,-0.020854983,0.047767445,0.021776384,-0.048535775,0.0043874574,-0.0027279689,0.030165166,0.045064393,0.008779397,0.0166734,-0.021468386,0.07223724,-0.012260243,0.048394304,-0.0043459325,-0.044607665,0.0036266576,-0.019262496
0.0038608692,-0.044538688,-0.06497838,0.030352935,0.020593563,-0.06841305,-0.04316197,-0.036370646,-0.06802914,-0.023876753,-0.035230037,-0.010935713,-0.018527063,-0.06567943,-0.018989392,-0.029527718,-0.038747136,-0.032205407,-0.037185326,-0.017511701,-0.01542213,-0.014931425,-0.025521327,-0.032882527,-0.03558179,-0.05511968,-0.043863006,-0.028531257,-0.024323981,-0.024492597,-0.053047217,-0.049559247,-0.0013138817
-0.08727991,-0.08265375,-0.08035349,-0.075091265,-0.070976704,-0.092409305,-0.08067062,-0.07843771,-0.09748636,-0.07770901,-0.080029994,-0.07933108,-0.080063365,-0.0837512,-0.077147834,-0.088739365,-0.07933336,-0.08358829,-0.08150821,-0.07913617,-0.063534565,-0.08701743,-0.08125895,-0.08130044,-0.07923385,-0.08189889,-0.081360735,-0.077753305,-0.08225536,-0.081332356,-0.082586594,-0.08123539,-0.08490923
-0.058942664,0.0031871574,0.033660363,-0.028809765,0.019442534,0.06291986,0.076251455,0.07047189,0.022022989,0.02122103,0.035469495,-0.030915644,0.027196039,-0.0041706604,0.044571836,0.08153378,0.008284159,-0.011121901,0.07794108,0.04398388,0.033165544,0.07919204,0.07119385,0.025371268,-0.06010183,-0.08460894,0.00040968554,0.025789075,0.049016565,-0.060550533,-0.0113591105,-0.00094795896,0.038274728
0.0142544545,-0.021334413,-0.030273046,-0.03258823,-0.03081074,-0.026704723,-0.019380612,-0.05055421,-0.030467564,-0.047277912,-0.03865092,0.0078949565,-0.04424019,-0.047329016,-0.039695736,-0.023754071,-0.0580832,-0.06573758,-0.05885003,-0.057348102,-0.049728714,-0.05789447,-0.0665333,-0.03390193,-0.017105645,-0.030539548,-0.05833896,-0.023767034,-0.04481811,-0.05651946,-0.027362099,-0.04857629,-0.053550657
-0.06572499,-0.036468424,0.035934612,0.0439447,-0.011351578,0.02862082,0.012062333,-0.042043574,0.044517186,0.04878505,0.008146824,-0.005862888,-0.06273263,-0.025478546,-0.04591598,0.058486108,-0.04830133,-0.039640483,-0.0481063,0.009967546,0.027351549,-0.045455784,-0.05569776,0.0024905312,0.05535764,-0.05436151,0.025530329,-0.036350694,-0.0046003833,-0.033737652,-0.033015244,0.02892559,0.005511941
-0.063540444,-0.058461707,-0.042942554,0.05215297,0.016858371,-0.012263088,-0.021404227,-0.066027425,0.026056228,-0.045730054,-0.016023673,-0.016056282,-0.05021321,-0.022421824,0.05613283,0.007669079,-0.07737825,0.07277795,0.0033673623,-0.018491795,0.029808845,-0.022102367,-0.014541029,0.022077527,-0.07504305,-0.008497409,0.058383916,-0.059191912,0.06899557,0.056858376,-0.056879792,-0.026994748,0.056104936
0.06765081,0.048513494,-0.012462317,-0.008374171,0.071550496,0.017575739,0.020514786,0.07461665,0.04525394,0.035850924,0.044363927,0.04105698,0.026027234,0.046049718,-0.012374561,0.05702229,0.07701259,-0.051605865,0.05727609,0.06959446,0.022873046,-0.025643736,0.036122497,0.06434401,0.072493926,0.0050286143,0.06975739,0.044226885,0.056587163,0.027651787,0.055187855,0.052005704,0.006514159
0.08727707,0.09233847,0.07641034,0.065650046,0.044068474,-0.025575805,0.076354146,0.078037694,-0.027172767,0.0775417,0.07987523,0.08173541,0.080037236,0.085179664,0.07714964,0.088278286,0.07862393,0.0830213,0.08059234,0.0734373,0.08106602,0.08530354,0.078557104,0.0812836,0.079262115,0.038219746,0.07927758,0.07751862,0.081929624,0.08047474,0.07484069,0.07890082,0.08053542
0.053752836,-0.035791982,-0.025553536,-0.058976457,-0.04008923,-0.02041149,-0.051849324,-0.03962293,0.024975805,0.01823035,-0.019466007,-0.07460765,-0.024161136,-0.077164166,0.06259609,0.05609639,-0.06388919,-0.01553295,-0.039918374,-0.03236996,-0.030591493,-0.061860155,-0.03714868,0.040033903,-0.046870265,0.051682185,-0.03616139,-0.063049674,-0.050150156,0.02812367,-0.014878189,-0.05818048,0.010754135
0.080531225,0.07650475,0.0802805,0.08753728,0.0748172,0.084847905,0.07674014,0.06912516,0.08793795,0.0740279,0.0743113,0.078947894,0.05235489,0.07364594,0.06722831,0.0816534,0.07432927,0.07052602,0.07528666,0.06840308,0.066240326,0.08422988,0.07720305,0.073927045,0.060990844,0.08220436,0.06755488,0.06850896,0.07317725,0.0717233,0.08014011,0.07803311,0.0729828
0.0059289434,0.082541615,0.07557245,0.087017566,0.02047422,0.0885359,0.06974,0.040314022,0.08080229,0.06656664,0.05952734,0.068532884,0.04751465,0.055797238,0.040928166,0.07880379,0.026139645,0.07067263,0.06306096,0.04210846,0.07957052,0.07818526,0.03630179,0.07266223,0.010178246,-0.00047393885,0.004155978,0.05640682,0.07622184,0.05413042,0.07020008,0.06939866,-0.02408993
0.062754594,0.019658606,0.02473552,0.030073503,-0.034359735,0.03221298,0.06285887,-0.05097904,0.02262532,0.053792566,-0.0033101626,0.035464864,-0.038930565,0.07160662,0.039403103,0.009381763,-0.045584675,-0.066098385,-0.020112107,0.025497679,0.07802081,-0.025859604,0.061619826,0.018668797,-0.057525624,-0.02645704,-0.016843367,0.06897279,-0.0042399694,0.03934765,0.024124868,0.0067831217,-0.05085901
-0.025152553,0.004304295,0.058725886,0.054230943,-0.024371266,-0.030286564,0.076076,0.050696082,-0.019502383,-0.007379155,-0.005192971,-0.0055628004,-0.02744462,-0.019054323,0.00814092,-0.03226806,0.057322316,-0.005625166,0.052062463,0.028135499,-0.030120136,0.041695908,0.0460671,0.06672758,0.052969962,0.018457131,0.06687361,-0.050104987,0.013621969,-0.004474468,0.06091273,-0.02288634,-0.03628158
-0.024574079,0.020858029,0.008476221,0.06841572,0.057131376,0.00073671155,0.004210067,-0.014495958,0.018483667,0.0028435267,0.04566612,-0.05340219,0.016805338,0.0089745065,0.005873893,-0.046074,0.048641585,0.019857025,0.048081305,0.013677818,-0.0025105253,0.017128075,0.023948237,0.018169453,-0.022509357,0.0012862005,0.007233849,0.014873752,0.03354341,0.02660516,-0.014749369,0.0031904888,0.021606466
0.039588787,0.036291603,0.0053644497,-0.05310094,0.037589982,0.042321015,-0.060849607,0.038022418,0.041591544,3.929727e-05,-0.006021839,0.021523489,-0.018780539,-0.056615938,-0.011999895,-0.08755343,-0.07505472,0.027703743,-0.02178793,0.015139153,0.050561704,0.031498145,0.056114893,-0.08099138,0.06285883,-0.061678547,0.005210447,0.06625108,0.028052513,0.066156,-0.008091807,0.031028459,0.029017394
0.06400239,0.043262538,0.036319647,0.013741613,0.0036025178,0.053622372,0.06058954,0.0618883,0.039606925,0.03593968,0.05586948,0.03980312,0.022194522,-0.036818262,0.0663446,0.067177586,0.06811849,0.06729241,0.042540498,0.06316913,0.057042245,-0.010693584,0.000109890396,0.073279314,0.057844896,0.058361027,0.037970904,-0.015726345,0.039952107,0.05070277,0.014718737,0.04815422,0.07966026
-0.08558005,0.027052127,-0.025506854,-0.07136045,-0.005021199,-0.092267476,-0.062872484,-0.063614145,-0.09724433,-0.075274505,-0.052096285,-0.046047676,-0.07622191,-0.08079129,-0.07534386,-0.08241011,-0.06660904,-0.058911413,0.023940358,-0.060311425,-0.036641933,-0.08168234,-0.043739036,-0.07724159,-0.07391728,-0.060812306,-0.07063994,-0.07553729,-0.0741384,-0.063425,-0.063244574,-0.075540125,-0.04606277
-0.029555935,-0.05510593,0.03958541,0.044821814,0.022430668,-0.0316377,-0.07407823,-0.0050474983,-0.008340208,-0.06070882,-0.053071894,-0.037174746,-0.009644763,0.056465853,-0.035283156,0.015711466,-0.003956845,0.038786165,0.0040754597,0.04348299,-0.027643586,-0.015529328,0.009240847,0.0076574096,0.020645617,-0.053343356,-0.055178877,0.012842315,0.050426867,-0.005137249,-0.029199649,0.002802443,-0.05390394
0.024623364,-0.0520699,-0.010338332,0.0008131509,-0.028935177,0.03884396,-0.04420648,0.041653566,0.03166464,-0.039171334,-0.033386584,0.046279237,-0.036452554,-0.07698031,-0.04821369,0.017310472,-0.06244293,-0.030623293,-0.004444325,0.0047811447,0.030975806,-0.039845012,0.042614885,-0.0653318,0.016567275,-0.0057668225,-0.0008431437,-0.068504184,-0.035623234,-0.04046636,-0.05317155,0.042959668,-0.05987285
