Musical Instruments,bagpipes,banjo,bell,clarinet,drum,guitar,harmonica,harp,piano,saxophone,trumpet,violin,xylophone
-0.06302009,-0.037849627,-0.018067284,0.017441384,-0.028503722,-0.018923359,0.019326178,-0.040565804,-0.0014341123,-0.015189012,-0.05048876,-0.025841353,-0.028813314,-0.070203915
0.030270483,0.0033394776,-0.04882895,0.009705505,0.036897458,0.014016382,0.048078045,0.04445037,-0.013803548,0.022427822,0.06853202,0.007058531,-0.0040893825,-0.042907946
-0.04996056,-0.032127157,-0.0019685277,0.06861769,-0.047850937,0.03961058,-0.027919179,-0.014892113,0.031178117,-0.05949366,-0.017014896,-0.037198506,-0.021526238,0.0444499
0.053304117,-0.010568847,0.020919533,0.045776498,0.061673358,-0.025582738,0.047009196,0.04782412,0.007976767,0.05890093,0.061909243,-0.046557877,0.066713616,-0.026415948
-0.057597198,-0.016588382,-0.062694624,-0.027536819,-0.07570836,-0.034524262,-0.07403374,-0.029400323,0.033828642,-0.07760137,-0.07080021,-0.0729191,-0.07441954,-0.06716257
0.070854284,0.038776763,0.03059764,-0.0013613519,-0.03401898,-0.012541184,-0.022954186,0.026293918,0.042768955,0.0014512324,-0.03274753,-0.0043657464,0.01612594,-0.056667093
0.06348209,0.051526356,0.07097111,-0.026495298,0.029367214,0.061970558,0.025648255,0.065157674,0.07393992,0.040608343,0.046594664,0.009703127,0.005310003,0.05547801
0.028817419,0.019486295,0.04454078,0.019541416,-0.042908914,0.016887406,-0.006498174,-0.034386467,0.047894947,0.029344648,-0.030688193,-0.04095367,-0.00518443,-0.047469445
0.006509256,-0.06827599,-0.008748776,-0.028047783,-0.008028266,0.028494276,-0.024919162,-0.0024127162,0.011705858,0.069838025,-0.02127313,-0.026013091,0.0669785,0.066646844
-0.08270065,-0.081347205,-0.078443095,-0.07594955,-0.079243116,-0.08943517,-0.08512497,-0.077181526,-0.08909765,-0.080731586,-0.07852267,-0.08153027,-0.07849206,-0.08271363
-0.0035632246,-0.04734401,0.040478505,0.016568353,-0.025080074,0.080010705,0.008022058,0.017603666,-0.033238597,-0.015721764,-0.04043305,-0.05730541,0.037341725,0.05729231
0.005562658,0.008684398,0.0063850847,0.076409444,0.016037118,-0.084435835,0.05603834,0.031442445,0.06120728,0.035363838,0.03667844,0.040126547,0.025629088,-0.052148417
-0.019901646,0.040362455,0.035863634,-0.018069973,0.042318556,-0.031192372,-0.06511216,0.0045878645,0.0053904364,-0.058113243,0.039710246,0.002987499,-0.016959915,-0.034087937
-0.0012950542,0.0022026636,0.056208786,0.040503837,-0.023479184,0.05231873,0.01762784,0.037938766,0.037223894,0.04279287,-0.046335116,0.024150312,0.07310437,0.010636503
-0.011029067,-0.011295639,0.014049591,0.019880692,0.027510498,0.052626114,0.010145574,-0.016641898,-0.01046663,-0.03360193,-0.03327945,0.042965833,0.03942461,-0.02458543
-0.061699253,0.07178481,-0.059241828,-0.0062089795,-0.0030319681,0.009774139,-0.045567706,0.06725983,-0.02602734,-0.039329797,0.056518953,-0.02835695,-0.00951057,0.04899966
-0.03754622,-0.018196374,-0.05598254,0.0015218075,-0.069788486,-0.035132546,-0.060909055,-0.033823773,-0.03637024,-0.037175298,-0.06623738,-0.07257991,-0.056754936,0.037419282
-0.05669901,-0.07535651,-0.07303866,-0.07139293,-0.04300231,-0.067158565,-0.029065706,-0.059290465,-0.062001556,-0.06364604,-0.018080773,-0.06666831,-0.056692183,0.009437269
-0.050579622,0.018095706,-0.002498433,0.06535371,-0.07412612,0.0467088,0.046067882,-0.058223363,-0.0022209743,-0.07815355,-0.05453027,0.008865157,0.055084553,-0.06483296
-0.021052092,-0.04154722,0.027280875,0.053539626,-0.069752894,0.054234542,-0.04770369,-0.04047959,-0.03750284,0.019527992,-0.009767377,0.024190724,-0.0074793585,0.04890401
-0.016496915,-0.014257909,0.026438553,-0.034351487,-0.050250527,-0.0070284707,0.067977995,0.035391852,-0.010262387,0.015103272,-0.06600238,0.028510584,0.07174354,0.012240885
0.048002135,0.03766529,0.04321659,0.0018286784,0.043373305,0.04591313,0.020413008,0.033045255,0.02073261,0.05849152,0.053851746,0.03654071,0.04642528,-0.0019234465
0.0048371926,-0.03279941,0.06953833,-0.0054451367,0.025057832,-0.03291953,0.014429464,0.0387277,0.06536097,0.037854295,0.016122174,0.056860864,0.010031817,0.07163367
0.026817722,0.043317847,-0.048224177,-0.007272108,0.02006807,-0.0026404362,0.03256988,0.062150143,0.034349486,0.027928106,0.013380314,-0.00018842635,-0.05732011,0.058485653
