furnishings,barrel,bed,bench,chair,closet,crib,desk,drawer,dresser,globe,hammock,highchair,lamp,mattress,mirror,picture,pillow,plunger,safe,sewing machine,statue,stocking,stool,table,treadmill,vase,wreath,radio
-0.010715261,-0.06291602,-0.03857505,-0.025950829,-0.051190987,0.004036075,-0.001070011,0.014547377,-0.004786792,-0.0242474,-0.06567885,0.030237837,-0.03504222,-0.044785786,-0.059675056,0.027359145,-0.018900722,-0.04337572,0.026938323,0.036849827,-0.006030748,-0.039836615,-0.065377064,0.05401618,-0.020687746,0.07676358,-0.008946932,0.036833663,0.043731067
-0.019157713,-0.013590797,-0.02257856,0.06831006,0.072224595,-0.02025417,0.022306165,0.078881964,0.07995311,0.06376249,0.051600087,-0.052039713,0.069402635,-0.042999502,0.010353576,-0.031011805,-0.035192665,-0.06379353,-0.07264633,-0.010675025,-0.06119641,-0.009488327,-0.024381781,0.02448681,0.083400175,0.019611044,-0.053380746,-0.057806924,-0.039146893
-0.087059855,0.060907014,-0.07234631,-0.04072569,-0.010195506,-0.008152685,0.008617843,-0.042206023,-0.024470912,-0.046045475,0.026168795,-0.037773386,0.049245175,0.038423214,-0.0787619,0.049350195,0.04516925,-0.010946853,0.045034707,-0.038575806,-0.06903151,0.07494939,0.02391626,0.008159472,0.007530317,-0.050893296,0.071634,0.046321753,-0.03470763
0.014721716,-0.0602049,-0.058487006,0.01605956,0.094332606,0.026808502,-0.029972607,0.049007367,-0.000329654,-0.078305185,-0.011125684,0.018226525,0.086919054,0.032145906,-0.040810388,-0.024436248,-0.005754285,-0.005055829,0.05576588,-0.004100169,-0.011835201,-0.018645905,-0.008062593,0.05723748,0.044700816,0.04290815,0.05175692,0.006800825,-0.041710492
0.02139492,0.06991498,-0.027812308,0.037692785,0.02629104,-0.040523767,-0.040586285,0.024045423,-0.005973314,0.017405862,0.04401777,-0.02973496,0.050791964,0.007483805,-0.050556872,0.06764724,0.073163144,-0.029478185,-0.036437463,-0.024295358,0.04223704,0.059218664,-0.023716504,0.055760216,0.026461918,0.050852448,0.0367194,0.0772337,0.004496404
0.052503802,0.057770975,0.08570963,0.052241433,0.05877314,0.05952058,0.04207842,0.014836729,0.027243666,0.018684207,0.03421739,0.051901788,0.028490555,0.043472067,0.060301792,0.04428636,0.03291415,0.05618596,0.032783963,-0.031501114,0.043985646,0.025467651,0.057661727,0.007971561,0.03897945,0.061248656,0.027737223,0.047073066,0.06422566
-0.07230132,0.036625903,0.032602616,0.065218166,0.03240745,0.07039697,0.04244059,0.028526125,0.060816363,0.009548392,0.078808665,0.05452781,0.055859767,-0.046126794,0.013607832,0.015940167,0.026738336,0.03107432,0.06745622,-0.017454863,0.001142109,0.061319873,0.037916668,0.045505453,0.06463031,-0.011339841,0.036308073,0.006583598,0.006149196
-0.008801806,0.020338232,0.037329186,0.007049746,0.05807674,-0.024348976,-0.04030936,-0.021453368,-0.061782956,-0.03595074,-0.041208897,0.016626855,-0.029200155,-0.042222727,0.05728071,0.038998842,0.025671326,0.041630063,0.004983779,0.012924685,-0.04295737,-0.006037935,0.03784636,-0.01805739,0.038671885,-0.03764569,-0.02961273,0.0387474,0.034245398
0.02919852,-0.052994594,0.05290646,0.03574789,-0.027847633,0.04989609,0.045689926,0.018652365,-0.03396635,0.033907026,-0.04817714,-0.047123663,-0.01985791,0.004964332,0.06348639,-0.048265886,0.04572065,0.06672973,0.06221754,0.006035512,0.048548628,-0.060292,-0.02334379,-0.070931934,-0.029954303,0.06798559,-0.052871108,-0.083375975,0.06381511
-0.0399622,-0.05211402,0.022825396,-0.07349637,0.046829764,0.0448617,0.08334909,0.049354427,0.04580498,-0.008046802,0.007557659,-0.03648618,0.06394099,0.025161555,-0.032737087,0.015724301,0.002537884,0.062259972,0.047460157,-0.044404782,-0.011954617,-0.0374124,0.050943077,0.047812387,-0.042186614,-0.020109214,0.044807788,0.025336824,-0.003297614
