,antler,arm,beak,beard,black eye,bone,brain,bruise,chest,chin,ear,elbow,eye,feather,fin,finger,fist,foot,hair,hand,hoof,horn,lips,lungs,mane,mustache,neck,nose,skull,spot,stomach,tail,tattoo,tear,thumb,toes,tongue,tooth,trunk,wing,wrist
ear,0.33135050351118056,0.42362137373964115,0.4063715982502938,0.37498981295320366,0.3581115524799443,0.3900385570415059,0.490815338434034,0.32742309628525723,0.4974198353939452,0.4264786889222293,0.9999999999999999,0.3677562891625966,0.559636505660656,0.3699161918213756,0.2582010113554758,0.5149802036734235,0.38977714930782303,0.5051859552947179,0.5510657417737388,0.4515502788918704,0.3244645750126066,0.427400094126101,0.4693952796014611,0.3792866301270944,0.28951484109952785,0.40457558358919254,0.5225072382833672,0.5303479942430235,0.5030250857141022,0.3452070979641211,0.4243111769192145,0.4385719671598661,0.4511562358671233,0.40953485121615896,0.4814577234514261,0.4002614071780002,0.5235332875590387,0.5101525225443959,0.4328387574747097,0.3556244082253234,0.45970421407307227
elbow,0.36872618000172874,0.5950415738929135,0.35186373271304816,0.28881961910071563,0.43760093026455493,0.44976325444834586,0.3093913672527435,0.44557652541959114,0.3287423571946704,0.45140444741613606,0.3677562891625966,1.0,0.37703305830249567,0.3772345573152791,0.19777460782578105,0.392157744067822,0.45475394965168836,0.46127143834321127,0.3168771569025294,0.316350626319459,0.3065579703149799,0.36810088443886446,0.35671649122747473,0.36108557319321954,0.22135662266966893,0.1757356791871596,0.47323204751974957,0.35792525523416985,0.35397202924974236,0.27435791250856756,0.319552368509074,0.39622586429912243,0.34480405548200377,0.33087234744663496,0.35964143865341447,0.42585991758081065,0.3643536305364832,0.3286057775070492,0.3131467490061155,0.35958660392799136,0.46677285194193563
eye,0.24345136688190472,0.4241498482675303,0.4465050527168555,0.3493043067245496,0.642473753891259,0.4020728094336785,0.4522287935667286,0.38096546707692824,0.4662630775986569,0.4207705873587537,0.559636505660656,0.37703305830249567,1.0,0.3430108664305933,0.3721471142641418,0.483347996871218,0.46494213473624657,0.5101878970788742,0.4842794826352298,0.4789021616433311,0.34416283768656153,0.33718316850545726,0.49544126971953895,0.3239362005171691,0.2989715556221333,0.35528619995409816,0.41898937111684864,0.4227762651699052,0.42723199030808545,0.45731716124868116,0.4009495706434769,0.3920018031053545,0.4022312155090635,0.46488657666145317,0.45730393685083204,0.41264130471708294,0.4600651664668757,0.4669430523926422,0.3763577574639587,0.39618530395433416,0.45911142028633034
feather,0.3025252180600394,0.34276143227895983,0.5013722388187711,0.3178099592722925,0.28060123894012134,0.3464404100232015,0.28772626074970187,0.37700062857252936,0.37740202907845344,0.39656830884671956,0.3699161918213756,0.3772345573152791,0.3430108664305933,1.0,0.2664286915823051,0.4198560482359963,0.3660205844460991,0.39296873241670527,0.42787758884849025,0.3237031954557541,0.4055997172386162,0.36414862021627836,0.3761412224310783,0.2971019832574735,0.340285505570288,0.26809842470572853,0.4100816577020032,0.33258709590715974,0.3720213765375564,0.22423403536537423,0.35153106521765565,0.3762927960416751,0.3517028633618141,0.3012482970199596,0.3578870969683019,0.36332962730647744,0.30988067840423095,0.2904925678041368,0.286679374075941,0.49839138570438224,0.42866573195668334
fin,0.1660735220467877,0.33600450882090405,0.2403182526483001,0.2425960370606497,0.27951937302574714,0.23906739341390326,0.28504902506877117,0.1496561564092359,0.3423861944517548,0.294108734187565,0.2582010113554758,0.19777460782578105,0.3721471142641418,0.2664286915823051,0.9999999999999999,0.25034923106198237,0.2689335491294538,0.3433841607787471,0.285051064822748,0.3741259443989021,0.26375272427208096,0.28005516026974586,0.28368183349450304,0.23264656060938482,0.19106386345567672,0.22735117905975644,0.30022270005131335,0.23400382834519617,0.281752593861861,0.38146888924559397,0.3026796927436668,0.4116427409983907,0.1781418638219926,0.34849121397158545,0.25728215906796315,0.21098128518025905,0.23159799690321514,0.24450162160477273,0.31942885258721754,0.2695114504777527,0.25361057239977514
finger,0.22513515999019662,0.45373406820407813,0.494954320627389,0.26322189532840923,0.41167735585359244,0.4404297142569913,0.4388200672939695,0.36726172718434424,0.3801837038757623,0.34920416202306015,0.5149802036734235,0.392157744067822,0.483347996871218,0.4198560482359963,0.25034923106198237,0.9999999999999998,0.5979521126507071,0.5375518195835963,0.4436400768607909,0.6626499114455838,0.3012975650297264,0.3678362954741181,0.4820412055254115,0.2773197883112324,0.28498533997865594,0.2719610852950851,0.4849633218131295,0.3813502251180365,0.4225000601779675,0.28237415437137714,0.4402654741295039,0.40694345402674936,0.34461924054658777,0.3741523636402342,0.7320627659178875,0.5160971669273806,0.4947742022420365,0.39568476800355756,0.32825842839345776,0.3578139924383299,0.5645770115083343
fist,0.3218333840399288,0.5245864037239223,0.4786981392116645,0.37443516159617185,0.5179365424066223,0.44703164122233274,0.3401864985595511,0.34459153502563544,0.46799806071297545,0.4568591199861186,0.38977714930782303,0.45475394965168836,0.46494213473624657,0.3660205844460991,0.2689335491294538,0.5979521126507071,1.0,0.4430560968672069,0.3535484724196234,0.6304368137871059,0.2280380018773127,0.404364785686691,0.39785666640065553,0.32636972681147947,0.24153175783453762,0.2865578662808477,0.3847010864790319,0.36644486956102496,0.42995051780194615,0.30373955564245847,0.34468613013386773,0.322249268232786,0.27150047516453757,0.43183552773784695,0.5079711450162101,0.407230646134484,0.3934939928442992,0.3830987609925326,0.4127792496768433,0.3776511532486758,0.47497300619075833
foot,0.31437655845889,0.5484430776645955,0.39036965461115103,0.36386834722817296,0.393927469185559,0.5012951565996162,0.3927926237964151,0.42353276057445965,0.5028673836838069,0.3752174214206253,0.5051859552947179,0.46127143834321127,0.5101878970788742,0.39296873241670527,0.3433841607787471,0.5375518195835963,0.4430560968672069,1.0,0.4458925470466226,0.534312098158109,0.5110456111850672,0.27750444094282334,0.3994550135050159,0.4064088308406608,0.35049318467866897,0.2995343064172209,0.4602127377339986,0.46242438129121366,0.33318552773381216,0.3982586477196204,0.44970858009163583,0.45928512726062376,0.4300524017023719,0.35061810440930297,0.5756407946034595,0.6661477273887418,0.46910975774611297,0.41977370996077834,0.4387013807063336,0.4273789419477496,0.5460473448402063
hair,0.2865880000753054,0.3870700361004191,0.359679842198968,0.49118916022025405,0.3769446953957496,0.3002421478248183,0.4696553834825564,0.3277772715558479,0.47299100112871695,0.3945725114364189,0.5510657417737388,0.3168771569025294,0.4842794826352298,0.42787758884849025,0.285051064822748,0.4436400768607909,0.3535484724196234,0.4458925470466226,0.9999999999999998,0.4045189336957843,0.283308033121779,0.27610542193606824,0.5062578351905888,0.4085309265392547,0.4284656700286187,0.4802820344501164,0.4318719466880445,0.43588017550297875,0.3110637372573213,0.3041062617500532,0.4694531154403916,0.4125912338557296,0.5033849477420437,0.37098903539947625,0.42474640933080265,0.42508953204530764,0.4638746265353173,0.4431127925100322,0.3770300428179625,0.3184454426198169,0.414926623743591
hand,0.3013943045926172,0.628284769955139,0.3869040189784434,0.31794451193709006,0.3939422624395348,0.3699094085772461,0.37360493606393697,0.2715017441080241,0.4712414148026731,0.3047943179547219,0.4515502788918704,0.316350626319459,0.4789021616433311,0.3237031954557541,0.3741259443989021,0.6626499114455838,0.6304368137871059,0.534312098158109,0.4045189336957843,1.0,0.24608586220442363,0.355261412644288,0.3753449431259852,0.2939530622174935,0.28058980343893847,0.26037281479403795,0.44360389071684825,0.3126734813991706,0.3752475834847424,0.3104150798641696,0.3304785272138887,0.3543164876204915,0.35769123628338084,0.34973727608073757,0.5464655642840283,0.35753879503272723,0.41547403232555113,0.32566006782183987,0.367182918382279,0.36951564861277064,0.5689341661531201
hoof,0.4866767540723598,0.2285724046731169,0.4745452982821823,0.2594573536377003,0.27652976871609525,0.3808981134448681,0.24981575848805426,0.35615638670670935,0.29928575089047404,0.25065806772333454,0.3244645750126066,0.3065579703149799,0.34416283768656153,0.4055997172386162,0.26375272427208096,0.3012975650297264,0.2280380018773127,0.5110456111850672,0.283308033121779,0.24608586220442363,1.0,0.36400749629672724,0.2766934581797159,0.2611320398423589,0.5179420898603482,0.2656126439766563,0.29282986514391574,0.2817151646547924,0.2723107665043556,0.24309958852785474,0.20669175723229904,0.41687035665826677,0.21690816846735372,0.2858018079960951,0.33134403061345274,0.42797810191139707,0.32628771713186433,0.34929952232879313,0.3054528299952072,0.3189750350830225,0.3099470333329226
