Body Parts,antler,arm,beak,beard,black eye,bone,brain,bruise,chest,chin,ear,elbow,eye,feather,fin,finger,fist,foot,hair,hand,hoof,horn,lips,lungs,mane,mustache,neck,nose,skull,spot,stomach,tail,tattoo,tear,thumb,toes,tongue,tooth,trunk,wing,wrist
-0.01849207,-0.03967171,0.03340398,-0.052369893,0.0524999,0.006596769,-0.053483974,-0.02821809,0.04601453,-0.06823629,-0.067819454,-0.0914408,-0.05685444,-0.012523145,-0.027121158,-0.04997752,-0.032448024,-0.05946388,0.00656578,0.013892357,0.03206329,-0.025828132,-0.08279855,-0.0824787,-0.082466565,0.006359378,-0.014923276,-0.074382,-0.061503835,-0.073864356,0.017732153,-0.027640527,-0.013744571,-0.0030730856,0.031040443,0.0013911336,-0.06874431,-0.08460411,-0.08357043,-0.08161379,-0.026597,-0.05193339
-0.039130088,-0.0069160406,0.085704446,-0.057029106,0.04859944,-0.06593186,0.027242184,-0.028894944,0.03707981,0.02429053,0.038171206,0.051191617,0.044904593,-0.07964503,0.058108,0.005051541,0.0051002735,0.02731117,0.058898803,0.0060238144,0.007219142,-0.023360157,-0.043977063,-0.0815497,0.012562617,0.052638475,-0.03309885,0.066380404,-0.077004775,0.0175286,0.045678426,0.041992363,0.038487326,0.07463078,0.0009192554,-0.0024570934,-0.012826544,-0.007491376,0.039336875,0.029218078,-0.06656682,0.07117935
-0.045105767,0.033934046,0.011583499,-0.06428029,-0.023890676,-0.03115671,-0.08356529,-0.07371655,-0.050527554,-0.028199337,-0.04373061,-0.041879546,-0.04439617,-0.054383583,-0.067803286,0.02460087,-0.049560625,-0.058298305,-0.020567268,-0.04841595,0.008786307,-0.018642122,0.07869708,0.052564487,0.033024196,-0.0046720486,0.0056298617,-0.0627963,0.012140477,-0.07516923,-0.02212641,-0.013049672,0.057833806,0.0069556152,-0.039066795,-0.028188845,0.024993205,0.04030502,-0.045170695,0.056168422,-0.07892172,-0.06195955
-0.0071407957,-0.0018378648,-0.0430278,0.0019747012,-0.023525555,-0.056277398,-0.08294576,-0.063832134,-0.054182395,-0.04478377,-0.013502562,-0.076982856,-0.038507532,-0.05417706,0.013781799,0.0037624037,-0.010870052,-0.01870758,-0.05942665,-0.04068693,-0.044853244,-0.024309063,-0.052743994,-0.00070402847,0.03465091,-0.025737146,0.0034464032,-0.052288927,0.045633867,-0.055859026,-0.053855747,-0.048823975,-0.06926889,-0.036856953,-0.07354288,-0.0363522,0.004555883,-0.07131059,-0.033420905,-0.056804042,-0.036445007,-0.04890363
0.057622217,0.014459972,0.029090928,0.018270561,0.030145703,0.037655953,0.038281556,-0.061223503,0.056255843,0.07050327,-0.0022335954,-0.011724543,0.03991521,0.032385428,0.05949678,-0.0061136573,0.058806248,0.074069165,0.04014142,-0.0036491265,0.046108983,-0.027062131,0.021902625,0.02243259,-0.017234655,-0.044996608,-0.0049073193,0.042171106,-0.011273716,0.001293269,0.077696845,0.06959134,-0.022459479,-0.03892462,0.010571376,0.021634549,0.06626843,-0.06703812,0.012367756,0.07302692,0.039860174,0.04197368
0.056894753,0.06908036,0.029601024,0.04080407,-0.04624492,0.0045598764,0.08164535,0.038810335,0.057855703,-0.0029516101,0.04200168,0.047369037,0.036382493,0.031146636,0.0667198,0.048981313,0.03302455,-0.061357502,0.032730665,0.0768627,-0.051460437,0.062003367,0.06991455,0.009119183,-0.020625008,0.069591224,0.057397217,0.0050119585,-0.07478666,0.07923983,0.050978445,0.035011567,0.049084947,-0.003452688,-0.047391854,0.056499533,0.03248805,0.030369528,0.021148307,-0.019426031,0.06745761,-0.011277194
-0.07748869,-0.05744484,-0.017149052,0.05208444,-0.0007944371,0.012493618,-0.06052889,-0.054907598,-0.056091383,-0.0028897866,0.043517947,0.019370237,-0.044391632,0.07623448,0.041304905,0.01083045,-0.052665826,-0.0009776849,-0.027503286,-0.036625773,0.016852511,-0.0070725014,-0.040544286,0.026533334,0.027825318,-0.072593875,-0.013987627,-0.010800693,0.009206824,-0.025323939,-0.050908595,-0.05861047,-0.03730114,-0.06807623,-0.032682765,-0.08036521,-0.011228336,0.011257881,-0.039617002,-0.002623861,0.030139027,-0.002303463
0.029384742,-0.009062114,0.04325661,0.045979448,-0.063468665,0.036454935,-0.036488935,0.08247189,0.049990088,0.043056507,0.022631027,-0.028572122,0.019896632,0.029665738,-0.06869915,-0.039895523,0.0007392472,-0.03533819,0.027445279,-0.054888885,-0.04960765,0.05305489,-0.042151894,0.037573125,0.06359329,0.06434404,-0.04542628,4.0048753e-06,0.024115741,0.004022462,0.005614698,-0.00274548,-0.0364015,-0.050326712,0.005361205,-0.03651858,0.009984533,-0.02918431,0.0061971107,-0.067191444,0.059690993,0.029296387
-0.083849706,-0.07959334,-0.07444004,-0.06005143,-0.034942407,-0.0028502203,-0.00015146591,-0.03725564,-0.064187236,-0.058187544,0.016114473,-0.009926061,-0.026546402,0.049496673,-0.077483915,-0.05396606,-0.016144037,-0.085454985,-0.012305307,-0.076005414,-0.08125468,-0.06687572,-0.06484182,-0.058826506,-0.08128152,-0.07307971,0.01108954,0.031757202,-0.044261526,0.017251065,0.035623305,-0.04942913,-0.05649665,-0.023926662,-0.03879701,0.0362955,-0.04630352,-0.026107049,-0.07023699,-0.04694976,-0.022496423,0.04461114
-0.030388176,-0.02698948,-0.036846828,0.08635353,0.020580025,0.07388054,-0.013293174,-0.004495699,0.0030840805,0.041170165,-0.04393535,0.07038769,-0.042585418,0.088476524,0.07551239,0.027090408,0.07781888,0.06481667,0.09409256,0.00670582,0.062210314,0.09079955,-0.022936577,-0.07326054,-0.036039967,0.08267197,-0.029384183,0.018993575,0.02753383,0.049160488,0.067726016,-0.028101599,0.05671126,-0.0014474457,0.023858868,-0.0039624916,0.08487188,-0.07807721,0.058520112,0.022133715,0.08754364,-0.01628866
