Fruits & Vegetables,apple,asparagus,avocado,banana,blueberry,broccoli,carrot,cauliflower,celery,cherries,coconut,corn,cucumber,eggplant,garlic,ginger,grapes,kiwi,lemon,lime,onion,orange,pear,peas,pineapple,plum,potato,pumpkin,raspberry,strawberry,tomato,watermelon
-0.0007709204,-0.04075948,-0.07561458,0.020673743,0.011589449,-0.009679907,0.032366097,0.006040936,0.035281416,0.04871553,-0.043456286,0.010319454,-0.025059793,0.046746414,0.048336964,0.027308658,-0.042120397,0.02288376,0.06670628,-0.02003397,-0.049053986,0.040323365,0.049083456,0.0362658,0.061594345,-0.005832893,0.026734097,0.04459498,0.012209444,0.026519937,-0.039859418,0.04222119,0.021807496
0.07841463,-0.018719407,0.0051410208,0.030937962,-0.040835448,-0.026392024,0.06824366,0.069139995,0.050752103,0.0059517045,-0.0452162,-0.014406729,0.01556943,0.019139392,0.04403017,-0.00022385948,-0.008223677,-0.014289591,-0.011658707,-0.008777433,0.0053254166,-0.030694554,-0.010916177,-0.04346827,-0.026111465,-0.021224683,0.0077467775,-0.03776938,-0.03722222,-0.031238444,-0.04554608,0.013975669,0.011667485
-0.0011252121,-0.014105317,0.023220502,0.029372895,-0.0007785244,-0.07633071,0.05033626,-0.044807643,-0.03482453,-0.060924217,-0.039202772,-0.05674349,-0.03613939,0.07452399,0.068168595,-0.044452265,-0.056893952,-0.069248185,-0.07709857,-0.074248165,-0.043443114,-0.056095675,-0.06922895,-0.028682481,0.065339476,-0.066602886,-0.034569435,-0.046365097,-0.07137402,-0.04487547,-0.0063706064,-0.028343614,-0.054457415
-0.0018888875,0.019020293,0.056030873,-0.066940635,-0.06323308,-0.0070722904,0.013530545,0.06983672,0.07601367,-0.041045398,0.07685067,0.06844126,0.04279639,0.013797454,-0.071170464,0.015062459,0.0063265096,0.019274322,0.023166593,-0.08138382,-0.027364189,0.050128724,0.061501805,0.08013373,0.058490787,0.0027046367,0.011056701,0.0011267773,0.015790561,0.05344086,-0.014578444,0.05436262,0.029065523
-0.0012582818,-0.07315565,-0.02558465,-0.058923643,-0.068511076,-0.0060827895,0.014203572,-0.010846358,-0.0014647332,0.04023399,0.00076882605,0.032224964,-0.01800606,0.045798525,0.0046092877,0.06924174,0.06275333,-0.0028375993,-0.011755167,0.024683738,-0.04114584,0.048976216,0.016389724,-0.036712963,-0.036160216,-0.055826478,0.013111095,-0.046235874,0.0435442,0.010408334,-0.044084005,0.036842044,0.053684395
0.00905724,0.038985744,0.066464655,0.011713153,-0.030524967,-0.049418453,0.0783061,0.0596946,0.07316913,0.07157609,0.0024258315,0.01368792,0.07791447,0.051566973,-0.058685638,0.06832994,0.010304062,0.04630385,0.04455183,0.048512585,0.06401861,-0.030606598,0.062446527,-0.017998943,0.06383664,0.025326569,-0.024573434,0.061637558,0.011307229,0.047351625,0.049283147,-0.0072289305,0.06969539
0.03881807,-0.050820578,0.00013523153,-0.025476413,0.011859139,-0.06339282,-0.015522904,0.025936536,-0.066220336,-0.05947409,-0.027045734,-0.038546722,0.06497363,0.0014065846,-0.0659805,0.016223514,0.052110933,-0.045599557,-0.012674278,0.026787933,0.060171682,0.04608907,0.05172795,-0.03042191,0.04114214,-0.034914114,-0.056287456,0.022699134,0.014253543,-0.060834058,-0.037089206,0.0026144476,-0.03652713
-0.0018224095,0.011631791,-0.035080418,0.06703188,0.031940024,0.015935482,-0.013385433,-0.04616384,-0.063826405,0.012751476,0.011730646,0.03869887,0.027224274,0.030438017,-0.03213494,-0.0021064633,-0.03874172,0.03952328,0.023433696,-0.005142468,-0.013647326,0.0754817,-0.060899563,0.056822654,0.06957309,0.03147991,-0.008870166,-0.0021395439,0.029017502,-0.027541569,0.016825816,0.011314055,0.013708693
-0.003642564,0.010453357,0.026364604,0.066758014,0.06694311,0.020513533,-0.048013937,-0.025373401,-0.0056275497,-0.045640964,0.0012584543,0.030625585,0.020844411,-0.012350225,0.022810666,-0.009394287,0.044439826,0.004470405,-0.056391496,0.027774138,0.012385988,-0.002192478,-0.028095717,0.012391688,0.002126247,0.02081945,-0.06801973,0.025681702,0.024735505,-0.018911175,0.062423382,0.018873744,0.014233351
-0.032530066,-0.014958449,0.007928098,-0.03851256,-0.058714826,0.01749821,-0.045055132,0.031946342,-0.038501754,-0.009851646,0.0133147165,0.037083656,-0.010020075,-0.029563928,-0.045191113,-0.057423834,0.028258177,-0.026441284,0.06325872,0.07076146,0.07181956,-0.05453218,0.048688628,-0.06899171,-0.06667097,0.04232861,-0.08175211,0.06979705,-0.07959978,-0.02196134,0.053191654,-0.021742973,-0.041952215
0.01937396,0.052373357,-0.017937606,-0.04273169,-0.047142457,-0.02207228,0.0024693145,-0.009952136,-0.011622805,-0.020102935,-0.052484885,0.003927866,0.062082037,0.0059187002,-0.01309406,-0.012012984,-0.04823504,-0.068044886,-0.07648831,-0.022237228,0.0061599715,0.045173116,0.0048553743,0.008743058,0.05537073,0.018772164,-0.026103549,0.05975772,0.035545528,0.0045764036,-0.060461815,-0.013930984,0.035320587
-0.022926703,-0.028790314,-0.05766313,-0.031332254,0.0044671376,-0.025995372,0.014382545,-0.062648006,-0.025362475,-0.041178968,0.033884156,-0.019588271,-0.009786192,-0.009514351,-0.024220813,0.002465162,0.039119165,-0.03674446,-0.0068791006,-0.053316344,-0.06403193,-0.023932006,0.024507076,-0.019836862,0.03896428,0.038525086,-0.0016224425,-0.0008290402,-0.0032701902,0.023119874,-0.008013719,-0.050737873,-0.0033516998
0.079716295,-0.06530188,0.07566039,0.01049912,-0.0719962,-0.08451303,0.07377977,0.024551239,0.07258107,0.00738829,-0.069744065,-0.05335692,0.055402756,0.0193986,0.05365304,0.07390846,0.016307157,-0.05921923,-0.043261513,-0.021639941,-0.03397198,0.07799278,-0.07178958,-0.041974403,0.0591592,0.005412531,-0.045419686,0.04828926,-0.01238979,-0.08168497,-0.07256506,0.07914495,0.029187884
-0.05602674,-0.027342757,-0.0036994792,-0.06846638,-0.05403531,-0.05048647,-0.028589524,-0.0085614035,0.0077719395,-0.030665858,-0.025112445,-0.05374122,-0.03683873,-0.022004802,-0.05670908,-0.03698902,-0.032881264,-0.058310885,0.011160258,-0.038756743,-0.041647717,-0.042643636,-0.04788843,-0.02432816,-0.027676793,-0.054122712,-0.0052702674,-0.054826837,-0.045262355,-0.040812187,-0.047653705,-0.05902803,-0.0664946
-0.062233023,0.0034271495,-0.075753786,-0.061494417,-0.07122993,-0.07667419,-0.07449508,-0.07221714,-0.07564125,-0.05636006,-0.075375475,-0.07259067,-0.08273556,-0.036428772,-0.076416746,-0.07409375,-0.04480816,-0.07249705,-0.0575823,-0.043585494,-0.02748556,-0.06688813,-0.007980689,0.023713632,-0.06454134,-0.06272965,-0.03335366,-0.065085396,-0.07710644,-0.049728133,-0.066866584,-0.07221318,-0.06475725
-0.0047613597,0.0791077,0.076207995,0.0428446,0.08153971,0.021810744,0.06635395,0.051692266,0.072068855,-0.040814348,0.07247279,0.049784258,0.057796992,0.040983696,0.012127565,0.032891557,0.052450497,0.0073963753,-0.031032389,0.030307036,0.059725534,-0.055117738,0.02489589,0.07053843,0.04022575,0.07396062,0.009342306,0.0003432513,0.059469517,0.052834023,0.08503754,-0.02468925,0.0069600143
-0.058209367,-0.0050046323,-0.052029613,-0.06651793,-0.059726257,-0.027022438,-0.04093544,-0.015622911,-0.015733017,-0.037292264,-0.06442333,-0.02916293,-0.06304069,-0.055325262,-0.050240945,-0.06342873,-0.06595919,-0.03887877,0.020285549,-0.03228659,-0.04383455,-0.04800788,-0.05616927,-0.05047742,-0.064227,-0.037896577,-0.015856283,-0.047423985,-0.045659933,-0.06170315,-0.031214567,-0.02925231,-0.051104207
0.027324343,0.0047922176,0.04996969,-0.052882027,-0.0380874,0.032610666,-0.027804542,-0.028204853,0.013067972,0.06861063,-0.0068638306,-0.05056297,0.03187277,0.04158768,-0.05562521,0.020684918,0.011786678,0.058251463,0.02509871,0.0072714733,-0.012428656,-0.02602411,-0.053341586,-0.07012487,-0.039580945,-0.04252513,-0.052765843,0.082097635,0.023149915,0.00083077943,0.05280513,0.08130876,0.02808635
-0.07506783,-0.0022616228,0.0006706632,-0.071804315,-0.013806061,0.04735203,-0.0032372246,-0.029374901,-0.067396246,-0.025012977,0.07544844,-0.043112095,-0.026270162,-0.06170154,-0.056359008,-0.02908829,-0.001094183,0.0743809,-0.06677464,-0.013340377,0.054619636,-0.025653068,0.07195834,0.034945894,-0.040401272,0.019099962,0.078654274,-0.06580248,-0.07278966,0.04461106,0.058115985,-0.012479079,-0.030713476
0.023970645,-0.038443856,0.06959189,0.06619282,-0.03075837,-0.0039457516,0.006519968,0.04277121,0.03936002,0.029200925,-0.052544773,0.015570343,-0.06979432,0.036374293,0.056231655,-0.02337209,0.06296086,0.027318591,-0.015340826,0.04526176,0.077402145,0.011703247,-0.001440287,-0.036697466,0.04104149,-0.06210616,0.030868076,-0.015774895,0.0027768838,0.033936046,-0.023777645,0.031918157,-0.045742873
-0.0038159876,-0.023355497,0.06457273,0.043608416,0.07398287,0.04536103,0.047884334,0.041181564,0.012175071,0.074453294,0.072176374,0.049319282,0.06546246,0.06795928,0.03178641,0.06743717,0.06734319,0.037745465,0.05237498,0.06264036,0.06737523,0.040699482,0.043048512,0.03071146,0.060949754,0.066639036,0.020653801,0.06586664,0.06865113,0.053703684,0.06847893,0.07256935,0.056854673
