Mythical & Mystical,alien,angel,arrow,bow,crown,dinosaur,dragon,fairy,genie,ghost,halo,hook,king,knight,map,mermaid,monster,mummy,pirate,queen,skeleton,snowman,sword,treasure chest,unicorn,witch,wizard
-0.008034153,0.016673544,-0.027259905,0.039965566,-0.029790945,0.036983315,0.04838434,-0.038558833,0.036360588,0.023849646,0.019850487,0.036442794,0.02827985,-0.017350323,0.019666364,-0.062876575,0.008853552,-0.008441529,-0.025658425,-0.0053977035,-0.029788893,0.023742802,-0.019812714,-0.05685447,-0.04051172,-0.021786869,0.07953734,0.04070838
-0.043239392,-0.030753454,0.043823738,0.075517684,0.06850346,0.06338965,0.044765096,0.04366368,0.048125885,0.027097516,0.060544368,0.062132783,-0.0041664215,0.029509153,0.0027396155,0.042918984,-0.005447533,-0.008300689,0.012881502,-0.04709086,-0.0031022027,0.046678945,-0.016576672,0.0009862599,0.0051202364,0.06996208,0.03348695,0.041318502
-0.02011034,-0.00938888,0.029999651,0.047817875,-0.0025942426,0.062426783,-0.032817185,0.021423856,-0.033443354,-0.0012070241,0.034377705,-0.0058757504,-0.03656022,0.024060583,0.019529527,-0.03613504,-0.030950988,-0.036263686,-0.051236957,-0.05332949,0.018574271,0.00402249,-0.027385522,-0.033758413,0.026290197,-0.04750576,-0.040164426,-0.053728137
0.08270589,0.08582583,0.0056255828,0.025035614,0.005262331,0.048384663,0.082451,0.00031019366,0.07874026,0.07633258,0.04600552,0.053538945,-0.021328602,-0.01429241,0.026679829,0.0067216316,0.07556524,0.0785375,0.039094653,-0.0024196964,0.036953066,-0.05202318,0.06902302,-0.02865907,0.06255939,0.06195878,0.022420954,0.032993577
0.0045322212,0.004511175,0.025645168,0.023945857,-0.07307554,-0.03882104,-0.043205272,0.014983863,0.013307087,-0.062639095,0.007911844,0.008141898,-0.03486259,0.035554346,0.052416954,-0.009017126,-0.007453225,-0.034936506,0.0038298916,-0.011066033,-0.055694025,-0.025325611,-0.048737153,-0.05862422,-0.07068192,-0.040260214,-0.013196876,-0.0007801766
-0.044429366,0.06907557,-0.06907574,0.015474576,-0.02910342,0.057026856,0.03345743,-0.0076393154,-0.010122791,0.010003317,0.060209017,-0.046555817,0.07696526,-0.035006713,-0.06821963,-0.040060993,0.051617537,-0.019502664,0.02745557,0.05901728,0.06465908,0.010539435,-0.027699873,0.071109384,0.046108585,0.02403849,-0.030186879,-0.01510297
0.030059094,-0.019736726,-0.044837486,0.041828025,-0.029502619,-0.039426304,-0.08285048,-0.024869686,0.06914305,-0.0041296887,0.020432621,-0.036073096,-0.07061792,-0.012614311,0.014765003,0.0023432097,0.05650771,-0.015257828,-0.07968281,0.080412015,-0.03243515,-0.0847976,-0.0657945,-0.020918747,-0.0052345884,0.05192956,-0.0022006293,-0.030842463
-0.05046568,-0.06146466,-0.020392232,0.04735183,0.01065859,0.025704177,-0.015741445,-0.06582722,0.021009745,0.003871634,-0.04801072,-0.04357659,-0.057147905,-0.023318578,0.02432493,-0.039832253,-0.03940722,-0.042661574,-0.056580506,0.016577685,-0.07158373,-0.03071031,-0.0351219,-0.04340683,-0.04055288,-0.056600653,-0.0698274,-0.006649956
-0.05743975,0.048876725,0.002164498,-0.0023252324,0.033937175,0.03441807,0.031847853,0.017141787,0.05063075,0.052471846,0.06454338,-0.034917347,0.037715588,0.0013634006,0.06250142,0.011226906,0.033043943,0.038504176,0.01341876,0.03611627,0.0646084,0.047249056,0.07616948,-0.002508533,0.073874764,0.03171651,-0.014341264,-0.034720425
0.031920537,0.062199794,-0.027023582,-0.0678493,0.0046225716,-0.027872907,-0.018836709,-0.013424843,-0.04102712,0.058698375,0.04630284,0.040752463,0.062091783,-0.005679984,-0.038624767,-0.022459533,0.035497867,0.02419825,0.063251376,0.067666486,-0.02971944,0.07452633,0.049227383,-0.016069153,0.03946259,0.001041553,-0.030513654,-0.052824106
