,alien,angel,arrow,bow,crown,dinosaur,dragon,fairy,genie,ghost,halo,hook,king,knight,map,mermaid,monster,mummy,pirate,queen,skeleton,snowman,sword,treasure chest,unicorn,witch,wizard
halo,0.35750929999996073,0.4124585388510782,0.1405521132071894,0.2437488281950818,0.3638586295372329,0.22231280438257306,0.33386376275175733,0.23974997785244323,0.09038034307182696,0.3289067562513198,1.0,0.24248959314921126,0.26264948194750715,0.3018224863224377,0.2251044208634514,0.21826537424222614,0.20409475268695032,0.24869546082973948,0.2202579171533936,0.26765691223627197,0.2043698931426794,0.2661434174364177,0.2842302950204878,0.19469756115989956,0.30211272207945195,0.28686413315476256,0.25604600202306416
hook,0.1528823346043503,0.24238325041905007,0.3234772608875156,0.42834940779249786,0.3552023811602043,0.26336998428827196,0.28211774434956216,0.24639502619232845,0.28485599235499837,0.2947270637405517,0.24248959314921126,1.0,0.21932400958754505,0.28479367937782696,0.23895343295017124,0.2609579136276887,0.28189251879466415,0.19191849701737285,0.28450397326799104,0.2817444165587065,0.26389668644246234,0.30620872211627426,0.3536331225481768,0.3063347202871858,0.27369875749051986,0.37576721442656436,0.318300332469579
king,0.25758344909018493,0.2578105840341607,0.29459085129152096,0.2610741584076137,0.44912504039349654,0.23824602170372877,0.4515663514060799,0.24551702757335214,0.20018601272008862,0.2880349878494146,0.26264948194750715,0.21932400958754505,1.0,0.5040364638383299,0.22884442700738628,0.10546733858109458,0.3485374748914898,0.3428779425821379,0.2972174280013564,0.5885694900851763,0.27465510736510645,0.38142816782852096,0.31146244437705195,0.15299104584968304,0.18439940661724719,0.23891481943160664,0.2912176688229541
knight,0.23116344731835803,0.3057500583945958,0.3753250190438264,0.32629810585329255,0.4004838624128827,0.23953093917227042,0.4175877066200717,0.34344800981693036,0.23049530264964269,0.3280162701928784,0.3018224863224377,0.28479367937782696,0.5040364638383299,1.0,0.2084253458662989,0.23138494814292143,0.3166229980614452,0.2892836921595032,0.37427990252177423,0.4380819092676962,0.2317281153922327,0.3907553378092258,0.46256075172066025,0.23994543549744063,0.29867826476735326,0.2835462548532002,0.35372968495779733
map,0.1569332845995659,0.16585556241984178,0.3973746239287146,0.2929958352619212,0.24333742828003324,0.11402527503916005,0.28148702910587375,0.17962467327035825,0.0,0.20492004364789485,0.2251044208634514,0.23895343295017124,0.22884442700738628,0.2084253458662989,1.0,0.051483442398193247,0.2440807770234641,0.1273940540209939,0.19248046760280324,0.20466324236640376,0.06187131047979,0.18106562739057774,0.22186117790828896,0.18779797160129197,0.13739940228673486,0.20461727759224058,0.1800977751606464
mermaid,0.3579985988229746,0.3009547002099411,0.15350504497921547,0.18539198951526425,0.18087012711993644,0.3368228236955726,0.31491106669646607,0.4106825557745817,0.41621310475682394,0.25607951887663893,0.21826537424222614,0.2609579136276887,0.10546733858109458,0.23138494814292143,0.051483442398193247,1.0,0.23119115076319363,0.24611477387367486,0.3503026483336307,0.2250368850268144,0.2455286954974515,0.27905204716723697,0.28365488556444596,0.2471499600791197,0.3813242337047156,0.3697695494607882,0.21587604988877962
monster,0.3400277222043313,0.3104666547202295,0.2187566647910888,0.1964525023993352,0.28034095594068686,0.2697208588319008,0.4126918823711909,0.3436291157098079,0.2211985502287599,0.2911003969963235,0.20409475268695032,0.28189251879466415,0.3485374748914898,0.3166229980614452,0.2440807770234641,0.23119115076319363,1.0,0.3602988579098175,0.3007437147635166,0.21783700809402984,0.27550101397667137,0.31824812950978265,0.2420911562915029,0.2557728121091707,0.2720250503515851,0.3743266995890636,0.29375511554018907
mummy,0.36224868337755023,0.36871677367263134,0.11517857644847274,0.17305328316156765,0.2605548006764353,0.26610912796569963,0.36343128547659875,0.3420443859144926,0.3116065318815131,0.35836474121041717,0.24869546082973948,0.19191849701737285,0.3428779425821379,0.2892836921595032,0.1273940540209939,0.24611477387367486,0.3602988579098175,1.0,0.2734706724911742,0.377332180578381,0.4174910889381104,0.41716252905935247,0.2662556450629814,0.23864586371360308,0.1889412710000784,0.3537826344436168,0.18969375441659464
pirate,0.34239389534781073,0.27597182476675663,0.2840631919208323,0.2859353232275236,0.2728551671686783,0.16807702233563804,0.3578616072001801,0.38803590071592553,0.220159753304756,0.3043541502469801,0.2202579171533936,0.28450397326799104,0.2972174280013564,0.37427990252177423,0.19248046760280324,0.3503026483336307,0.3007437147635166,0.2734706724911742,1.0,0.31394174956338694,0.2939852343865055,0.30075462728873326,0.29154458054356036,0.28008371817016897,0.16085857380704716,0.29929598645248445,0.3004997042465203
queen,0.30077582520285984,0.27418186143160095,0.20797736794494281,0.2575643218675465,0.4725768048263115,0.18753398934830712,0.4183497134576307,0.39371782079736206,0.2375131043191041,0.33628427415109785,0.26765691223627197,0.2817444165587065,0.5885694900851763,0.4380819092676962,0.20466324236640376,0.2250368850268144,0.21783700809402984,0.377332180578381,0.31394174956338694,1.0,0.20418558187515334,0.31733975089536126,0.320270728777329,0.2564321386379984,0.2590684310391689,0.23924793664070587,0.18066598806143286
