Food,bacon,bagel,biscuits,bread,breakfast,butter,cake,candy,champagne,cheese,chocolate,cookies,cotton candy,crackers,croissant,cupcake,dough,egg,egg rolls,honey,hotdog,ketchup,mustard,pancakes,peanuts,pickles,pie,pizza,popcorn,pretzel,rice,salad,sandwich,shrimp,soup,spaghetti,steak,sugar,sushi,syrup,teabag,waffles,wine
-0.024613786,0.050996535,0.07059348,-0.05837965,-0.04247579,0.010369301,-0.019055478,-0.005037376,-0.04761782,-0.011819471,0.006688875,0.013607462,-0.0145019675,-0.02188766,-0.065689534,-0.028860163,0.03072384,-0.058807347,-0.007683216,-0.05228237,0.07133889,0.07293704,0.059204727,-0.025400551,0.07148226,0.0048547336,-0.053271122,0.020094441,0.008491908,0.03270363,-0.06100536,-0.015443869,0.054306984,-0.00018238717,-0.072682835,-0.00828444,-0.028366651,0.052904557,-0.003709039,-0.010782019,-0.0352157,-0.06380205,0.037268378,-0.07193769
0.021746688,-0.03786696,-0.06404568,-0.067814134,0.015725125,0.012528675,-0.062175196,-0.03370559,-0.013641092,-0.03994709,-0.0109215975,0.030425075,-0.012046135,0.013742188,-0.068012945,0.007015745,0.046830937,-0.0019083238,-0.01565531,0.017101772,-0.07933901,0.0027345996,0.052623082,-0.02900709,0.055058956,-0.05391529,-0.0067028464,0.035637934,0.062550336,-0.049424917,-0.01572938,0.024905596,-0.053209472,-0.074816346,0.0005600312,-0.04318037,-0.033964455,0.04056833,-0.006631617,0.06889128,-0.020713314,0.019389007,0.068358585,0.03167145
0.012252615,0.02982199,0.072432496,-0.031422615,0.054135367,0.013770639,0.00844091,-0.042925667,-0.022694604,-0.018889643,0.029899994,-0.07100844,-0.05807367,0.05962121,0.06342037,0.06238207,0.014761807,0.036657836,0.0098728,0.011155855,0.026369844,0.04915474,-0.004128561,0.0052576005,0.012570442,-0.012091433,-0.0061006113,0.035393313,0.008524565,0.070173964,0.001844648,0.060266968,0.07463565,0.019941868,0.05190399,0.038388282,-0.05146218,-0.039914694,-0.02298368,0.057628326,0.0037614487,-0.014606889,0.04275959,0.026014756
-0.06818102,-0.013455473,0.035315473,0.0037822067,-0.031201193,0.0196656,0.047034066,0.014394548,-0.059791714,-0.019614702,-0.008492488,0.048961077,0.061612606,-0.08306335,-0.03154096,0.019151151,0.038253974,-0.04194246,-0.08565138,-0.07471228,-0.042120334,-0.0002114687,0.011988798,0.013669046,0.06157546,-0.00093810994,-0.019642899,-0.008259311,0.044947565,0.021904605,-0.016973522,0.0009362908,-0.0296582,-0.028811928,0.037892874,-0.041110266,-0.016073687,-0.04777496,-0.064074196,-0.025784256,-0.017310895,-0.058625262,0.046563555,0.059129003
-0.06362417,0.00021501201,0.044018716,0.017733391,-0.011001512,-0.05738601,0.057844393,-0.03194995,-0.022155931,0.065876275,0.029661521,-0.06985494,-0.028234864,0.041196875,0.040400125,0.009256603,0.029390315,0.0156739,-0.033881385,0.048569053,-0.07375785,-0.06439369,-0.05045048,-0.06353102,0.004599037,-0.03287479,0.04724566,-0.07232903,-0.05010555,0.0020102735,0.029774362,0.022477416,-0.05247892,-0.02503421,0.06806102,-0.056034345,-0.04072733,-0.033734873,0.029689947,-0.02930603,0.014603568,-0.059785385,0.026439797,0.007915476
-0.033905257,-0.033566445,0.057278726,0.0096507585,-0.005723689,0.059662502,0.041469563,0.024077244,0.038072117,0.04343556,-0.06267152,0.009826449,0.048464026,-0.022299683,0.031416595,-0.0069320803,0.044294387,-0.0048453133,0.048932504,-0.02560452,0.09032645,-0.012972703,0.058455914,-0.010461916,-0.009687373,0.056830246,0.059258804,-0.007721732,-0.06107119,0.025337996,0.072471745,-0.04841298,0.005982775,-0.020726416,-0.055490877,-0.044644013,-0.05288324,-0.030526226,0.08099864,-0.028583718,-0.0018459129,-0.01673669,-0.020630267,0.07128371
0.013360411,-0.04021605,0.010753916,-0.019681383,-0.019282626,-0.050112415,-0.050638422,-0.05714953,-0.013335672,-0.07943455,-0.034468513,0.010592085,-0.064446084,0.015821073,-0.009337905,-0.04344742,0.0065959576,0.013388933,-0.06017214,-0.05307336,-0.01937176,-0.011198771,-0.06484912,-0.049173806,-0.07505012,-0.025120493,-0.051657744,0.049816284,0.020389773,0.06785509,0.004025355,-0.06261713,-0.026129853,-0.019138262,-0.016535724,0.011300384,0.03152846,-0.009376673,-0.02814965,-0.043543518,-0.05458088,0.030817356,-0.028692579,-0.06624102
-0.024088271,-0.019868474,0.06546598,0.046993025,0.030625492,-0.027950583,-0.068398364,0.003648671,-0.039035063,-0.018539364,0.023690064,-0.014900375,-0.0063440353,0.055299107,0.06876973,-0.0820976,-0.039137997,-0.0024323235,-0.019807965,0.016264576,-0.012639777,0.06518237,0.068711236,0.059122507,-0.054210223,0.075251505,0.00079945073,-0.056631465,-0.024937088,-0.032072,0.052933123,0.065796,-0.008892876,-0.06408682,0.07068422,0.07293757,0.06916722,-0.076652266,-0.042530693,0.014499397,-0.05356287,-0.0015864001,-0.011065741,-0.07378302
0.04310759,-0.018435368,0.017378634,0.0010639308,-0.019511739,0.0056952387,-0.05335775,-0.04237179,-0.013198627,-0.04147849,0.039926022,-0.010655709,0.009573528,-0.06099303,0.011756974,-0.07620295,-0.012043411,-0.06445129,0.040016968,-0.034255143,-0.0074519897,0.011687571,-0.0662569,-0.034794174,-0.037892908,0.061147343,0.04384639,-0.052678727,0.031484462,0.005378136,0.021908488,0.017435763,0.060166325,0.03207054,-0.056377295,0.06312401,-0.066287465,-0.048587486,0.011904456,-0.013392622,0.006046412,0.026716126,0.034994915,-0.057934593
-0.07126618,-0.05129287,-0.053708818,-0.014147412,-0.034348626,-0.058463786,0.036638916,-0.06411708,-0.040242273,0.06392525,-0.04471228,-0.037931543,-0.039681736,-0.06791049,-0.06024285,-0.043238685,-0.07660111,-0.06699564,-0.015235016,-0.047193956,-0.047195792,0.044461474,-0.0033846889,0.050537832,-0.062001087,-0.008777574,0.04005872,-0.06146471,-0.0658885,-0.03327763,-0.0018323025,-0.055533778,-0.0044098357,0.025571624,0.0002650315,-0.045729466,-0.023285782,-0.0129347965,-0.07595437,0.0038610452,-0.015246145,0.062486175,0.0022088764,-0.069069184
-0.037235506,0.0751862,-0.0007543754,0.07254012,0.05509207,0.02918427,0.06475129,0.059726346,0.06422007,0.072277196,0.029629158,0.032813806,0.07685159,0.06645687,0.06385184,0.08472514,0.073306315,0.026153974,0.048263274,-0.013834911,0.0718899,-0.045930225,0.013112294,-0.047597572,-0.069029555,0.03552255,-0.023820637,-0.047348984,-0.046486765,0.07294717,0.07807527,0.050191782,-0.07060422,-0.027471095,-0.0739174,-0.016282147,-0.02213511,-0.06658046,0.08945743,-0.077018596,-0.0027184167,0.071178146,-0.05620986,0.07100658
-0.049270827,-0.034706876,0.07554682,0.049665645,0.0327279,0.03716812,-0.0005657256,-0.02082261,-0.04710888,0.01755572,-0.060027685,0.00078082556,0.02333617,0.052486017,0.04974899,0.07755455,0.06762336,0.038215563,0.042395476,0.06464341,0.056064267,-0.0012837575,-0.072485104,-0.053581152,-0.07082625,0.027522385,0.011390313,-0.0015126256,-0.032703303,0.03396908,0.028792728,-0.026958432,-0.04988572,0.028945992,0.027386168,0.079243235,0.02662875,-0.07208938,0.062389188,0.05282734,-0.0028525274,0.07458839,-0.031079793,0.012414225
0.048889454,-0.05707677,0.057478946,-0.054618876,0.04009415,-0.03263247,0.07837373,-0.038057033,0.00027812962,0.00081362936,0.059557006,-0.021783002,-0.015846658,0.021234773,-0.01987746,0.039545007,-0.0037081514,-0.04321362,-0.05307425,-0.06325228,0.052725676,-0.04340507,-0.029185813,-0.047992785,-0.07199218,-0.005250556,-0.02398129,-0.05347481,0.014722818,0.0536501,-0.02017045,0.020113118,0.04724951,0.026469229,0.073125064,0.01611978,0.038075216,0.050457045,-0.020719195,-0.03234257,-0.040763885,0.05960881,-0.062672846,0.05013181
0.051301673,0.014576066,-0.033183724,0.056268726,0.07212293,0.07028056,-0.0006846945,0.043390956,-0.00269715,0.027053062,0.007938899,-0.028950825,-0.021563977,0.00093359454,0.06376487,-0.015089613,-0.039613564,-0.021177094,-0.006533207,-0.015544645,0.049799632,-0.0020382195,-0.031524904,-0.0086314175,0.014406208,-0.013237709,0.008166958,0.026921662,0.012060645,-0.008990536,0.025692737,-0.004903882,0.014881841,0.037457902,0.0054123006,0.045829315,-0.035774045,0.03308062,-2.68962e-05,-0.06028659,0.02241125,0.055817746,0.062041767,0.07273587
