Tools & Hardware,axe,battery,brick,broom,bucket,chain,dustpan,flashlight,flyswatter,funnel,hammer,hinge,hose,iron,ironing board,jack,key,ladder,lawn mower,light switch,lightbulb,lighter,magnet,match,mop,mousetrap,nail,paintbrush,plug,rake,rope,saw,screw,screwdriver,shovel,springs,thermometer,vacuum,wrench
0.0070139156,-0.059261594,0.013163169,-0.014723036,-0.06713191,-0.025959166,0.024926439,-0.023335641,-0.040411837,-0.036344502,0.0018062512,-0.022031277,0.016938766,-0.057040893,0.011022527,-0.044832494,0.033674393,0.021883102,0.024158297,-0.012168118,0.066360034,-0.017209101,-0.028995194,0.020688351,-0.0076636625,-0.048268467,-0.05804238,-0.025359903,-0.035432667,-0.032684557,-0.05091862,-0.024143169,-0.019668391,0.030483522,-0.042953007,-0.030412775,0.0698393,-0.034226093,0.007264774,0.013320198
0.04441875,-0.024233824,0.08001195,0.0036275885,-0.044692867,-0.042378724,0.018254612,0.041811995,0.0052312016,-0.07727367,-0.06784392,0.005773039,0.016999166,-0.074108034,0.07104083,0.03365053,0.054876775,0.042680547,-0.052097872,0.011851089,-0.046867725,0.02639778,0.013385367,0.07526898,0.041250877,-0.029229535,-0.03341369,-0.01769299,0.0274326,0.064043395,0.0055055874,-0.078018434,-0.0050652297,0.05080841,0.059630584,-0.010270845,0.071963266,0.0018781291,0.05731439,0.021685341
-0.004676241,-0.04320828,-0.019692158,0.024016058,-0.0068796948,0.026515374,-0.07314831,-0.01216971,-0.018233536,-0.051865704,-0.019218165,-0.0737759,-0.06825252,-0.06288675,0.04156148,0.033254385,-0.07286028,-0.065747336,0.057224926,-0.030046277,-0.0329193,-0.003353263,-0.0014857906,-0.016531954,-0.018158844,-0.060847588,-0.049237434,-0.06660739,0.054845016,-0.062199615,-0.023036346,-0.05151918,-0.025803566,0.0033895352,-0.024464434,-0.036950476,-0.008089967,-0.051036526,0.013238768,-0.0574746
0.04255967,0.05988394,0.07374696,0.045673948,-0.044021618,0.035910405,0.03356409,0.042207055,0.072035514,0.014947343,0.0021867987,0.04176005,-0.018093782,0.051990576,0.01740738,-0.062324505,0.06923864,-0.007827035,0.055744603,0.055275694,-0.05002906,0.017821552,0.06607908,0.021247648,-0.008114917,-0.035582248,0.042733144,0.024348252,-0.027178448,0.027024897,0.06840709,0.041505285,0.01805081,-0.00636951,0.0069919173,0.056040145,-0.0037701642,0.005626042,-0.0062912144,-0.011086157
-0.060504757,-0.051368024,-0.07623209,-0.033161268,-0.07507259,0.06344974,-0.053116493,-0.10134949,-0.016222322,-0.042124216,-0.046810362,-0.07691745,-0.03139736,-0.06800891,-0.013927362,-0.01613422,0.07304955,-0.03369636,0.014290762,-0.021788575,0.04787763,-0.01924829,0.04059638,-0.076194935,0.04533857,-0.06138313,-0.06426628,-0.029527975,-0.055745836,-0.062347688,-0.04898814,-0.0025596942,-0.025819993,-0.067607716,-0.061164714,-0.060364965,0.015003315,-0.047720887,-0.05962254,-0.06357824
-0.053560533,-0.06329057,-0.034028213,-0.052657627,-0.06499578,0.004761139,-0.012722383,-0.04116232,-0.010939973,0.01163291,0.002225824,-0.070762746,0.04595101,0.02387551,-0.017926209,-0.032462284,-0.06101537,-0.04287231,-0.028860524,0.05587157,0.041401137,-0.027541943,0.050889615,0.024123928,-0.033217274,-0.008890025,0.012358036,-0.06806901,-0.07926315,-0.048516758,-0.07269451,-0.017526045,-0.014285741,0.045644905,0.007197898,-0.05374854,-0.05869108,0.004983051,-0.018349633,-0.023444163
0.06511735,0.03539785,0.029228097,0.06438075,0.051834617,0.0062251408,0.026029129,0.046576533,-0.0040689167,0.022919124,-0.0061443853,-0.033641554,0.01986931,0.011634593,-0.027466169,-0.010354901,0.055845175,0.08562807,0.04005156,0.0030388965,0.057866115,0.027612166,0.03020987,0.019109752,-0.027845135,-0.0040503135,-0.020522144,-0.0052036755,-0.013713535,0.028919417,-0.010005951,0.05408075,0.06025341,0.06549989,0.064287946,0.038573828,0.010450422,0.047947645,0.037754852,0.06911854
-0.052471884,-0.048259232,-0.033020895,0.02337384,0.022296138,-0.028338602,0.039723262,-0.00091449317,-0.008456615,-0.023430528,0.019722773,-0.062045842,0.0046302336,0.009248008,0.06705636,0.06370309,-0.06314685,-0.054355353,-0.02141811,0.06732799,-0.062291224,-0.023290668,0.052785873,0.047534987,-0.01423963,-0.044279136,0.035313424,-0.012359047,0.06479352,0.039714307,0.0054041534,0.044817835,0.07465941,-0.008626488,-0.078264184,0.04039149,-0.052512713,0.034448065,0.010346277,-0.04836818
-0.034919757,-0.009528537,-0.026392512,0.032407448,-0.056753717,-0.0035740633,0.0625182,-0.017925063,-0.0046145534,0.027351558,-0.024392389,0.005868451,0.06804492,0.009932259,0.020327648,0.057673667,-0.05610982,0.03812652,0.00093421707,-0.038327176,-0.056901835,-0.0017510727,-0.058362126,0.044073537,0.06582908,-0.070274755,0.05575725,0.00019104866,-0.023854462,0.0067900014,0.018065913,0.015410041,-0.017279865,-0.0038024145,0.017682998,-0.042747248,-0.049530577,-0.048833475,0.038401656,0.04939216
0.015315404,-0.02620539,-0.050751913,0.062269486,-0.02719464,0.02873899,-0.073722735,0.004465356,0.0047045075,-0.036833648,0.0042125317,0.010939691,0.065762036,-0.0067440434,-0.008721238,-0.0306652,0.013679591,-0.008851715,-0.038346402,-0.04665533,-0.0004391882,0.058709648,-0.07118758,0.069365874,-0.032629386,-0.043597296,0.0050776503,0.047835056,-0.0034866163,0.01550261,-0.07345036,-0.020919178,-0.048383635,0.07138615,0.07482741,-0.0043163905,-0.011534803,0.036626782,-0.032746263,0.046134207
