,ball,balloon,baseball,basketball,beads,binoculars,bubble,camera,checkers,compass,dart,dice,doll,dominoes,football,golfball,hopscotch,jumprope,kite,magnifyingglass,marbles,medal,microphone,needle,net,record,robot,sandcastle,sewingmachine,skateboard,skis,sled,slide,slingshot,sparkler,swing,target,telescope,tennisball,thimble,tictactoe,top,trophy,whistle,yarn,yoyo
marbles,0.4393880632070797,0.43691037144615885,0.3169031927833026,0.3340000668191484,0.5071239410081521,0.2713614003471896,0.3293901198933846,0.21229733592987543,0.3285044497511631,0.20872680996503823,0.28812343214185054,0.31768964397781796,0.2667289681284839,0.31414318964050636,0.2466508863210859,0.3854373682876836,0.3580077660598562,0.37788191302445184,0.22396097645933277,0.3407459151441825,0.9999999999999998,0.2526174501455831,0.317808443835808,0.3336921004747646,0.25358889283768105,0.19449808019139336,0.2665173276741267,0.280710560674833,0.28653394624424866,0.35664334087464733,0.1481500322152587,0.18378096847674819,0.2659905063432728,0.484431810473971,0.3534754631955357,0.26228811766338633,0.11590634405492806,0.234304257034896,0.2295343343851609,0.4093840444889717,0.3281114583480891,0.11125722969791674,0.26952589032764507,0.36962716312903576,0.31849934098918253,0.413471611376671
medal,0.3045436587519361,0.29003945594142044,0.32779133375565894,0.3573792808017088,0.19367164016893812,0.2522429397695616,0.2853658294531469,0.18941422779979922,0.170199430315211,0.19964916334993643,0.31292866475551284,0.2048839482539362,0.21221655214927215,0.12393178888726897,0.24287863492117756,0.22715932336803246,0.30417666029698087,0.36363899886578777,0.20065548690472035,0.21075629151269049,0.2526174501455831,0.9999999999999998,0.24046479975079282,0.30261351758315036,0.21198396475404124,0.3656431407863061,0.31570053561407185,0.05894432734741173,0.263141421711241,0.24570188828828254,0.1565991887832513,0.23814958862065194,0.21622681108161457,0.35887785380790294,0.24365338397919567,0.14609025493947414,0.23290548242953135,0.2347099411705167,0.17678061535525824,0.3288463137896678,0.2311713842344877,0.30087669634788794,0.536197651443312,0.25926701747220104,0.27603844691476453,0.32364395480967145
microphone,0.3325904470236971,0.30869756049361463,0.2523166022697101,0.3048915939969077,0.2807411005722127,0.28923746519333005,0.2829981450837089,0.44408483961536405,0.20363009010790745,0.36038895267402826,0.2497116996797012,0.23587723507735003,0.33779818837401665,0.3003980034357019,0.2077194142823343,0.29352567345326597,0.1763139147393733,0.2599550658415055,0.24311100664366725,0.26192820097042224,0.317808443835808,0.24046479975079282,0.9999999999999999,0.29924131330499804,0.28785452129997813,0.4254673432842686,0.3885155157588218,0.10795507479542632,0.3496964221062524,0.29964993013871455,0.19871924637559535,0.21038778789399082,0.282032520164073,0.2548820001787112,0.23978121285777632,0.287225994647096,0.21288754911497487,0.2696455760304737,0.29487226215957674,0.27611973002138335,0.31851837322039533,0.18253129585748884,0.2750891518576517,0.40497240797600886,0.31483577421342845,0.2946952050930012
needle,0.37801406182570807,0.41727977329837496,0.2713665946539803,0.3131584425982832,0.34244065480008234,0.21966167364088796,0.34696345677343465,0.33551397893329926,0.12224439925405495,0.3522683262034101,0.3277040828549763,0.22843841657161956,0.36642984676723,0.1319976680875118,0.21807764179352773,0.32862515266504055,0.31481830578659487,0.3282856630260418,0.3467086035101491,0.22402985758787963,0.3336921004747646,0.30261351758315036,0.29924131330499804,0.9999999999999998,0.19838876422471852,0.21806115200214016,0.24419967463695869,0.18109118637576715,0.3303382472304859,0.24247836276750745,0.2000697052425049,0.18785237695159607,0.21930553253653262,0.28527251174501367,0.3754773290696163,0.210805561885264,0.18074330106878522,0.23961403052977936,0.23898090500151836,0.3884127758410829,0.27463285417545524,0.2805821315935033,0.2315105044150395,0.21015697540960376,0.4266648900388158,0.31955205534494646
net,0.3780913382854044,0.22327893571929602,0.2828050576124679,0.2247893858547676,0.3016115481937509,0.19026258088489612,0.3701754931811486,0.31991988079939193,0.19554748296929425,0.1363808736116785,0.3435661473496707,0.24637652847070024,0.23111752164260135,0.31140500096351253,0.26692252216264367,0.3118094625188399,0.14743733700919504,0.2933106021594549,0.33897496918691017,0.14211651647794077,0.25358889283768105,0.21198396475404124,0.28785452129997813,0.19838876422471852,1.0,0.30618311781532015,0.3009832139999826,0.24429474543196816,0.3494342246978367,0.2421848582976892,0.19074144608375154,0.19524131104201614,0.26200043681942853,0.2186701120682394,0.19356345102178685,0.33427669790699377,0.3218251649856336,0.17295525237547948,0.3933196632210534,0.24582853201561838,0.3219793194996081,0.3248079980626656,0.3075729821706449,0.28127135608082476,0.3188575972579246,0.2345154247654666
record,0.21796602666910325,0.20817064790109807,0.2919985377900076,0.26784408420407757,0.09552187406922696,0.24486256552846108,0.20553760112716868,0.29439341515164985,0.13775145364463448,0.26052959042277424,0.13190534453736458,0.17048587176800922,0.25325651523825454,0.12149887011523408,0.23220093858756718,0.17401282525486317,0.22250886383853863,0.27679365692227664,0.14253503436743653,0.23083418935112177,0.19449808019139336,0.3656431407863061,0.4254673432842686,0.21806115200214016,0.30618311781532015,0.9999999999999998,0.21908781682144596,0.05027968849130082,0.29495490680436764,0.2511839675770562,0.09732694314657153,0.14222781631046078,0.35626846394950606,0.14898453740038853,0.19781513374669246,0.3147195172433884,0.2377128597383662,0.2008871429475243,0.2842121722987636,0.17508091215547372,0.21739561191094414,0.34587306185374633,0.4228530772317334,0.310301270166339,0.20216890094404716,0.22236590413217683
robot,0.3559167249221835,0.29583556241402476,0.3034085000293245,0.34124722313163836,0.19716755702495903,0.13238295455534355,0.2601808223723592,0.3803612481684008,0.22677392250176975,0.29826045176807225,0.3073931483314458,0.2583579143728236,0.4603369240681565,0.2662408670704104,0.3077092570169637,0.26493836925104564,0.2288694638714993,0.25286844974373934,0.19842883188468075,0.22975503440471545,0.2665173276741267,0.31570053561407185,0.3885155157588218,0.24419967463695869,0.3009832139999826,0.21908781682144596,0.9999999999999998,0.11552341265849342,0.35309319686855767,0.3371048769873326,0.17278470862650752,0.23667648612498804,0.2237135170211224,0.22746332138126557,0.2538025342700536,0.18979402782017452,0.22852842763915626,0.19497759355735345,0.21947878547697386,0.1928072815299684,0.3794836262020497,0.18391162451662835,0.2156851016728214,0.2840471782773213,0.2785953419574776,0.36450449424501685
sandcastle,0.25605646973365426,0.3352610817606294,0.22060692429612672,0.11395141664349451,0.18068300581829166,0.14093183641647655,0.25757480055663473,0.13483467551518724,0.18837894196279514,0.07586161134166425,0.2090877133130209,0.24341157755205622,0.18225529763729098,0.3149329284558505,0.21936278018248268,0.29536192574293596,0.3073907457212861,0.30241297021218116,0.19572819566721122,0.16697345022519083,0.280710560674833,0.05894432734741173,0.10795507479542632,0.18109118637576715,0.24429474543196816,0.05027968849130082,0.11552341265849342,1.0,0.18256604548150768,0.19425538226129868,0.1757369372333093,0.28489029720417514,0.275341249400737,0.23604157992464225,0.31694330248095226,0.2607092869985891,0.16810959395251046,0.17270088398351235,0.09190938784422609,0.17033074230282264,0.25670937562952756,0.14709812398077082,0.16320991992542466,0.14954678608237904,0.27051893069916355,0.22339580668895287
sewingmachine,0.3415709854794693,0.33006287437593906,0.25093248009375935,0.2721709444531344,0.3241815762536213,0.24707818940340887,0.3044891107577101,0.3337949382232219,0.18438109735975872,0.2917059730648195,0.29275138568304593,0.2751872882485604,0.41118118457064323,0.24828952909270907,0.25247168066442416,0.3581295938546233,0.2957797583970375,0.33675359642222025,0.32974287090288745,0.42249841023764567,0.28653394624424866,0.263141421711241,0.3496964221062524,0.3303382472304859,0.3494342246978367,0.29495490680436764,0.35309319686855767,0.18256604548150768,0.9999999999999998,0.2086078821318873,0.13702933305421117,0.2367636827869768,0.28915573253227544,0.21148315691965802,0.39167134471581355,0.2881693956962079,0.17153992804927454,0.22214881243490603,0.3134441192719153,0.34175154652588735,0.3205783119160075,0.2513074580490009,0.3215503286633308,0.4266342647169593,0.31036813538965735,0.30764459286924173
skateboard,0.3669396318778648,0.30438670502151255,0.4684260936573532,0.5212032557667826,0.2623676717855592,0.2286580761281476,0.2243435626866317,0.37698181691087074,0.3732731425845527,0.30338468102195226,0.23984311012613202,0.3227369002318782,0.33434640308478714,0.3751052853167878,0.4739401104974943,0.29674838560233185,0.3535884339234565,0.4338587916364305,0.27164458131704916,0.17171666008107977,0.35664334087464733,0.24570188828828254,0.29964993013871455,0.24247836276750745,0.2421848582976892,0.2511839675770562,0.3371048769873326,0.19425538226129868,0.2086078821318873,1.0,0.40586818285274506,0.33781417472268993,0.41176464608256436,0.27968361526131247,0.28091895230467046,0.3471622636892404,0.2211756671719386,0.232762362044453,0.28198293336048197,0.27161210327296326,0.3588080472575772,0.30312897358677726,0.23150749896458667,0.2286884577376631,0.21528768767817286,0.4342349932220766
