,birdbath,birdhouse,bleachers,bridge,ceiling,chimney,closet,crosswalk,door,elevator,fence,ferris wheel,fire hydrant,fireplace,flag,fountain,garage,gate,mailbox,maze,road,roller coaster,roof,sidewalk,sign,stage,statue,tunnel,well,window
fence,0.34594457431875314,0.27772659835681823,0.33649748007991476,0.45175488580013756,0.39031669873395813,0.36195334834947124,0.33190893368769814,0.3494358141291609,0.4884852516102607,0.30545114719853605,1.0,0.16760248290832203,0.4674712154357722,0.35001898134062126,0.23018480826371324,0.3571451185134158,0.35130425479624905,0.5319629268816607,0.3712953748490784,0.27415868450254355,0.3836994590420111,0.27055062848518396,0.45008128896798383,0.42876608868872745,0.3980695041828005,0.3231433253281337,0.3738996405909032,0.38574129574814964,0.20572034290926688,0.4856899676468056
ferris wheel,0.12041610702273842,0.195056407909182,0.28846728448545633,0.21074946047256105,0.28884584098987465,0.16108408739103475,0.29520293431426725,0.21557742326407214,0.21652761566336298,0.40115141636739815,0.16760248290832203,1.0,0.2580638577668982,0.21290973971097704,0.24845319962134216,0.38731965735435026,0.2857172200437984,0.1576588436445765,0.10325970672747498,0.34564243967135,0.24520090066921474,0.4854331071224274,0.23969421783394296,0.26678450271172305,0.13621641304366205,0.23615763446669125,0.25101964852871794,0.15373531385518824,0.05206473523264432,0.20767438330294974
fire hydrant,0.32901966765846913,0.19906625894571128,0.22121813489732223,0.28558224267744636,0.2847309572774477,0.40132335296751664,0.26542124956001634,0.3637398722106213,0.35306920524333263,0.3302090007583547,0.4674712154357722,0.2580638577668982,1.0,0.4394845614366558,0.3030382548501882,0.4170949435840723,0.27526280322470387,0.2912521166481232,0.3265094122893508,0.1844081359071683,0.302462389012655,0.3022730039765933,0.2679765580822031,0.4253385704299679,0.35216874699628586,0.23392873295571692,0.3419980335178009,0.2985265684439876,0.11117133247777289,0.35732887353348874
fireplace,0.2454931500171743,0.23676346027566653,0.27132780140501134,0.2936527445654942,0.38762319279243407,0.8361726941974169,0.38717989235476025,0.2113088956530188,0.44611487289937446,0.30084834439570507,0.35001898134062126,0.21290973971097704,0.4394845614366558,0.9999999999999999,0.27070358946638606,0.31702678594054134,0.33283520539223665,0.32710837499336753,0.3617480239700266,0.23397420773401556,0.2828649292517411,0.2780528963964929,0.39570088579001106,0.3142650928200519,0.3011268145236987,0.2789673156896485,0.2956339046146964,0.2474454502708745,0.15049184812483396,0.4103943692794887
flag,0.22302413964017143,0.2156571581190886,0.17924262171677752,0.32738767130359925,0.2805422105675486,0.33161788969394057,0.3265339968692149,0.20388798941613373,0.29831355607975474,0.26298682705848875,0.23018480826371324,0.24845319962134216,0.3030382548501882,0.27070358946638606,1.0,0.2565841376801916,0.3025504231582007,0.18657818275453053,0.2397222110406101,0.13898921806449005,0.30272824682465216,0.18102774931111898,0.25638943711860196,0.29340657028946826,0.3656728140292813,0.1316199911928866,0.30833108362168615,0.09986170813060535,0.214951175564573,0.23547002324856825
fountain,0.41203673221378756,0.1835691582406912,0.33030976852181637,0.36921171937122566,0.2822485936904856,0.32307909801152646,0.3585508923204064,0.25822654239240683,0.4021840841387031,0.29231093469981606,0.3571451185134158,0.38731965735435026,0.4170949435840723,0.31702678594054134,0.2565841376801916,1.0,0.2229499311960066,0.3978245542333523,0.26972225175538933,0.3133708054345995,0.2894110749833847,0.2931600795379383,0.36082863868554527,0.40019641631731184,0.2830830202204113,0.3021779890529521,0.3434839360058275,0.2880925032892401,0.18705836410395682,0.3645566064101232
garage,0.2351908957579294,0.3170799623379934,0.2924085495831673,0.2763139035364267,0.3700338324476934,0.30972196874283053,0.5019573208669084,0.14194228567854017,0.3687938300056558,0.3582493610123765,0.35130425479624905,0.2857172200437984,0.27526280322470387,0.33283520539223665,0.3025504231582007,0.2229499311960066,1.0,0.2583682477806275,0.2653403237670533,0.08894223123248246,0.39429044689609294,0.18710018420768648,0.41083384564506864,0.3536880750739919,0.3124047166801108,0.4051781523954563,0.2603728277352324,0.169621041110676,0.2726611030373738,0.38587904469638645
gate,0.24351337120198058,0.17697463800446345,0.3414315367426175,0.4314491072874964,0.33868518547763493,0.3453849217223144,0.3599168055889057,0.21387321504919565,0.695879135084366,0.3541275221913658,0.5319629268816607,0.1576588436445765,0.2912521166481232,0.32710837499336753,0.18657818275453053,0.3978245542333523,0.2583682477806275,1.0,0.3645591173913899,0.3588339621381058,0.3424189689235828,0.3007177930839271,0.3598092266240054,0.3169775277672008,0.4123985150980538,0.3186009234098275,0.36840623194089195,0.35986980937219837,0.17085551100011143,0.41423088641484207
mailbox,0.34117254443179634,0.24946314836277927,0.27752894555730134,0.3737779236210914,0.27394163731154864,0.401526923186608,0.3275315905421594,0.22474663221190028,0.47535719382330355,0.33992673649644456,0.3712953748490784,0.10325970672747498,0.3265094122893508,0.3617480239700266,0.2397222110406101,0.26972225175538933,0.2653403237670533,0.3645591173913899,0.9999999999999998,0.262559790631421,0.316201080680943,0.24683794172951878,0.23512419597887635,0.35220841019960947,0.3286515403332807,0.22643927823948784,0.22082769530724067,0.24662161525351067,0.066973324948714,0.41394365924746324
maze,0.20519467148340698,0.167931948751456,0.34200996451909493,0.25092911321542444,0.24401731689948858,0.26626309563519934,0.2663794462412732,0.3323846498564743,0.31673070685591775,0.3130761446124102,0.27415868450254355,0.34564243967135,0.1844081359071683,0.23397420773401556,0.13898921806449005,0.3133708054345995,0.08894223123248246,0.3588339621381058,0.262559790631421,0.9999999999999998,0.3324650298812287,0.4432090261377475,0.25520668729951335,0.25482235061202463,0.1747313616126458,0.31845456867402966,0.23121776381223647,0.42649643244364477,0.033469779394251775,0.2471270821456507
road,0.3048178219943478,0.22428245020869397,0.21308964531759345,0.4032254606215162,0.24370083404961895,0.275001369329808,0.3582808736394122,0.2826854780327641,0.4222668821038087,0.15711875079436066,0.3836994590420111,0.24520090066921474,0.302462389012655,0.2828649292517411,0.30272824682465216,0.2894110749833847,0.39429044689609294,0.3424189689235828,0.316201080680943,0.3324650298812287,1.0,0.2690317662972237,0.3579598446533858,0.4312933447226839,0.389908543350974,0.4452236746219531,0.3342426058527389,0.2994404662990888,0.3261633956912453,0.38117448169020185
roller coaster,0.16288200270164865,0.1651734644673959,0.3756330514885202,0.3282879431879506,0.23232597793342724,0.30034748187507654,0.2906167860053932,0.23034549591404707,0.30054197321283316,0.4116269203838858,0.27055062848518396,0.4854331071224274,0.3022730039765933,0.2780528963964929,0.18102774931111898,0.2931600795379383,0.18710018420768648,0.3007177930839271,0.24683794172951878,0.4432090261377475,0.2690317662972237,0.9999999999999998,0.3049330338330958,0.28039820250590264,0.2072399174445747,0.2467403808598264,0.273612786620157,0.31623353771585117,0.05707308979948977,0.2878848155165935
roof,0.2959404143038298,0.29984511994846164,0.40088237690610473,0.3668957361434436,0.5309777855062777,0.48404402387385015,0.40216452001467906,0.2105827592337144,0.493261961916281,0.3677908550551303,0.45008128896798383,0.23969421783394296,0.2679765580822031,0.39570088579001106,0.25638943711860196,0.36082863868554527,0.41083384564506864,0.3598092266240054,0.23512419597887635,0.25520668729951335,0.3579598446533858,0.3049330338330958,1.0,0.4005733883420286,0.27206745471730753,0.2956382377446358,0.23798677334184082,0.2883267763458537,0.20188031243907956,0.47954291182998077
sidewalk,0.3482193718393187,0.36937538460943964,0.4039448730817752,0.44088593208463944,0.3021686131202257,0.3191620998339162,0.2605820969022441,0.5161806693111602,0.402505438822671,0.30085331969795126,0.42876608868872745,0.26678450271172305,0.4253385704299679,0.3142650928200519,0.29340657028946826,0.40019641631731184,0.3536880750739919,0.3169775277672008,0.35220841019960947,0.25482235061202463,0.4312933447226839,0.28039820250590264,0.4005733883420286,0.9999999999999998,0.2948702723727511,0.30630767312297946,0.33279219307433106,0.22324505613145185,0.21498312922490181,0.3787067807730896
sign,0.2768718545676414,0.12139052866903477,0.22021728469859359,0.3486577517764259,0.24091263753987113,0.3178216904825488,0.27400161422757474,0.2677922791659101,0.48934134159231446,0.28630077598971615,0.3980695041828005,0.13621641304366205,0.35216874699628586,0.3011268145236987,0.3656728140292813,0.2830830202204113,0.3124047166801108,0.4123985150980538,0.3286515403332807,0.1747313616126458,0.389908543350974,0.2072399174445747,0.27206745471730753,0.2948702723727511,1.0,0.3743491808209781,0.37661302436200417,0.2015394504453547,0.291415065351438,0.36372504583698273
stage,0.18910907798924437,0.10149505137552806,0.3560110768867639,0.393592934512909,0.326494619932137,0.23134158379766356,0.34169311977877614,0.19906035852414727,0.33562218195352744,0.2602144432038159,0.3231433253281337,0.23615763446669125,0.23392873295571692,0.2789673156896485,0.1316199911928866,0.3021779890529521,0.4051781523954563,0.3186009234098275,0.22643927823948784,0.31845456867402966,0.4452236746219531,0.2467403808598264,0.2956382377446358,0.30630767312297946,0.3743491808209781,1.0,0.35008281872816416,0.26083616591543013,0.22773056211271903,0.31514739162376626
statue,0.23324038691332394,0.23120755259204384,0.31111053233594643,0.3498666929065397,0.2807252452216453,0.22858082303632388,0.355918631013288,0.25710388295644393,0.4074043345757584,0.2993879586361061,0.3738996405909032,0.25101964852871794,0.3419980335178009,0.2956339046146964,0.30833108362168615,0.3434839360058275,0.2603728277352324,0.36840623194089195,0.22082769530724067,0.23121776381223647,0.3342426058527389,0.273612786620157,0.23798677334184082,0.33279219307433106,0.37661302436200417,0.35008281872816416,1.0,0.12967663004288332,0.2616981537329015,0.3237226329856523
tunnel,0.23958038726069164,0.135532534167214,0.23329333137984143,0.4246105414024697,0.1925458946465476,0.26661536169784417,0.1155155997218813,0.2797232568602699,0.32436740931887764,0.30325312434523954,0.38574129574814964,0.15373531385518824,0.2985265684439876,0.2474454502708745,0.09986170813060535,0.2880925032892401,0.169621041110676,0.35986980937219837,0.24662161525351067,0.42649643244364477,0.2994404662990888,0.31623353771585117,0.2883267763458537,0.22324505613145185,0.2015394504453547,0.26083616591543013,0.12967663004288332,1.0,0.08411260357494066,0.25749009174574666
well,0.11795773091526507,0.12895931116624504,0.14005990571562743,0.19705189336318019,0.18484220123517903,0.11762154185031015,0.18024814550355917,0.011273389950282708,0.22616183599154405,0.0813558485475191,0.20572034290926688,0.05206473523264432,0.11117133247777289,0.15049184812483396,0.214951175564573,0.18705836410395682,0.2726611030373738,0.17085551100011143,0.066973324948714,0.033469779394251775,0.3261633956912453,0.05707308979948977,0.20188031243907956,0.21498312922490181,0.291415065351438,0.22773056211271903,0.2616981537329015,0.08411260357494066,0.9999999999999998,0.20979161799146362
window,0.37712066261758714,0.2630064177399942,0.224274622938069,0.38111214752689526,0.3877788676251146,0.43405689835501593,0.37137477154032994,0.230135625617802,0.53901582928306,0.34928388584506675,0.4856899676468056,0.20767438330294974,0.35732887353348874,0.4103943692794887,0.23547002324856825,0.3645566064101232,0.38587904469638645,0.41423088641484207,0.41394365924746324,0.2471270821456507,0.38117448169020185,0.2878848155165935,0.47954291182998077,0.3787067807730896,0.36372504583698273,0.31514739162376626,0.3237226329856523,0.25749009174574666,0.20979161799146362,0.9999999999999999
