Structure,birdbath,birdhouse,bleachers,bridge,ceiling,chimney,closet,crosswalk,door,elevator,fence,ferris wheel,fire hydrant,fireplace,flag,fountain,garage,gate,mailbox,maze,road,roller coaster,roof,sidewalk,sign,stage,statue,tunnel,well,window
0.0032682999,-0.01948469,-0.03750146,0.018828982,0.078801244,-0.058835447,-0.026195738,-0.010323686,0.033806346,0.02239242,-0.045211896,-0.07595278,-0.054857492,0.008055514,-0.026078746,-0.055815563,0.007783485,-0.042291835,0.008847374,-0.013855463,-0.05726434,0.075497024,-0.06447722,-0.016625395,0.035062704,0.005567798,0.023820799,-0.019993704,0.061045356,0.058093935,-0.026987212
-0.020033915,-0.00857417,-0.07536219,-0.035033207,-0.075024866,-0.030806892,-0.03209327,-0.06643519,0.044121657,-0.07789212,-0.025012475,-0.029474277,-0.058904264,-0.0087465225,-0.04611294,0.04259041,-0.030337295,-0.08088982,-0.058180604,-0.029884018,0.020483978,-0.06277393,0.038539857,-0.08272371,-0.021797633,-0.051869713,-0.08794165,-0.07061088,-0.03802157,-0.0035670649,-0.045427646
0.017214686,0.07162724,0.06499624,0.07584229,0.047220334,-0.050741713,0.052231483,0.055255823,0.020056704,0.08355209,0.034075376,0.04398828,-0.05544667,-0.0324839,0.064780615,0.0236477,-0.02428045,0.065575205,0.07624145,0.035404302,0.00068200706,0.017679375,-0.04195329,0.0053415485,0.044379644,0.020329716,0.038779993,0.070466764,0.027819522,0.006724163,0.02599978
0.0062273145,0.03336075,0.038055617,0.0522593,-0.017681947,0.0005111919,0.0134238275,0.067570806,0.009142245,-0.04602454,-0.053265974,-0.0026925048,0.042336594,0.0132197505,0.020246372,0.056038544,0.05476643,-0.0048320955,-0.07138661,-0.019587155,0.071853705,0.049198877,0.042882677,0.026178213,-0.014682506,-0.022913001,0.04662364,0.008068693,0.0131248785,-0.022376558,-0.039313816
-0.006609754,-0.021514038,0.009212252,-0.036041044,-0.061971057,-0.043997392,0.009964276,0.090490535,0.00025581702,0.050178796,-0.0012629604,-0.01718744,0.07595289,-0.006684023,-0.032920577,0.070957616,-0.008493714,0.010981547,-0.00045455,-0.06209014,-0.05365258,-0.02740724,0.0151553145,0.026356282,-0.04077403,-0.012078043,-0.047468767,-0.07169972,-0.064495705,0.002451537,-0.032607872
0.020153161,0.043562934,0.046224087,-0.064151116,0.031696495,-0.009477053,-0.039351497,0.004036098,0.044640396,0.057151813,0.012943392,0.042481758,-0.009823026,-0.021834062,-0.045887955,-0.022989959,0.053385805,-0.02293493,0.07089466,0.053926773,0.06169317,-0.0075021656,-0.05876824,-0.0044023995,0.018018803,-0.038452677,-0.06806483,-0.039836656,-0.0022327343,-0.006967078,0.013057777
-0.006713416,-0.027963076,-0.014216832,0.0585941,-0.045220166,-0.040962305,-0.05641605,-0.020254163,0.048947487,-0.030837912,-0.012840333,0.018532768,0.04210835,-0.019385815,0.0017332726,-0.03804487,0.008411589,0.0058653867,0.0025773663,-0.078145385,0.048889127,-0.008417712,0.069103904,-0.044683766,0.017607883,-0.008325709,0.025822217,-0.0094883405,-0.06466323,-0.03162433,0.043338384
0.06049538,0.09474138,0.08517288,0.030036595,0.078348465,0.08335232,0.054048717,-0.0081526395,0.054833524,0.0071874564,0.05949652,0.04865207,0.06555813,-0.0046804873,0.024634434,0.033300567,0.04119794,-0.023137923,0.032283783,0.05194253,0.033788033,-0.020205183,0.05424001,0.044081893,0.07184417,0.0029947376,0.024467561,0.07494939,0.04851155,-0.013598187,0.07546332
0.010706624,0.029768126,-0.03125297,0.03450156,0.007192598,-0.029445881,-0.00017003674,0.026808502,-0.05564146,-0.03625456,-0.058770146,0.07746833,0.01243299,-0.023028882,-0.024456969,-0.013483081,0.0617466,-0.027997784,0.006843658,0.06186895,-0.029782454,-0.046860676,0.052069195,0.047828034,-0.036601976,-0.03598079,-0.05713085,-0.018645938,-0.014727459,0.02064002,0.04784387
-0.0084786285,-0.03977421,-0.032322943,0.069706544,0.054316435,-0.05548743,-0.018095804,-0.04052377,0.045838658,0.030491538,-0.029235395,-0.00838894,-0.07533197,-0.052652787,0.037029605,0.05393278,-0.06742691,-0.059390604,-0.021806518,0.051348906,0.06590645,0.03868473,-0.050304033,-0.009941528,0.02942325,-0.058456805,0.029990459,0.05921862,0.06967144,0.047233243,-0.07027499
