,ball,balloon,baseball,basketball,beads,binoculars,bubble,camera,checkers,compass,dart,dice,doll,dominoes,football,golfball,hopscotch,jump rope,kite,magnifying glass,marbles,medal,microphone,needle,net,record,robot,sandcastle,sewing machine,skateboard,skis,sled,slide,slingshot,sparkler,swing,target,telescope,tennis ball,thimble,tic-tac-toe,top,trophy,whistle,yarn,yo-yo
dart,0.35329851066527895,0.3718015888976487,0.2215556303637004,0.29820761232232296,0.3367144084902205,0.2470206521629329,0.32334354839779367,0.2959078688858352,0.3717082966864639,0.21923768913417596,1.0,0.4163429997766893,0.2711970429779189,0.3010955227859293,0.2809502086924439,0.416615772700212,0.378512863686723,0.2861086723246864,0.3678266182155461,0.2925595326431025,0.28812342214178344,0.31292863325330234,0.24971172174719136,0.3277040604456378,0.3435661523425625,0.131905371113472,0.307393198482919,0.20908771049673125,0.19808080592115584,0.23984313134531154,0.2574272210564691,0.3221657767334447,0.3770752991528745,0.39034989051341573,0.2521390628188629,0.3235010113348522,0.3094976545118717,0.24519598515285246,0.30904372790729395,0.32619937445661007,0.470829071180652,0.2535118460169231,0.21277091990163943,0.34130918958722734,0.30472024744998427,0.3999423431911111
dice,0.32765464138861566,0.2857420360878279,0.2774854883728788,0.24786352151291347,0.1867854928295576,0.23692739663337647,0.3500133558582943,0.3113218870973038,0.3412208815146016,0.1919122092046699,0.4163429997766893,0.9999999999999998,0.3301504056701626,0.4768494823743529,0.3032521408337926,0.30669453949144265,0.367261842866867,0.14640417803635086,0.17608892164626688,0.2095594526523319,0.31768964473980565,0.20488397370144074,0.23587723778548908,0.2284384003525376,0.24637651643359093,0.17048590268871666,0.2583579181647968,0.24341157433252947,0.14411863514482404,0.32273691598275556,0.2615735640915837,0.20358575615079388,0.27723399936903015,0.18150994182012892,0.3480201016400799,0.3597372737578852,0.2193916381101635,0.19040133863021969,0.2643844262887036,0.3887540407961798,0.43568389972507915,0.20260686934921024,0.18596622705029442,0.20884990220322186,0.21059927100003706,0.28302380781908365
doll,0.3809994599667137,0.3661133902475011,0.28513402474392746,0.29840066335920645,0.2855157133299513,0.1584831981319823,0.23387646662155404,0.38705356656017287,0.22380941771913088,0.17617228196050239,0.2711970429779189,0.3301504056701626,0.9999999999999999,0.23932536755580225,0.3020559383207546,0.35420966836189716,0.3509099877396401,0.28883747056603526,0.2369233755954977,0.2763374513286575,0.26672896911481847,0.21221655646166837,0.33779820608032796,0.3664298359729462,0.23111751678402292,0.25325654084797966,0.4603369280724804,0.182255295048094,0.4414747287334242,0.33434638641158454,0.1768104733438196,0.25905333454595336,0.32563935636604646,0.23073881040572142,0.4285426539955004,0.41086095089622376,0.23522957736237016,0.19503815117612544,0.2594548609152777,0.46192356660771183,0.3566622613554331,0.26481303699339764,0.27499861882561116,0.26209363306844646,0.4024648191076514,0.417481688590019
dominoes,0.31555604746188926,0.30118666442684017,0.356598491992958,0.2830092976699048,0.1769923292963056,0.2832392708191771,0.38452754627897723,0.29334384123988355,0.5372119960200162,0.1747821699152703,0.3010955227859293,0.4768494823743529,0.23932536755580225,1.0,0.33147814257058794,0.2717727355902877,0.38522647042934044,0.29162176725717326,0.2780438609382694,0.24116954721616435,0.31414319450903894,0.12393178193045362,0.3003979973966786,0.13199768641132437,0.3114050027252747,0.12149890375073358,0.2662409007891461,0.3149329618221063,0.1978559892664904,0.3751052833128432,0.3115835069895049,0.2843584499461417,0.3023054168692356,0.18724038636133478,0.2576421799000149,0.37397347112186785,0.30129087917541386,0.200525455183723,0.3225610622802242,0.40434249300417624,0.49864578552409067,0.24081276725813883,0.21454948446697575,0.20317709132357642,0.2941784908556304,0.293427520123541
football,0.4930936473477361,0.347428246074275,0.7002306814402413,0.6802139960484705,0.20168923403647632,0.27510745466061914,0.2727605656979766,0.3670142400896472,0.2703816946328652,0.20045399879422887,0.2809502086924439,0.3032521408337926,0.3020559383207546,0.33147814257058794,0.9999999999999998,0.4047645471319422,0.3060119026095023,0.33903066822084305,0.25473582810441653,0.17772993195498765,0.2466508978681765,0.24287866397803648,0.2077194453100515,0.2180776311882655,0.26692250604644796,0.23220099125853055,0.30770925643961455,0.21936279945811088,0.17850123857520128,0.47394010090271566,0.33681404731607945,0.34535504737352785,0.268240076232681,0.21486629281402858,0.20963153294282966,0.34488627070285705,0.24647592379792305,0.21488711090710388,0.4597223647800701,0.28516037382261483,0.39396951898166277,0.3662497252490915,0.3055747725604798,0.27552570492691497,0.1960519002329466,0.30205705070405964
golfball,0.5887267507563435,0.3851666531305954,0.3606486702381746,0.3450852168564106,0.44010666984917446,0.24420578875085952,0.32863702224947433,0.3683112955014992,0.31878765768936246,0.2666461362805219,0.416615772700212,0.30669453949144265,0.35420966836189716,0.2717727355902877,0.4047645471319422,1.0,0.2959574813184591,0.24361095955284995,0.37272355338536545,0.2592558994304749,0.3854373506936928,0.2271592892314671,0.2935256783056086,0.328625150492893,0.31180945848686104,0.17401286498559854,0.26493838654488866,0.29536192190592625,0.15954238491521167,0.2967483650891549,0.26604707666286587,0.3342299211724782,0.33212750928207013,0.4085518424820884,0.3412062718248826,0.5051323894661093,0.2172584001802087,0.320288791800204,0.4751454158916024,0.36411135883866275,0.3334162710239663,0.23797444461105388,0.2995950274727287,0.2941831123911691,0.3197696485711887,0.39997430282918534
hopscotch,0.3224384134947793,0.43755739340405686,0.35900882494628394,0.34829417670642804,0.2232364769166757,0.3137937816341494,0.4206409473339281,0.16385532814185433,0.44048801946509086,0.2054355504287102,0.378512863686723,0.367261842866867,0.3509099877396401,0.38522647042934044,0.3060119026095023,0.2959574813184591,1.0,0.4451107092255435,0.3337837270422521,0.33250294055024066,0.3580077685666525,0.3041766818028091,0.17631390394212487,0.314818307979178,0.1474373446516276,0.22250884693520234,0.22886946391493146,0.307390756406305,0.25501850917977587,0.3535884127430995,0.3516173366390205,0.40803693275217556,0.4501086295465446,0.3850766470384882,0.39364865069388855,0.3762056026891242,0.2068221875746996,0.33389887986981215,0.31773683377547846,0.44899791215000784,0.40609058574533785,0.2118986759510466,0.28719955424952626,0.30145123149948283,0.2725623938887959,0.4454081785848617
jump rope,0.3884211196030738,0.42281808821371003,0.35817255341348975,0.47087591129828843,0.340513248849464,0.2626756065857372,0.3424086344965265,0.26604387094787185,0.26291396680620915,0.16815012739738222,0.2861086723246864,0.14640417803635086,0.28883747056603526,0.29162176725717326,0.33903066822084305,0.24361095955284995,0.4451107092255435,0.9999999999999998,0.30277818282649394,0.3635294534265384,0.25488120912437995,0.29871416691008923,0.23114078425127615,0.3137129105993399,0.14747496587397235,0.2877998010500713,0.17763158085860742,0.13581004676179598,0.23136567165796562,0.33328108560196157,0.35373618333834944,0.4465350808692281,0.40965272240189665,0.3872843173689653,0.35853720843146264,0.3849389867403197,0.22436502879258347,0.17031812681093284,0.4211442186282669,0.3233655485065007,0.3311229155742179,0.2830111421825027,0.24594543241024935,0.3262062349943564,0.2896344470342287,0.45376366910395305
kite,0.28179931832695904,0.4516906295550215,0.30776074826249067,0.3030959035138113,0.4287014317947071,0.35001050603177164,0.427329548187648,0.26090526627381627,0.234651623906444,0.36533267329817587,0.3678266182155461,0.17608892164626688,0.2369233755954977,0.2780438609382694,0.25473582810441653,0.37272355338536545,0.3337837270422521,0.30277818282649394,0.9999999999999998,0.29492406341606836,0.22396097638343848,0.20065549270531768,0.24311100904826155,0.3467086008874317,0.3389749627933819,0.1425350399377805,0.1984288618452873,0.1957282133937911,0.2021524223994855,0.271644564439423,0.2675033313113888,0.36494982200492765,0.2680913835168819,0.42028582485128463,0.3219632412841249,0.4057102974995981,0.146179996087884,0.3599140425489593,0.2838887183798725,0.27501241357561534,0.2759027767334007,0.20521789398083312,0.1500352408187735,0.26880973058448676,0.39751294678256355,0.4117742800151064
magnifying glass,0.2212390051220181,0.38524883219020456,0.23139601325449943,0.21829091408531565,0.2921933556380788,0.5319480330779981,0.24461504921002175,0.31083037082967846,0.17750244174597274,0.31625677459533774,0.2925595326431025,0.2095594526523319,0.2763374513286575,0.24116954721616435,0.17772993195498765,0.2592558994304749,0.33250294055024066,0.3635294534265384,0.29492406341606836,1.0,0.30167787153547243,0.24479112014773097,0.3442885171367569,0.33314369118880327,0.23582601883943144,0.22602634496766583,0.16709359045194905,0.16947350619990265,0.23250213486563975,0.22874887138386701,0.16132708015458253,0.3462382757392436,0.31816739177779874,0.4114891884131391,0.36362661349342074,0.2676093865677065,0.179185203206632,0.5100471538240853,0.24794961895639966,0.3936334891368223,0.2398340278786355,0.27735026665207707,0.23661196836401932,0.19028470580236934,0.22125280293801786,0.27204266941591726
marbles,0.4393880573879261,0.43691040524821656,0.3169032054583889,0.3340000633669433,0.5071239392219886,0.2713614097789281,0.32939012997325157,0.2122973270933769,0.3285044500675962,0.20872683131597036,0.28812342214178344,0.31768964473980565,0.26672896911481847,0.31414319450903894,0.2466508978681765,0.3854373506936928,0.3580077685666525,0.25488120912437995,0.22396097638343848,0.30167787153547243,1.0,0.2526174728621353,0.31780845686984893,0.33369211849805325,0.2535888972924194,0.19449813316821185,0.2665173503384446,0.2807105624301085,0.18316061115528703,0.3566433301606362,0.1481500454132435,0.18378097692193418,0.26599050925927403,0.4844318174654224,0.3534754648671474,0.26228811559350584,0.11590633098891734,0.23430428613383725,0.4290207165455242,0.40938403125016265,0.32811146020217097,0.11125722867195198,0.26952587206992784,0.3696271597003007,0.31849936568999726,0.41347162483250566
medal,0.30454363693508624,0.29003947343824277,0.32779136742000015,0.35737931413266255,0.19367166214841014,0.25224297190329703,0.28536584454681446,0.18941420210766324,0.17019948781573446,0.19964922341525748,0.31292863325330234,0.20488397370144074,0.21221655646166837,0.12393178193045362,0.24287866397803648,0.2271592892314671,0.3041766818028091,0.29871416691008923,0.20065549270531768,0.24479112014773097,0.2526174728621353,1.0,0.24046480827807404,0.30261350443639423,0.21198399262266832,0.36564318437717025,0.31570056232444177,0.05894436228632871,0.23798869283086577,0.24570189945379028,0.15659920962025597,0.23814960391911377,0.2162268071640171,0.35887782681403324,0.24365337619026506,0.14609026619783538,0.23290546321109895,0.23470997395001614,0.33317579174271195,0.32884631410120746,0.2311714034259007,0.3008767107697824,0.5361976389505517,0.25926698351290667,0.2760384501750859,0.3236439543813727
microphone,0.332590487347439,0.30869757185573965,0.25231663265143855,0.30489163226676996,0.2807411137387952,0.28923745317424454,0.2829981286166596,0.4440848652995151,0.20363008814101313,0.3603889652122767,0.24971172174719136,0.23587723778548908,0.33779820608032796,0.3003979973966786,0.2077194453100515,0.2935256783056086,0.17631390394212487,0.23114078425127615,0.24311100904826155,0.3442885171367569,0.31780845686984893,0.24046480827807404,1.0,0.29924134179130624,0.2878545293765198,0.4254673794348254,0.38851554673560473,0.10795507984939134,0.344831738719665,0.29964992676496816,0.1987192672122975,0.21038779200267033,0.2820325234541836,0.25488198648978067,0.23978123155806197,0.2872259712603563,0.21288753072794686,0.26964556161098685,0.233895310929914,0.27611971310877537,0.31851833871531077,0.1825312716009475,0.2750891031308791,0.4049724047721657,0.31483581688992424,0.2946952482141424
needle,0.3780140477169721,0.4172797869225704,0.27136658969473326,0.31315843105877283,0.3424406445753918,0.21966165562459605,0.3469634525039421,0.3355139517896393,0.1222444338195342,0.35226833508063915,0.3277040604456378,0.2284384003525376,0.3664298359729462,0.13199768641132437,0.2180776311882655,0.328625150492893,0.314818307979178,0.3137129105993399,0.3467086008874317,0.33314369118880327,0.33369211849805325,0.30261350443639423,0.29924134179130624,1.0,0.19838875841865944,0.21806116029369604,0.244199677007222,0.18109118695457116,0.44334274322821754,0.24247835701797227,0.20006969521084816,0.18785237937657862,0.21930553652676288,0.28527250714957497,0.3754773321821835,0.21080555491573671,0.18074326444309252,0.23961402925523667,0.25045967464498986,0.38841279845880106,0.2746328187576276,0.28058213186888226,0.23151046898879235,0.2101569873780541,0.4266648825844336,0.3195520527574097
net,0.3780913323463042,0.22327893439327107,0.28280507388704346,0.22478937597831594,0.30161154517181354,0.19026258447870703,0.37017550757033835,0.31991987438082736,0.19554748801356592,0.13638089318603885,0.3435661523425625,0.24637651643359093,0.23111751678402292,0.3114050027252747,0.26692250604644796,0.31180945848686104,0.1474373446516276,0.14747496587397235,0.3389749627933819,0.23582601883943144,0.2535888972924194,0.21198399262266832,0.2878545293765198,0.19838875841865944,1.0,0.3061831529484976,0.30098325150152494,0.24429478130934712,0.1384954386455064,0.24218486419399943,0.19074144285700145,0.1952412993316721,0.26200043957657493,0.21867007748521283,0.19356345487091298,0.3342766908428483,0.321825146479067,0.17295526949864548,0.27000146300645544,0.24582851706895226,0.32197931825189485,0.3248080034815022,0.3075729580205946,0.281271359925354,0.3188576173301053,0.23451541330889003
record,0.21796608286178276,0.20817066166568676,0.2919985772679823,0.267844126164825,0.09552192161704731,0.24486260734489362,0.2055375724217572,0.29439348708855373,0.137751499349562,0.26052964654367106,0.131905371113472,0.17048590268871666,0.25325654084797966,0.12149890375073358,0.23220099125853055,0.17401286498559854,0.22250884693520234,0.2877998010500713,0.1425350399377805,0.22602634496766583,0.19449813316821185,0.36564318437717025,0.4254673794348254,0.21806116029369604,0.3061831529484976,1.0,0.2190878356047561,0.05027973793765772,0.2447286457380452,0.25118399629867094,0.09732697563020265,0.14222784918909415,0.3562684865277139,0.14898455596469007,0.19781516932410947,0.31471954492849463,0.237712851462057,0.20088718425370067,0.1698084185311577,0.17508094272093344,0.21739563236541493,0.3458730689116636,0.42285304572670435,0.3103013122751499,0.20216896371467008,0.22236593685156847
robot,0.3559167338493098,0.2958355757414567,0.3034085224222478,0.34124723921909117,0.1971675734501832,0.13238297886644446,0.26018087540554546,0.3803612523892066,0.22677394913470295,0.2982604805573519,0.307393198482919,0.2583579181647968,0.4603369280724804,0.2662409007891461,0.30770925643961455,0.26493838654488866,0.22886946391493146,0.17763158085860742,0.1984288618452873,0.16709359045194905,0.2665173503384446,0.31570056232444177,0.38851554673560473,0.244199677007222,0.30098325150152494,0.2190878356047561,0.9999999999999998,0.11552344157930206,0.3044958453381492,0.33710489313474834,0.17278470800437085,0.2366765018438366,0.2237135252680078,0.2274633389114532,0.25380254473333885,0.1897940465569007,0.22852843746685458,0.19497760680436227,0.2485573433698357,0.19280733453758003,0.3794836247441662,0.18391164231933155,0.2156850807490961,0.2840471828861514,0.2785953668960235,0.3645045016323285
sandcastle,0.2560564999153402,0.33526108229143126,0.22060693389544617,0.11395140833535755,0.1806829933359717,0.14093185206544034,0.25757482168777934,0.13483466885711937,0.18837892178870963,0.07586158877241334,0.20908771049673125,0.24341157433252947,0.182255295048094,0.3149329618221063,0.21936279945811088,0.29536192190592625,0.307390756406305,0.13581004676179598,0.1957282133937911,0.16947350619990265,0.2807105624301085,0.05894436228632871,0.10795507984939134,0.18109118695457116,0.24429478130934712,0.05027973793765772,0.11552344157930206,1.0,0.03352986920762935,0.19425538775491946,0.1757369543857782,0.28489030133237847,0.2753412656228378,0.23604160122234064,0.31694329457518966,0.2607093116738455,0.1681095909230954,0.1727009233042106,0.2216837081058055,0.17033077306466715,0.25670941984308593,0.1470981530833133,0.16320993369642067,0.1495467851186415,0.27051895571859697,0.22339582051895657
