Toys Games & Hobbies,ball,balloon,baseball,basketball,beads,binoculars,bubble,camera,checkers,compass,dart,dice,doll,dominoes,football,golfball,hopscotch,jump rope,kite,magnifying glass,marbles,medal,microphone,needle,net,record,robot,sandcastle,sewing machine,skateboard,skis,sled,slide,slingshot,sparkler,swing,target,telescope,tennis ball,thimble,tic-tac-toe,top,trophy,whistle,yarn,yo-yo
-0.0049860952,-0.05732513,0.060974468,-0.07959257,-0.08350048,0.06162869,0.049621318,0.023084905,-0.048395663,0.013704269,0.023740025,0.03619562,0.050248038,0.07233959,-0.021483954,-0.08325889,-0.03807796,0.0750491,-0.017275684,0.06603063,0.027445422,0.032880817,0.011341518,-0.05037802,0.06537947,-0.073129885,-0.050168682,0.045333713,0.04918881,-0.06304659,-0.040269498,-0.03692911,0.020936372,-0.00588245,0.05067008,0.013909183,-0.045760687,0.02216415,0.004867134,-0.0678739,0.025530312,0.0431442,-0.024834698,-0.04617154,-0.015442564,0.055595554,-0.03178686
-0.0008477561,-0.016353376,0.019116806,-0.007571045,-0.045769732,0.00048473495,0.038590856,0.020749925,-0.014433067,-0.03418495,-0.044352792,-0.04805771,-0.06550498,0.028960042,-0.03665903,-0.054109372,-0.03227076,-0.021624032,-0.016053377,0.025883429,-0.005583439,0.04530942,0.011598105,0.017679298,0.04875741,0.034024164,0.058088772,0.02323403,-0.04968501,0.071861304,-0.057518177,-0.03853707,-0.06981091,-0.08016305,-0.02789266,-0.0337728,-0.038969915,-0.009873776,0.06943819,-0.018530607,-0.009965073,0.0028198597,0.0056333314,0.044833064,-0.007597102,0.07332578,-0.034254406
-0.008652986,0.0034436241,0.065908685,-0.005895886,-0.010922266,-0.0039811544,-0.05633252,0.0073503386,0.028131487,0.047004636,0.023561966,0.067949995,0.042715307,0.007165623,0.0639878,-0.004244816,-0.013870975,0.039339926,-0.039249554,0.020584082,0.028669141,0.055930007,0.011447675,0.05391163,0.040640645,-0.01220284,-0.012061099,0.061006535,0.06688538,0.014173692,0.0063720094,-0.051963758,-0.034277264,-0.012505514,0.014775019,0.0055335965,-0.0498086,-0.016209476,-0.017440487,0.011987673,0.07326111,-0.008301692,-0.054252584,-0.06567735,0.055992052,0.0608673,0.05069397
-0.07144789,0.014837548,0.026426956,0.004534812,-0.037966322,0.050013363,-0.051604904,0.031603348,0.0037377216,-0.045341533,-0.02188533,-0.045098715,-0.031022009,-0.025120357,0.017835166,-0.01396855,0.021364704,0.032050956,-0.06174456,-0.0075517534,-0.057743657,-0.058558386,0.05982869,0.001981492,-0.0165409,0.024321282,-0.067579314,-0.00371695,-0.049206775,-0.0239691,-0.02779161,-0.046890594,-0.018198662,-0.0078091267,-0.035730228,-0.006265402,-0.00434845,-0.017967094,-0.03849258,0.013787667,0.0011614038,-0.011480119,0.039723404,-0.018917475,-0.04531082,0.0012519126,0.015444576
0.06671845,0.032749794,0.059099626,0.06850547,0.04891776,0.036329992,0.033992093,-0.04297893,-0.035429712,-0.06735688,-0.014288936,-0.06536455,-0.044577774,0.0061885323,-0.07121081,-0.009985456,-0.048029967,-0.031154111,0.016023247,0.078748964,0.015395608,-0.00996507,0.0069392025,0.009973235,0.04311554,0.014267747,0.041119084,-0.0030902107,0.062708504,0.048829917,0.06106502,-0.013530329,-0.057771165,-0.025619434,0.00066826574,-0.0057250797,0.041278627,0.04163143,0.0029071826,-0.028591985,0.014992564,-0.0023272685,-0.032290813,-0.019294815,-0.07740145,0.0717692,0.048017703
-0.06639733,-0.030361304,-0.048488993,-0.052969657,-0.05182504,-0.015282067,0.026094861,0.014969474,0.058438044,-0.0042592804,-0.01055001,0.064123936,0.017157774,-0.061058294,-0.029845722,-0.062435996,0.05147817,0.0009972743,-0.005530821,-0.042607438,0.027105542,-0.008289363,-0.023285052,0.036093976,0.01746019,0.08269033,0.021351863,-0.030580878,0.066864796,0.02916671,0.007206631,-0.028013518,-0.034216497,0.01651798,0.0043371837,-0.034312956,-0.000500685,0.022948721,0.0047029713,0.025790462,-0.017596861,0.06688708,0.044230156,-0.0032993152,-0.071592346,-0.023526957,-0.050535187
-0.05699285,0.0046666116,-0.014264966,-0.015703175,0.037289903,0.04302581,0.040265948,0.04436452,0.008168306,0.04475345,0.017829442,0.028986944,0.06521603,-0.024202392,0.055980217,-0.017465554,-0.057371397,-0.0616061,-0.030897906,-0.025893196,-0.045988567,-0.019712692,0.008236795,0.077755384,-0.08138116,0.005155818,0.0165262,-0.029474718,-0.057857417,-0.006839923,0.032879587,0.025057435,-0.0247228,0.05523798,0.020867009,0.0059871897,0.07019152,0.017079154,-0.010625987,0.0049032266,0.030292865,0.058916125,0.020295357,0.03821471,0.055078384,0.042304672,-0.020132734
-0.008142496,-0.0034776626,0.05617726,-0.010459711,-0.009605864,-0.046813205,-0.016694102,0.07530268,0.0041726483,0.06205338,0.06694208,0.032832846,0.021866363,-0.04329687,0.06748254,-0.011287956,0.0036334952,0.05709395,0.025741868,0.071104825,0.017585084,-0.024996096,0.07586785,0.03180726,-0.017592654,-0.010669556,0.037789144,-0.025721295,0.06688671,0.037975553,0.045180723,-0.031624828,-0.011827601,0.052135285,0.023271801,-0.023757633,0.0015613418,0.0013423342,0.06171526,0.027549293,-0.0137523385,-0.0028425134,0.07336858,0.052343857,0.032977685,-0.0015710642,0.034603182
-0.057019714,-0.021009946,-0.07867293,-0.03452377,-0.020541955,-0.012677926,-0.0121401455,0.05677183,-0.021346932,0.026868753,0.003324486,-0.016355455,0.05035076,0.01423409,0.019754399,0.011465391,0.011617199,0.064774014,-0.013018839,0.061201096,0.024106754,-0.07610873,0.017951785,-0.021374645,-0.027434217,-0.021905227,-0.06926326,0.04621629,-0.021288086,0.030558173,0.017627774,0.06738367,0.030026097,0.03887539,-0.04009381,0.06809816,0.04559924,-0.009997512,0.03189429,-0.029057272,0.058459017,0.016270334,-0.021475649,-0.038158923,0.0075473613,-0.0022015718,-0.009758915
0.021724038,-0.04232562,-0.022617219,-0.0729201,-0.07925497,-0.035573926,-0.015511709,-0.0603167,0.016433986,0.0050799777,0.0124292085,0.027079605,0.007051515,0.028757365,0.04978236,-0.07726345,-0.028907971,-0.042531993,-0.03713447,-0.06174675,-0.074643515,-0.0598935,-0.04120811,-0.05090845,-0.047083613,-0.0059835305,0.019889912,-0.03763832,-0.032847516,-0.027164496,-0.06387547,-0.06570533,-0.06554718,-0.056785364,-0.02070358,-0.016471898,-0.010257927,0.00084010075,-0.015930241,-0.05911617,-0.009932789,-0.039784428,0.072096735,-0.028878083,-0.023821048,0.018589985,-0.024652049
0.02525497,-0.019075358,-0.013342317,-0.0012009809,-0.037752472,-0.049432248,-0.012593966,0.018190857,0.05593248,0.013146928,0.026967801,0.032892954,0.04375437,0.0049582524,0.012939247,-0.053601544,0.00805917,-0.025912112,-0.062942065,0.027483348,-0.003422702,0.020067459,0.016186131,0.0074264826,-0.012329976,0.03993402,-0.07014912,0.011421752,0.016046796,0.04189745,-0.0008670119,0.06298983,0.0377805,-0.044669166,0.0039042197,0.009990667,-0.031182373,0.051392682,-0.040118482,0.027033295,0.0070924605,0.0017973514,-0.023294043,-0.06773889,-0.0082160225,0.035152048,0.0037804558
