parts of buildings,attic,bathroom,brick,cabinets,ceiling,chimney,curtains,door,faucet,fence,fireplace,garage,gate,kitchen,light switch,mailbox,roof,shower,sink,tile,toilet,window,chandelier,elevator
0.01668821,-0.042448327,0.04923315,-0.018976571,-0.059402615,0.044762418,0.001963828,0.004367702,-0.01739771,-0.016535394,0.006953224,0.008857734,-0.023294022,-0.034029473,0.03619152,0.024911711,0.020874774,0.01782467,0.016737038,0.01576906,-0.03835385,-0.010849959,0.014568258,-0.008807942,0.036992747
-0.03719687,0.007177606,-0.045882862,-0.07506478,-0.06708581,-0.053760387,0.044068463,0.06479882,-0.06222697,-0.05251387,0.044354286,0.06174583,-0.005697731,-0.007132908,0.049182784,-0.065609924,-0.05657426,0.04011758,0.066153795,-0.07598013,-0.019348484,-0.056311887,-0.018490804,-0.07682046,-0.050977282
-0.019533986,-0.035369605,-0.0792786,-0.07186275,-0.021548344,-0.047341857,-0.030968055,-0.057934884,-0.07459796,-0.06575551,-0.06601034,-0.05670883,-0.07275315,-0.03310016,-0.06182307,-0.07726054,-0.061401837,-0.06382256,-0.044086333,-0.0704318,-0.06930139,-0.048443113,-0.05292562,-0.07393079,-0.071336485
-0.07317333,-0.06631828,-0.034139175,-0.0534871,-0.051390335,-0.07237908,-0.08078216,-0.07375412,-0.07508599,-0.0694642,-0.085723884,-0.0738963,-0.083972014,-0.0370652,-0.08289049,-0.06356922,-0.040759906,-0.08641038,-0.007459559,-0.08408863,-0.0604767,-0.0724571,-0.062364463,-0.07368292,-0.03806144
-0.050111614,-0.059706107,0.001497548,0.056473993,-0.042348634,-0.05586649,-0.028368548,0.012625625,-0.004741331,0.005682165,-0.035535302,0.017728312,-0.049833726,0.044703398,0.007732686,-0.009233016,0.002449151,-0.08200166,-0.07534915,-0.02134606,0.0170344,0.043732535,-0.039819874,0.019420436,0.035097696
-0.06282211,-0.024272189,-0.019344538,-0.001974486,-0.039021432,-0.030410264,-0.061335664,-0.04790897,-0.064653374,-0.050869197,-0.043977823,-0.0678297,-0.06402073,-0.072347075,-0.004520507,-0.05752556,-0.02482499,-0.048318308,-0.082560375,-0.015512181,-0.01254483,-0.037777092,-0.069328085,-0.0522321,-0.05835293
-0.001066151,-0.00411162,0.03545858,-0.030009596,-0.005198943,0.08081962,-0.060217064,0.06632764,0.000883441,0.034544874,0.02682204,-0.053036664,0.003793685,0.05188918,0.024603046,0.031387754,-0.03512506,0.0706744,0.015966387,0.017799756,-0.036011666,0.038329553,0.014623906,0.053669278,-0.043076336
-0.029914763,-0.028194707,0.090561315,0.071712255,-0.002229825,-0.052051086,0.026348278,-0.00841796,0.012860168,-0.049101926,-0.019492822,-0.016725788,-0.0715998,0.041376844,-0.03423006,-0.00653753,0.06744544,-0.04565749,-0.07431947,-0.001770768,0.086539395,0.08657876,0.008330527,0.027000139,0.06575673
0.021725658,0.06425436,-0.019761076,0.047550645,-0.016830117,0.04806785,-0.018072909,0.074053206,0.061552025,0.043699417,0.04695535,-0.017156152,0.07974861,0.049811162,-0.056327913,0.02110171,-0.02483093,0.07651833,0.052482042,-0.03539612,-0.031980183,-0.018657856,0.06536373,0.02660207,0.027898964
0.015590399,0.073098265,-0.039124012,0.017695349,0.022054423,0.07615985,0.006708728,-0.004363144,0.05104399,-0.021453591,0.060293168,0.028395826,0.036670744,0.05412588,-0.041976802,0.019120222,0.023561386,0.028060066,0.039764017,0.042691354,-0.023473803,0.05853377,0.033691183,0.052575458,-0.05348252
0.04617297,0.035544068,0.005690404,0.004646926,0.022178642,0.0159906,0.060909074,0.032235228,0.017084038,0.051169682,0.013052914,0.057254925,0.038667817,0.02932007,0.04643686,0.061728954,0.04612689,0.014553963,-0.025557315,0.03506021,0.040611383,-0.007351221,0.02799286,0.02213898,0.037654597
