Accessories,apron,backpack,bandana,belt,bib,bracelet,cane,cast,collar,crutches,diaper,earmuffs,earrings,glasses,glove,handcuffs,hat,helmet,necklace,pipe,purse,ring,scarf,sunglasses,suspenders,tiara,tie,umbrella,walker,wallet,watch,wig
0.025701437,0.038208906,0.04663769,-0.030988298,-0.05175161,-0.04595042,0.0070894836,-0.0079435175,0.030900754,-0.027521146,0.022665607,-0.014985012,0.0779935,0.06588329,0.07661138,0.032045245,-0.06134141,0.033211574,0.07734958,0.060339354,0.06841887,0.03551004,0.076511554,0.06222919,0.05255957,-0.059646036,0.08297937,0.07244622,0.06436258,0.05564379,0.07019815,0.061010573,-0.03583603
0.027893834,-0.015446863,-0.06396133,-0.058258194,-0.04837397,0.0096259825,-0.026651742,0.07138223,0.007345373,0.027611418,0.046112407,0.01335886,-0.03280334,-0.072426066,-0.060776573,0.0013264532,-0.032003433,-0.031977277,-0.050518878,-0.0332822,0.070453905,0.014366158,-0.010987846,0.06598658,-0.064607926,-0.07198628,0.052340537,-0.008477069,-0.032298878,-0.041687097,-0.036141526,-0.004898371,0.014161679
0.0048600105,-0.017862242,-0.034439575,-0.0020273952,0.04947612,0.06485596,0.046888873,0.050956264,-0.024502665,0.08249814,0.033784706,-0.03734831,0.031004362,0.020333279,-0.010741295,0.023008354,-0.058285583,0.037780587,0.0240635,0.06484739,0.009518526,-0.027412092,0.053077932,0.022944445,0.007718986,-0.016942587,0.0453551,0.031642478,-0.07592469,0.046804342,-0.01658875,-0.010322046,-0.014143718
0.042358827,0.056286186,0.004691186,0.04295249,-0.008529854,0.01918639,0.0104820095,0.042799406,0.050504226,0.024750095,0.056521293,-0.0079177655,-0.06056596,0.013822413,-0.021305764,0.019051874,0.03986135,0.048053216,-0.05575299,0.0265792,0.05961261,-0.025405258,0.022814455,0.0335446,0.00021786349,-0.0025298046,-0.0058811936,-0.011132692,0.04550312,0.035482183,0.017062299,0.050504327,0.012034048
-0.04107394,-0.00043574604,0.05463106,0.0027241115,0.061599452,0.0149430595,0.019494995,0.043702886,0.0359481,0.037287477,0.07085824,-0.015122707,-0.013214929,-0.007134621,-0.025210647,0.08156956,0.063991494,0.027237946,-0.0295529,0.009971685,0.012620583,0.050944373,0.046880346,0.039867125,-0.04032532,0.04620159,0.03238429,0.009090142,0.0630235,-0.0146212755,0.05543973,-0.016274506,0.003800155
0.04476485,-0.044194404,0.01648133,0.035302654,0.054085452,-0.011283959,0.02997705,0.044906124,-0.022620227,0.072779894,-0.009703364,0.0028559796,0.01807235,-0.037786976,0.0076191234,-0.050633043,0.037800208,-0.008656812,-0.036437765,0.042158715,-0.053509012,-0.012979654,-0.0734748,-0.0682652,-0.0038548394,0.023088275,-0.003870478,0.073819496,-0.047581736,0.03491623,-0.07557278,0.012603813,0.02310537
-0.05846226,-0.065220594,-0.023285229,-0.026845941,0.015189757,-0.052623153,-0.01882769,-0.06517743,0.019384922,-0.04294363,-0.05275773,-0.017608987,-0.012854495,0.014868283,0.03332141,-0.024849834,0.03142241,-0.060128026,0.012595694,-0.061829943,-0.045588348,0.024262594,0.01831065,-0.053268053,0.010521306,0.024908867,-0.050269295,-0.008807461,0.018715682,-0.021444034,-0.027330004,0.026243396,0.012835542
0.03918432,0.05792113,0.016652266,0.013741084,0.043083716,-0.011228661,-0.0335545,-0.05878862,-0.066161215,-0.068551704,-0.06740808,0.08160768,-0.016354028,0.05090408,0.041327994,-0.010681829,-0.047047775,0.06114078,-0.02933951,-0.04000779,-0.00868268,-0.009735131,0.02358458,-0.02482703,-0.023141105,0.0016101588,0.054005276,0.013473091,-0.005549554,-0.055351067,-0.026285542,-0.066014186,0.04221468
0.06431034,-0.020541681,0.01001601,0.036306925,0.05542779,-0.009813095,0.055176,-0.04017,0.016985985,0.013588014,-0.028529147,-0.034663107,0.058359385,0.009098095,0.0168914,-0.009240758,0.043470215,-0.004618724,0.056104925,0.03212432,0.03652046,0.015220761,-0.00041188565,0.0341462,0.025589095,0.043292157,-0.043888927,0.05815733,0.0042985617,0.027899327,0.006848439,0.051168688,-0.05853899
0.037766654,0.08394763,-0.07443313,0.053854965,0.043977447,0.0609956,0.06473256,0.0044459663,-0.034294453,0.07729154,-0.006442049,-0.0014692565,0.061939564,0.057092465,0.07245643,0.050238386,0.05130251,0.086498104,0.045218818,-0.0015791588,-0.063915506,-0.0723757,-0.066226885,0.066095494,0.073324434,0.07984932,0.07159115,0.03991165,-0.028129155,-0.07086741,-0.016482184,-0.059058547,0.045327168
-0.045986623,-0.05088334,-0.07032604,-0.07268175,-0.06479481,-0.041498188,-0.06824346,-0.033701714,-0.068198204,-0.048734568,-0.033580963,-0.05754435,-0.06752228,-0.053711195,-0.07682998,-0.06772614,-0.056382217,-0.06923447,-0.07244167,-0.048639733,-0.06512024,-0.07467735,-0.04188438,-0.074819565,-0.07585739,-0.045135994,3.123833e-05,-0.05120012,-0.067448296,0.024211615,-0.07558111,-0.062137354,-0.07172265
0.001992972,-0.071985714,-0.011495278,-0.03557896,-0.027635284,-0.02963036,0.03586596,-0.081285626,-0.021357335,-0.0756984,-0.028070793,-0.041232493,-0.05819269,0.030919075,0.043765936,-0.04852304,-0.0490615,-0.012262332,-0.077095225,-0.03168558,-0.08466789,0.0029319015,0.006282389,-0.03874879,0.008419168,0.029315924,-0.01518169,-0.017233238,-0.072234444,-0.06598894,0.014077718,-0.01577911,0.0075537963
-0.016952166,0.0021581603,0.06218538,0.011664162,-0.0729661,0.041800987,0.0036698724,0.027275003,0.009782869,0.012421846,-0.027022714,0.067693286,-0.024788853,-0.011882722,0.0126339635,0.027287968,0.01100865,0.07086847,0.030499242,0.0095358165,0.04602599,-0.013878491,-0.019121867,-0.027500814,0.019497478,0.01677775,0.0027605111,-0.011740945,-0.014316646,0.047131054,-0.07990513,0.027462123,0.018984815
-0.00080804847,-0.012258385,-0.026096862,-0.008460948,0.022280887,-0.05179267,0.005675592,0.018083388,-0.023901058,-0.024563812,-0.06617272,-0.037205912,-0.023374425,-0.04217538,-0.07420085,-0.05549108,-0.038361046,-0.06035531,-0.03382737,-0.047676492,-0.05253246,-0.013266152,-0.037781704,-0.06347018,-0.05687342,-0.044435196,-0.024957944,-0.019619565,-0.050467208,0.0066763177,-0.07105147,-0.030767612,-0.040599078
-0.016737277,0.0009376198,0.00342489,0.039514843,-0.0055564805,0.05140834,-0.0045754937,0.00080427574,-0.02708779,0.004775362,0.031397067,-0.009123844,0.008154666,0.025061926,0.03923747,-0.059694596,0.055640258,-0.05324207,-0.024444547,-0.016493559,0.021095332,0.023197688,-0.049544528,-0.011470017,0.025832906,0.07419187,0.019002093,0.040696353,-0.04755143,-0.042639494,-0.0033105484,-0.017597536,-0.011803506
-0.021220041,-0.06482194,0.008521333,-0.050314825,-0.024338795,-0.054387685,0.01048562,0.0034629114,-0.016612547,0.026415942,-0.067404054,0.081289105,-0.07388499,-0.05712878,-0.0046421825,-0.032912582,-0.025893535,-0.06246574,-0.067526296,0.03410945,0.041510012,0.030435055,-0.023909234,-0.033277858,-0.039840654,-0.031375755,0.06335944,0.028081326,-0.068453774,-0.00016109708,-0.07982315,0.010995584,0.0060971645
0.0009205388,0.013049971,0.07408253,0.06869981,0.056245275,0.004015311,-0.073582694,0.023307545,-0.034140717,0.0135412365,0.05275834,0.011268061,0.06471297,0.055059683,0.055973843,-0.032317434,0.001129004,0.010523792,0.04023066,-0.034264594,-0.040699847,-0.07620983,-0.014271583,0.024242232,0.060430918,0.057733092,-0.0003609184,-0.022392761,0.0423237,0.07112509,-0.04455488,-0.035010573,0.06254082
0.017071253,0.004194563,0.015186241,0.072071046,-0.011104973,-0.008102504,-0.010819049,0.01856701,0.06915916,0.0024019482,0.0569918,0.0060254093,0.06490692,0.029425781,0.057178345,0.06772411,0.01624171,0.063737445,0.07566534,-0.010359488,0.064665616,0.04884145,0.031440977,0.06680634,0.06800924,0.028342936,0.045458768,0.068544336,0.006848102,0.062314227,-0.000339619,-0.0211317,0.06523762
0.05437081,0.06112462,0.06426289,0.07015623,0.06108579,0.054547187,0.07939143,0.07573361,0.080391936,0.06925936,0.0606172,0.065685056,0.021573462,0.065346695,-0.00059451564,0.034459036,0.065351345,0.05976165,-0.016054759,0.07848068,0.022738662,0.07398773,0.066521764,0.03145426,0.05129486,0.049603485,0.047731966,0.043580655,0.03473653,-0.034419764,0.011600522,0.056489404,0.04625191
0.074278794,0.01192671,0.07137912,0.05082707,0.07882758,0.0847402,0.07769446,0.07637482,0.094064645,0.07984298,0.04534494,0.073316164,0.07294385,0.071960226,0.055944573,0.061965175,0.06448641,0.08064088,0.057784062,0.07479325,0.07892441,0.073696814,0.09162557,0.06471468,0.030641744,0.07438521,0.07260127,0.08785224,0.07077707,0.06562635,0.06624362,0.08721676,0.068515114
0.031443484,-0.011316797,0.021332026,0.005639947,0.0397036,0.033478092,0.072375104,0.032937,0.07458427,0.016542401,0.020253066,0.052278627,0.055750266,0.06364344,0.06897502,0.04054456,0.03916686,0.035839032,0.039407577,0.02023455,0.055245973,0.019034034,0.058023464,0.0069359434,-0.010438903,0.0623545,0.042308733,0.07359728,-0.027144397,0.049912643,0.06293515,0.053276595,0.036597256
-0.005006583,0.050717473,-0.077358276,-0.026376346,0.056614682,0.023431534,0.031750184,0.011514641,0.028430944,0.030160105,0.057824835,0.04773537,-0.0155071,-0.03201762,-0.08171985,0.06946825,0.04105945,0.025495954,0.027908336,0.008050394,-0.05738068,-0.0796766,0.07841705,0.01954693,-0.077286124,0.050017957,-0.0017445219,0.025205225,-0.055301007,0.05382279,-0.07790701,-0.02269494,0.075863354
