toys and games,ball,balloon,baseball,basketball,checkers,crayon,dart,dice,doll,dominoes,football,frisbee,golf,golf ball,helmet,hula hoop,jump rope,kite,marbles,medal,puzzle,robot,sand castle,skis,slide,slingshot,swing set,tennis,tennis ball,tic tac toe,top,trophy,yoyo,hopscotch,rubik's cube,slinky
0.03815203,-0.057325114,0.060974482,-0.07959257,-0.08350048,0.013704285,0.000825599,0.03619562,0.05024804,0.07233959,-0.021483932,-0.08325888,-0.04267743,-0.07611951,-0.07425418,0.04774455,-0.046976104,-0.017275654,0.066030644,0.03288082,0.011341514,0.026921665,0.045333717,0.058931712,-0.0369291,-0.005882443,0.050670065,-0.026179941,-0.07651628,-0.067873895,0.011899233,-0.024834689,-0.04617152,-0.031786874,0.075049095,-0.06087839,0.017336665
0.033108156,-0.016353369,0.019116832,-0.007571033,-0.045769732,-0.034184933,-0.050915357,-0.04805766,-0.06550498,0.028960058,-0.03665902,-0.05410937,-0.032231282,-0.06280863,-0.06407192,0.077262655,-0.015029184,-0.016053364,0.02588341,0.045309413,0.011598091,-0.027606873,0.02323403,0.025263065,-0.038537107,-0.08016305,-0.02789266,0.007090903,-0.026945032,-0.018530626,-0.05078717,0.005633298,0.044833098,-0.03425439,-0.02162405,-0.024314761,-0.044725236
-0.02276063,0.00344366,0.0659087,-0.005895912,-0.010922196,0.047004685,0.067398325,0.067950025,0.042715296,0.007165644,0.06398781,-0.004244836,0.04929306,-0.007201944,-0.041343387,-0.011297889,0.025489347,-0.039249524,0.020584095,0.055929992,0.011447669,-0.037732203,0.061006542,0.066054195,-0.05196376,-0.012505515,0.014774984,-0.042754393,0.036923848,0.011987653,0.022123177,-0.05425263,-0.065677345,0.05069396,0.039339907,0.054177027,0.023892632
-0.050339706,0.014837554,0.026426928,0.004534842,-0.03796636,-0.045341544,-0.002930973,-0.04509876,-0.031022036,-0.025120318,0.0178352,-0.013968566,-0.051255584,0.004289934,0.022124387,-0.06436845,-0.010219964,-0.061744556,-0.007551779,-0.058558386,0.059828687,0.06424098,-0.003716911,-0.036774367,-0.046890587,-0.007809033,-0.035730246,-0.0599137,0.012443526,0.013787583,-0.034252163,0.039723355,-0.018917475,0.015444588,0.03205091,-0.014396993,0.000570365
0.026940849,0.032749727,0.059099637,0.06850547,0.04891777,-0.06735688,0.04221255,-0.06536452,-0.04457778,0.006188523,-0.071210824,-0.009985489,0.045950256,0.016329305,-0.018278869,-0.04719869,0.029828262,0.016023241,0.078748964,-0.009965057,0.006939211,0.016032297,-0.003090243,0.07811852,-0.013530284,-0.025619393,0.000668231,0.07801085,-0.030171648,-0.028591974,-0.038452283,-0.0322908,-0.019294815,0.04801772,-0.03115405,0.032859974,0.004234354
-0.04428482,-0.030361254,-0.048488993,-0.05296967,-0.051825054,-0.004259269,-0.04693834,0.064123936,0.017157808,-0.061058305,-0.02984571,-0.062436007,-0.064690605,0.000338133,0.006035652,0.002534027,-0.05974171,-0.005530844,-0.04260741,-0.008289343,-0.023285046,-0.03588323,-0.030580888,-0.009777693,-0.028013505,0.016517956,0.00433715,0.03369843,-0.015927505,0.025790475,0.029581117,0.04423012,-0.003299258,-0.05053517,0.000997289,-0.009220731,-0.039608184
0.007525972,0.004666631,-0.014264977,-0.015703164,0.037289836,0.04475346,0.00593298,0.028986985,0.06521604,-0.024202375,0.05598019,-0.01746554,0.06246455,0.023689842,0.023183905,0.034891218,0.014571048,-0.030897899,-0.025893215,-0.019712674,0.008236824,0.01395591,-0.029474705,-0.0463642,0.025057454,0.055237997,0.020867014,0.046390377,0.015219441,0.004903219,0.03137977,0.020295348,0.038214706,-0.02013272,-0.061606083,0.036455348,0.020458795
-0.021213168,-0.003477655,0.05617726,-0.010459737,-0.009605843,0.062053367,0.046542894,0.032832872,0.021866342,-0.043296847,0.06748254,-0.011287932,-0.026725473,0.028870976,0.001193228,0.01871204,0.049867786,0.02574185,0.0711048,-0.024996081,0.07586784,0.022450503,-0.025721278,0.07906575,-0.031624816,0.05213528,0.023271816,0.004445713,0.04058847,0.027549306,0.003217333,0.07336861,0.052343864,0.03460319,0.057093978,0.013607078,0.070540346
-0.02491389,-0.021009944,-0.07867293,-0.034523785,-0.020541983,0.026868757,0.07087606,-0.016355475,0.050350774,0.014234073,0.019754406,0.011465386,0.038855307,0.012271861,-0.03219132,0.050529335,-0.051070873,-0.013018853,0.06120108,-0.07610874,0.017951816,-0.004405895,0.046216257,-0.06169214,0.06738367,0.03887538,-0.040093787,0.029491,0.036522664,-0.029057255,-0.027047565,-0.02147564,-0.038158923,-0.009758894,0.06477401,-0.007769558,0.030450227
0.06787028,-0.042325668,-0.022617236,-0.072920114,-0.07925495,0.005079983,-0.07708173,0.027079552,0.007051511,0.028757391,0.049782373,-0.077263445,-0.074373186,0.010520361,0.003257517,-0.06614565,-0.036682397,-0.037134487,-0.06174675,-0.0598935,-0.041208133,0.02844364,-0.03763822,-0.034470513,-0.06570533,-0.056785364,-0.02070357,-0.040140156,-0.06590709,-0.059116162,-0.052627623,0.072096735,-0.028878074,-0.024652014,-0.042531997,-0.05980742,-0.048080307
0.014112552,-0.019075366,-0.013342295,-0.001200983,-0.037752423,0.013146914,-0.002150006,0.032892954,0.043754365,0.004958215,0.012939159,-0.053601537,0.025792163,0.02823621,0.011523296,-0.052737623,0.01958268,-0.06294206,0.027483327,0.020067446,0.016186098,-0.055562183,0.01142173,0.021472316,0.06298983,-0.04466916,0.003904237,-0.042417154,0.019073592,0.027033277,-0.026616454,-0.023294032,-0.067738906,0.00378042,-0.025912086,0.014435232,0.004439189
-0.011167765,0.005462475,0.02997082,0.021565456,0.025029825,0.027906047,0.026259333,0.047032334,0.04347375,0.026800666,0.043112066,0.025202185,0.05325304,0.0590443,0.055971794,0.067743,0.04743264,-0.029889703,0.048854135,0.055121675,0.026406275,-0.030345885,0.05558076,0.004177589,-0.006768153,-0.027952552,-0.024315063,0.012415028,0.04342234,0.015374616,0.04181827,0.028567398,0.038149685,0.016791014,0.071004204,0.001048939,0.032885253
-0.025401853,-0.012812102,-0.026363462,-0.048986558,-0.050512884,-0.057994884,-0.08132461,-0.05733246,-0.014802417,0.0435104,-0.05079325,-0.007528717,-0.06918396,0.024730174,0.019609436,-0.048667442,-0.050909672,-0.049503352,0.008295653,-0.07350144,-0.017787993,0.005058028,-0.038976792,0.031516004,-0.029844878,-0.05824115,-0.03759768,0.026364615,-0.026191715,-0.043927524,-0.06393215,-0.032528765,0.00825549,-0.030502252,-0.045617368,-0.06510197,0.011039525
0.03392473,-0.00411141,-0.022568967,0.03965762,-0.024346173,-0.00203165,0.028454404,-0.0697836,-0.05776086,0.016617494,-0.052871916,-0.039356668,0.05110411,0.054726917,0.061190605,0.030832132,0.011585831,-0.059090275,-0.062482566,-0.017293954,0.014069792,-0.004759603,0.031963356,0.07244274,-0.066309154,-0.007342425,0.024554348,0.02848492,-0.007728503,0.032452807,0.028468367,0.041021504,0.0478988,0.019338852,-0.028975124,0.055918965,0.014498266
0.02712517,-0.014646614,-0.030406047,0.046823487,0.017367844,0.029380238,0.027140202,-0.006961294,0.015189502,-0.03506135,0.012411212,0.065995865,-0.002685288,-0.02275372,-0.016866066,-0.053858824,-0.07534368,-0.060466066,0.034284767,-0.06760055,-0.021730362,-0.042999364,-0.021132154,0.048014715,0.005964492,0.011289396,0.008500064,-0.06880439,0.008086528,0.027567359,-0.059795614,0.01878456,0.048526198,-0.0805238,0.008174975,-0.02395567,-0.050306693
