,ball,balloon,baseball,basketball,checkers,crayon,dart,dice,doll,dominoes,football,frisbee,golf,golf ball,helmet,hula hoop,jump rope,kite,marbles,medal,puzzle,robot,sand castle,skis,slide,slingshot,swing set,tennis,tennis ball,tic tac toe,top,trophy,yoyo,hopscotch,rubik's cube,slinky
football,0.49309362833766723,0.3474282901123823,0.7002307432931905,0.6802140437762776,0.2703816736942757,0.22615297027528536,0.280950197856902,0.30325214686010815,0.3020559447159459,0.33147812106925967,0.9999999999999999,0.4066248430654338,0.4841282265971545,0.4710194979322584,0.3328220441561397,0.3472987723192501,0.33903071544226315,0.25473586543819815,0.24665088189934736,0.2428786053866555,0.28227601032553384,0.30770921100653226,0.1845451233910933,0.3368140257924559,0.26824005858428335,0.21486635341101834,0.2769826697272789,0.5073738025975525,0.4597223618886914,0.2964026010204337,0.3662496276542756,0.3055748956794111,0.3020570573739143,0.3060119726560693,0.2693807641845877,0.25328167885173736
frisbee,0.33943553377926716,0.3546898128984317,0.41645548721841763,0.4129601242846619,0.2609925362912091,0.3603658555881293,0.2630810194148807,0.3160493836650762,0.3090835371835903,0.2700247258280669,0.4066248430654338,0.9999999999999999,0.4646442864211713,0.45610651732853214,0.31632825707513157,0.5534613773140922,0.36277612254487734,0.3349826243567071,0.2827965257489077,0.25892240053665594,0.304624255291024,0.27385631819508105,0.1974436871164842,0.34477723615206957,0.4092376789198673,0.3594423128016545,0.39804778521735895,0.3529183458470123,0.41365470319519027,0.2733315130280163,0.17923936010928898,0.25616145261207746,0.4900918794610043,0.44335421534293395,0.27215680492451644,0.39955149259312883
golf,0.44076792612030524,0.30240226296188344,0.46839023737485386,0.4584618538905969,0.3154093888504279,0.3029036535931062,0.3771058854430698,0.31801200950382513,0.32836136189222187,0.30421319448878736,0.4841282265971545,0.4646442864211713,0.9999999999999998,0.8106055792670599,0.2084861852194838,0.3334011883783081,0.26174739307625705,0.3286945835197883,0.23046363875717568,0.24903179542904008,0.26602598679153244,0.3161533345332752,0.2546065345451598,0.3410508778638678,0.3157706202137648,0.30001437074044435,0.46066500982154723,0.564198048732952,0.45432348366588204,0.25420219926360454,0.25624195131156213,0.2672048823297617,0.36057882730202007,0.32909683080312013,0.2770783945046109,0.24957071352015303
golf ball,0.6651608359585742,0.46429549978573903,0.5051642676149309,0.4983546099557008,0.27093590660368894,0.35277866396442414,0.38079968842669387,0.313403435386465,0.3436307778615202,0.2782906835487473,0.4710194979322584,0.45610651732853214,0.8106055792670599,1.0,0.2941677212390602,0.392034067525984,0.33888615906942965,0.37192302873051053,0.3988227163154494,0.3046309544938345,0.2679094195388665,0.2866396392799122,0.25484659526531916,0.3006664218212125,0.3426961484857973,0.45706003573134857,0.4747637490806802,0.548048350387727,0.642860967532515,0.2955336966335086,0.23967944495612648,0.3074018517535828,0.43987678810992903,0.31794510740352777,0.3090457881495652,0.359023216611442
helmet,0.26619485116924535,0.2808890822266328,0.30884505291366837,0.29852202494520963,0.24439855931268917,0.16344869000900508,0.16776812225758597,0.3310035667230389,0.2784386132183958,0.2386544410054342,0.3328220441561397,0.31632825707513157,0.2084861852194838,0.2941677212390602,1.0,0.2644939930913772,0.21629333963757147,0.26031334885449975,0.29821386366204794,0.19694255162498253,0.22162024992651896,0.31157669360438245,0.11610620545223771,0.3037517134929526,0.23249934019330454,0.2355693649721582,0.3217882321997745,0.2020166187936958,0.2867252689011931,0.24299074938444942,0.20534416060336846,0.3160732624455629,0.19888396697589195,0.2644195909935818,0.20417545630432743,0.21259225865114606
hula hoop,0.34652228299680776,0.4662476701728697,0.41410293562664846,0.43955796818140935,0.3002813076053039,0.2794813943188652,0.20306071734349185,0.2113586191646949,0.40328820089048056,0.23881122593752702,0.3472987723192501,0.5534613773140922,0.3334011883783081,0.392034067525984,0.2644939930913772,1.0,0.4467409933944948,0.26119589238813257,0.3441719379249626,0.18790483120862034,0.28145342449646416,0.22425976241789458,0.2485520230200725,0.2686916651183875,0.35527269661499483,0.3793867532697508,0.4832937797777539,0.24539412747230127,0.3442741632704177,0.2212603334055141,0.1860523894578492,0.2260498706097176,0.4959566979420602,0.4796512064202991,0.34186021744154194,0.4223336492407652
jump rope,0.388421057464281,0.42281808093491846,0.3581725557658919,0.4708758499440052,0.262913925629382,0.22956076548563775,0.286108689173876,0.14640416365886877,0.28883740625516996,0.29162169875787103,0.33903071544226315,0.36277612254487734,0.26174739307625705,0.33888615906942965,0.21629333963757147,0.4467409933944948,1.0,0.30277817785001515,0.2548812260200485,0.2987142034817457,0.3416406455885689,0.17763153653475472,0.16001721210882736,0.3537361962697476,0.4096527230307019,0.38728433483808267,0.3880331551919246,0.3169631641996353,0.42114419893938615,0.3223398325624507,0.2830110708600708,0.24594547118530863,0.4537636074477731,0.44511075747974815,0.21112755058380928,0.42496505222567604
kite,0.2817992992993772,0.4516905685361554,0.30776076072127556,0.3030959857413059,0.23465161977421078,0.33401605875669726,0.36782658866042683,0.17608889472971023,0.23692332762583113,0.27804380951301266,0.25473586543819815,0.3349826243567071,0.3286945835197883,0.37192302873051053,0.26031334885449975,0.26119589238813257,0.30277817785001515,1.0,0.22396102076216073,0.20065550346580996,0.24305768005052708,0.198428826256275,0.21105204820392598,0.267503330805833,0.26809135633095105,0.42028587430956055,0.38038700884675747,0.30958060671518184,0.283888710286921,0.20512014773711718,0.2052178144568656,0.15003528002996847,0.411774272014529,0.33378376230322204,0.20873859029712327,0.3411835946529165
marbles,0.43938808209752245,0.43691039062193027,0.316903203259409,0.33400007332698833,0.3285044764388616,0.37047483207701726,0.2881233991131118,0.3176896130845668,0.2667288806851107,0.31414312252679044,0.24665088189934736,0.2827965257489077,0.23046363875717568,0.3988227163154494,0.29821386366204794,0.3441719379249626,0.2548812260200485,0.22396102076216073,0.9999999999999998,0.25261749650099086,0.24016607089745212,0.26651729316180284,0.29993519658581835,0.14815006773371397,0.2659905311080383,0.4844318763090112,0.2680736200592384,0.2839383338716823,0.4290206957894449,0.2677946384818929,0.11125718239392712,0.26952593263788427,0.4134715740286997,0.3580078215555633,0.32158259620904106,0.3749875137443073
medal,0.30454362358903997,0.2900395262978106,0.3277913524994027,0.35737930131700124,0.17019945187106222,0.24697094024881983,0.31292871419706025,0.2048839173545265,0.2122165118575201,0.1239317787305857,0.2428786053866555,0.25892240053665594,0.24903179542904008,0.3046309544938345,0.19694255162498253,0.18790483120862034,0.2987142034817457,0.20065550346580996,0.25261749650099086,1.0,0.30383640716651383,0.31570052387238046,0.11146603222076357,0.15659918011017326,0.21622683420767952,0.35887789720865326,0.11471266125343627,0.3094852355508817,0.33317575087754736,0.18594395218064852,0.30087660827847973,0.536197721625344,0.3236439689683903,0.3041767394859183,0.13973692865521947,0.2949599454575965
